,Longitude,Latitude,Freq
Area_1,37.00819,-116.05894,6
Area_2,37.13796,-116.07353,2
Area_4,37.09869,-116.09685,2
Area_5,36.79805,-115.93416,7
Area_6,36.89827,-116.04814,5
Area_7,37.0808,-116.04558,1
Area_11,36.97659,-115.96228,1
Area_12,37.19345,-116.19887,12
Area_15,37.20829,-116.04037,1
Area_16,37.01245,-116.19565,2
Area_20,37.23086,-116.44725,1
Area_22,36.62593,-116.01937,1
Area_23,36.6594,-115.99642,1
Area_25,36.85282,-116.42672,9
Area_26,36.77496,-116.11703,3
Area_27,36.77907,-116.11041,1
