Year,United States,Russia
1945,1,0
1946,2,0
1947,0,0
1948,3,0
1949,0,1
1950,0,0
1951,16,2
1952,10,0
1953,11,5
1954,6,10
1955,18,6
1956,18,9
1957,32,16
1958,77,34
1959,0,0
1960,0,0
1961,10,59
1962,96,79
1963,47,0
1964,45,9
1965,38,14
1966,48,18
1967,42,17
1968,56,17
1969,46,19
1970,39,16
1971,24,23
1972,27,24
1973,24,17
1974,22,21
1975,22,19
1976,20,21
1977,20,24
1978,19,31
1979,15,31
1980,14,24
1981,16,21
1982,18,19
1983,18,25
1984,18,27
1985,17,10
1986,14,0
1987,14,23
1988,15,16
1989,11,7
1990,8,1
1991,7,0
1992,6,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
