year,exp,
1960,45380000000,
1961,47808000000,
1962,52381000000,
1963,52295000000,
1964,51213000000,
1965,51827000000,
1966,63572000000,
1967,75448000000,
1968,80732000000,
1969,81443000000,
1970,79846000000,
1971,74862000000,
1972,77639000000,
1973,78358000000,
1974,85906000000,
1975,88400000000,
1976,91013000000,
1977,100925000000,
1978,109247000000,
1979,122279000000,
1980,138191000000,
1981,169888000000,
1982,213626000000,
1983,213626000000,
1984,231459000000,
1985,258165000000,
1986,281105000000,
1987,288157000000,
1988,293093000000,
1989,304085000000,
1990,306170000000,
1991,280292000000,
1992,305141000000,
1993,297637000000,
1994,288059000000,
1995,278856000000,
1996,271417000000,
1997,276325000000,
1998,274278000000,
1999,280969000000,
2000,301697000000,
2001,312743000000,
2002,356720000000,
2003,415223000000,
2004,464676000000,
2005,503353000000,
2006,527660000000,
2007,556961000000,
2008,621131000000,
2009,668567000000,
2010,698180000000,
2011,711338000000,
2012,684780000000,
2013,639704000000,
2014,609914000000,
2015,596104639000,
2016,600106443000,
2017,609757981000,
,,
,,
,,
