Year,Russia,war
1945,0,1
1946,0,1
1947,0,1
1948,0,1
1949,1,1
1950,0,1
1951,2,1
1952,0,1
1953,5,1
1954,10,1
1955,6,1
1956,9,1
1957,16,
1958,34,
1959,0,
1960,0,
1961,58,
1962,78,
1963,0,
1964,0,
1965,0,
1966,0,
1967,0,
1968,0,
1969,0,1
1970,0,1
1971,0,
1972,0,
1973,0,
1974,0,1
1975,0,1
1976,0,1
1977,0,1
1978,0,1
1979,0,1
1980,0,1
1981,0,1
1982,0,1
1983,0,1
1984,0,1
1985,0,1
1986,0,1
1987,0,1
1988,0,1
1989,0,1
1990,0,1
1991,0,1
1992,0,1
1993,0,1
1994,0,1
1995,0,1
1996,0,1
1997,0,1
1998,0,
1999,0,1
2000,0,1
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,
2011,0,
2012,0,
2013,0,
2014,0,
2015,0,
2016,0,
2017,0,
