Year,United States,war
1945,1,
1946,2,
1947,0,
1948,3,
1949,0,
1950,0,1
1951,15,1
1952,10,1
1953,11,1
1954,6,1
1955,17,1
1956,18,1
1957,27,1
1958,62,1
1959,0,1
1960,0,1
1961,0,1
1962,39,1
1963,4,1
1964,0,1
1965,0,1
1966,0,1
1967,0,1
1968,0,1
1969,0,1
1970,0,1
1971,0,1
1972,0,1
1973,0,1
1974,0,1
1975,0,1
1976,0,
1977,0,
1978,0,1
1979,0,
1980,0,
1981,0,
1982,0,1
1983,0,1
1984,0,1
1985,0,
1986,0,
1987,0,1
1988,0,1
1989,0,
1990,0,1
1991,0,1
1992,0,1
1993,0,1
1994,0,1
1995,0,1
1996,0,
1997,0,
1998,0,1
1999,0,1
2000,0,
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,1
2011,0,1
2012,0,1
2013,0,1
2014,0,1
2015,0,1
2016,0,1
2017,0,1
