Year,sum
1945,1
1946,2
1947,0
1948,3
1949,1
1950,0
1951,17
1952,11
1953,18
1954,16
1955,23
1956,33
1957,50
1958,101
1959,0
1960,3
1961,59
1962,117
1963,4
1964,1
1965,1
1966,9
1967,5
1968,6
1969,1
1970,9
1971,6
1972,6
1973,7
1974,10
1975,0
1976,3
1977,1
1978,2
1979,1
1980,1
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
