Year,China,war
1945,0,1
1946,0,1
1947,0,1
1948,0,1
1949,0,1
1950,0,1
1951,0,1
1952,0,1
1953,0,1
1954,0,
1955,0,
1956,0,
1957,0,
1958,0,
1959,0,
1960,0,
1961,0,
1962,0,1
1963,0,
1964,0,
1965,0,1
1966,0,1
1967,0,1
1968,0,1
1969,1,1
1970,0,
1971,0,
1972,0,
1973,0,
1974,0,
1975,1,
1976,1,
1977,0,
1978,1,
1979,0,1
1980,0,
1981,0,
1982,1,
1983,2,
1984,2,
1985,0,
1986,0,
1987,1,
1988,1,
1989,0,
1990,2,
1991,0,
1992,2,
1993,1,
1994,2,
1995,2,
1996,2,
1997,0,
1998,0,
1999,0,
2000,0,
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,1
2011,0,1
2012,0,1
2013,0,1
2014,0,1
2015,0,1
2016,0,1
2017,0,1
