Year,France,war
1945,0,1
1946,0,1
1947,0,1
1948,0,1
1949,0,1
1950,0,1
1951,0,1
1952,0,1
1953,0,1
1954,0,1
1955,0,1
1956,0,1
1957,0,1
1958,0,1
1959,0,1
1960,0,1
1961,1,1
1962,1,1
1963,3,
1964,3,
1965,4,
1966,1,
1967,0,
1968,0,
1969,0,
1970,0,
1971,0,
1972,0,
1973,0,
1974,0,
1975,2,1
1976,5,1
1977,9,1
1978,11,1
1979,10,1
1980,12,1
1981,12,1
1982,10,1
1983,9,1
1984,8,1
1985,8,1
1986,8,1
1987,8,1
1988,8,1
1989,9,1
1990,6,1
1991,6,1
1992,0,1
1993,0,1
1994,0,1
1995,5,1
1996,1,
1997,0,
1998,0,1
1999,0,1
2000,0,
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,1
2011,0,1
2012,0,1
2013,0,1
2014,0,1
2015,0,1
2016,0,1
2017,0,1
