Year,United States,war
1945,0,
1946,0,
1947,0,
1948,0,
1949,0,
1950,0,1
1951,1,1
1952,0,1
1953,0,1
1954,0,1
1955,1,1
1956,0,1
1957,5,1
1958,15,1
1959,0,1
1960,0,1
1961,10,1
1962,57,1
1963,43,1
1964,45,1
1965,38,1
1966,48,1
1967,42,1
1968,56,1
1969,46,1
1970,39,1
1971,24,1
1972,27,1
1973,24,1
1974,22,1
1975,22,1
1976,20,
1977,20,
1978,19,1
1979,15,
1980,14,
1981,16,
1982,18,1
1983,18,1
1984,18,1
1985,17,
1986,14,
1987,14,1
1988,15,1
1989,11,
1990,8,1
1991,7,1
1992,6,1
1993,0,1
1994,0,1
1995,0,1
1996,0,
1997,0,
1998,0,1
1999,0,1
2000,0,
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,1
2011,0,1
2012,0,1
2013,0,1
2014,0,1
2015,0,1
2016,0,1
2017,0,1
