Year,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea,Israel
1945,2,0,0,0,0,0,0,0,0
1946,9,0,0,0,0,0,0,0,0
1947,13,0,0,0,0,0,0,0,0
1948,50,0,0,0,0,0,0,0,0
1949,170,1,0,0,0,0,0,0,0
1950,299,5,0,0,0,0,0,0,0
1951,438,25,0,0,0,0,0,0,0
1952,841,50,0,0,0,0,0,0,0
1953,1169,120,1,0,0,0,0,0,0
1954,1703,150,5,0,0,0,0,0,0
1955,2422,200,10,0,0,0,0,0,0
1956,3692,426,50,0,0,0,0,0,0
1957,5543,660,58,0,0,0,0,0,0
1958,7345,863,60,0,0,0,0,0,0
1959,12298,1048,78,0,0,0,0,0,0
1960,18638,1627,105,0,0,0,0,0,0
1961,22229,2492,155,0,0,0,0,0,0
1962,25540,3346,211,0,0,0,0,0,0
1963,28133,4259,256,0,0,0,0,0,0
1964,29463,5242,271,4,1,0,0,0,0
1965,31139,6144,271,32,5,0,0,0,0
1966,31175,7091,281,36,20,0,0,0,0
1967,31255,8400,355,36,25,0,0,0,2
1968,29561,9490,317,36,35,0,0,0,4
1969,27552,10671,306,36,50,0,0,0,6
1970,26008,11736,375,36,75,0,0,0,8
1971,25830,13279,412,45,100,0,0,0,11
1972,26516,14600,423,70,130,0,0,0,13
1973,27835,15878,500,116,150,0,0,0,15
1974,28537,17286,500,145,170,0,0,0,17
1975,27519,19235,500,188,180,0,0,0,20
1976,25914,22165,500,212,180,0,0,0,22
1977,25542,24281,500,228,180,0,0,0,24
1978,24418,26169,500,235,190,0,0,0,26
1979,24138,28258,500,235,195,0,0,0,29
1980,24104,30665,500,250,205,0,0,0,31
1981,23208,32146,500,274,210,0,0,0,33
1982,22886,33486,385,274,216,0,0,0,35
1983,23305,35130,380,279,218,0,0,0,38
1984,23459,36825,350,280,220,0,0,0,40
1985,23368,38582,350,360,222,0,0,0,42
1986,23317,40159,350,355,224,0,0,0,44
1987,23575,38107,350,420,226,0,0,0,47
1988,23205,36538,350,410,228,0,0,0,49
1989,22217,35078,350,410,230,0,0,0,51
1990,21392,32980,350,505,232,0,0,0,53
1991,19008,29154,350,540,234,0,0,0,56
1992,13708,26734,250,540,234,0,0,0,58
1993,11511,24403,250,525,234,0,0,0,60
1994,10979,21339,250,510,234,0,0,0,62
1995,10904,18179,234,500,234,0,0,0,63
1996,11011,15942,203,450,234,0,0,0,64
1997,10903,15442,203,450,232,0,0,0,66
1998,10732,14368,240,450,232,3,2,0,68
1999,10685,13188,240,450,232,8,8,0,70
2000,10577,12188,280,470,232,13,14,0,72
2001,10526,11152,280,350,235,18,20,0,74
2002,10457,10114,280,350,235,23,26,0,76
2003,10027,9076,280,350,235,28,32,0,78
2004,8570,8038,280,350,235,33,38,0,80
2005,8360,7000,280,350,235,38,44,0,80
2006,7853,6643,225,350,235,43,50,0,80
2007,5709,6286,225,350,235,50,60,0,80
2008,5273,5929,225,300,235,60,70,0,80
2009,5113,5527,225,300,240,70,80,0,80
2010,4950,5215,225,300,240,80,90,0,80
2011,4763,4858,225,300,240,90,100,0,80
2012,4680,4500,225,300,240,100,110,0,80
2013,4650,4480,225,300,250,110,120,0,80
2014,4760,4300,225,300,250,110,120,0,80
