statenme,year,milex,milper,irst,pec,tpop,upop,upopgrowth,cinc
United States of America,1816,3823,17,80,254,8659,101,,0.0396975
United States of America,1816,3823,17,80,254,8659,101,,0.0396975
United States of America,1816,3823,17,80,254,8659,101,,0.0396975
United States of America,1816,3823,17,80,254,8659,101,,0.0396975
United States of America,1816,3823,17,80,254,8659,101,,0.0396975
United States of America,1817,2466,15,80,277,8899,106,,0.0358166
United States of America,1817,2466,15,80,277,8899,106,,0.0358166
United States of America,1817,2466,15,80,277,8899,106,,0.0358166
United States of America,1817,2466,15,80,277,8899,106,,0.0358166
United States of America,1817,2466,15,80,277,8899,106,,0.0358166
United States of America,1818,1910,14,90,302,9139,112,,0.0361265
United States of America,1818,1910,14,90,302,9139,112,,0.0361265
United States of America,1818,1910,14,90,302,9139,112,,0.0361265
United States of America,1818,1910,14,90,302,9139,112,,0.0361265
United States of America,1818,1910,14,90,302,9139,112,,0.0361265
United States of America,1819,2301,13,90,293,9379,118,,0.0371333
United States of America,1819,2301,13,90,293,9379,118,,0.0371333
United States of America,1819,2301,13,90,293,9379,118,,0.0371333
United States of America,1819,2301,13,90,293,9379,118,,0.0371333
United States of America,1819,2301,13,90,293,9379,118,,0.0371333
United States of America,1820,1556,15,110,303,9618,124,,0.0370869
United States of America,1820,1556,15,110,303,9618,124,,0.0370869
United States of America,1820,1556,15,110,303,9618,124,,0.0370869
United States of America,1820,1556,15,110,303,9618,124,,0.0370869
United States of America,1820,1556,15,110,303,9618,124,,0.0370869
United States of America,1821,1612,11,100,321,9939,130,,0.0341731
United States of America,1821,1612,11,100,321,9939,130,,0.0341731
United States of America,1821,1612,11,100,321,9939,130,,0.0341731
United States of America,1821,1612,11,100,321,9939,130,,0.0341731
United States of America,1821,1612,11,100,321,9939,130,,0.0341731
United States of America,1822,1079,10,100,332,10268,136,,0.0329391
United States of America,1822,1079,10,100,332,10268,136,,0.0329391
United States of America,1822,1079,10,100,332,10268,136,,0.0329391
United States of America,1822,1079,10,100,332,10268,136,,0.0329391
United States of America,1822,1079,10,100,332,10268,136,,0.0329391
United States of America,1823,1170,11,110,345,10596,143,,0.0331075
United States of America,1823,1170,11,110,345,10596,143,,0.0331075
United States of America,1823,1170,11,110,345,10596,143,,0.0331075
United States of America,1823,1170,11,110,345,10596,143,,0.0331075
United States of America,1823,1170,11,110,345,10596,143,,0.0331075
United States of America,1824,1261,11,110,390,10924,151,,0.0329776
United States of America,1824,1261,11,110,390,10924,151,,0.0329776
United States of America,1824,1261,11,110,390,10924,151,,0.0329776
United States of America,1824,1261,11,110,390,10924,151,,0.0329776
United States of America,1824,1261,11,110,390,10924,151,,0.0329776
United States of America,1825,1336,11,120,424,11252,158,,0.034215
United States of America,1825,1336,11,120,424,11252,158,,0.034215
United States of America,1825,1336,11,120,424,11252,158,,0.034215
United States of America,1825,1336,11,120,424,11252,158,,0.034215
United States of America,1825,1336,11,120,424,11252,158,,0.034215
United States of America,1826,1658,12,120,502,11580,166,,0.0364252
United States of America,1826,1658,12,120,502,11580,166,,0.0364252
United States of America,1826,1658,12,120,502,11580,166,,0.0364252
United States of America,1826,1658,12,120,502,11580,166,,0.0364252
United States of America,1826,1658,12,120,502,11580,166,,0.0364252
United States of America,1827,1663,12,130,556,11909,175,,0.0357089
United States of America,1827,1663,12,130,556,11909,175,,0.0357089
United States of America,1827,1663,12,130,556,11909,175,,0.0357089
United States of America,1827,1663,12,130,556,11909,175,,0.0357089
United States of America,1827,1663,12,130,556,11909,175,,0.0357089
United States of America,1828,1622,11,130,609,12237,183,,0.0356879
United States of America,1828,1622,11,130,609,12237,183,,0.0356879
United States of America,1828,1622,11,130,609,12237,183,,0.0356879
United States of America,1828,1622,11,130,609,12237,183,,0.0356879
United States of America,1828,1622,11,130,609,12237,183,,0.0356879
United States of America,1829,1678,12,144,686,12565,193,,0.0374823
United States of America,1829,1678,12,144,686,12565,193,,0.0374823
United States of America,1829,1678,12,144,686,12565,193,,0.0374823
United States of America,1829,1678,12,144,686,12565,193,,0.0374823
United States of America,1829,1678,12,144,686,12565,193,,0.0374823
United States of America,1830,1687,12,168,799,12901,203,,0.0384837
United States of America,1830,1687,12,168,799,12901,203,,0.0384837
United States of America,1830,1687,12,168,799,12901,203,,0.0384837
United States of America,1830,1687,12,168,799,12901,203,,0.0384837
United States of America,1830,1687,12,168,799,12901,203,,0.0384837
United States of America,1831,1835,11,194,864,13321,222,,0.0420014
United States of America,1831,1835,11,194,864,13321,222,,0.0420014
United States of America,1831,1835,11,194,864,13321,222,,0.0420014
United States of America,1831,1835,11,194,864,13321,222,,0.0420014
United States of America,1831,1835,11,194,864,13321,222,,0.0420014
United States of America,1832,1896,12,203,1154,13742,244,,0.0445447
United States of America,1832,1896,12,203,1154,13742,244,,0.0445447
United States of America,1832,1896,12,203,1154,13742,244,,0.0445447
United States of America,1832,1896,12,203,1154,13742,244,,0.0445447
United States of America,1832,1896,12,203,1154,13742,244,,0.0445447
United States of America,1833,2445,13,220,1348,14162,268,,0.0481381
United States of America,1833,2445,13,220,1348,14162,268,,0.0481381
United States of America,1833,2445,13,220,1348,14162,268,,0.0481381
United States of America,1833,2445,13,220,1348,14162,268,,0.0481381
United States of America,1833,2445,13,220,1348,14162,268,,0.0481381
United States of America,1834,2073,13,240,1291,14582,295,,0.0477735
United States of America,1834,2073,13,240,1291,14582,295,,0.0477735
United States of America,1834,2073,13,240,1291,14582,295,,0.0477735
United States of America,1834,2073,13,240,1291,14582,295,,0.0477735
United States of America,1834,2073,13,240,1291,14582,295,,0.0477735
United States of America,1835,2001,14,260,1650,15003,324,,0.04852
United States of America,1835,2001,14,260,1650,15003,324,,0.04852
