Year,US,Yield
1945,1,57
1946,2,40
1947,0,40
1948,3,5000
1949,0,500000
1950,0,57
1951,16,57
1952,10,57
1953,11,57
1954,6,57
1955,18,57
1956,18,57
1957,32,57
1958,77,57
1959,0,57
1960,0,57
1961,0,57
1962,96,57
1963,47,57
1964,45,57
1965,38,57
1966,48,57
1967,42,57
1968,56,57
1969,46,57
1970,39,57
1971,24,57
1972,27,57
1973,24,57
1974,22,57
1975,22,57
1976,20,57
1977,20,57
1978,19,57
1979,15,57
1980,14,57
1981,16,57
1982,18,57
1983,18,57
1984,18,57
1985,17,57
1986,14,57
1987,14,57
1988,15,57
1989,11,57
1990,8,57
1991,7,57
1992,6,57
1993,0,57
1994,0,57
1995,0,57
1996,0,57
1997,0,57
1998,0,57
1999,0,57
2000,0,57
2001,0,57
2002,0,57
2003,0,57
2004,0,57
2005,0,57
2006,0,57
2007,0,57
2008,0,57
2009,0,57
2010,0,57
2011,0,57
2012,0,57
2013,0,57
2014,0,57
2015,0,57
2016,0,57
2017,0,57
