year,usa,usayield,russia,russiayield,uk,ukyield,france,franceyield,china,chinayield,india,indiayield,pakistan,pakistanyield,nk,nkyield
1945,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,16,225,2,42,0,0,0,0,0,0,0,0,0,0,0,0
1952,10,10400,0,0,1,25,0,0,0,0,0,0,0,0,0,0
1953,11,61,5,400,2,10,0,0,0,0,0,0,0,0,0,0
1954,6,15000,10,62,0,0,0,0,0,0,0,0,0,0,0,0
1955,18,43,6,1600,0,0,0,0,0,0,0,0,0,0,0,0
1956,18,5000,9,900,6,98,0,0,0,0,0,0,0,0,0,0
1957,32,74,16,2900,7,1800,0,0,0,0,0,0,0,0,0,0
1958,77,9300,34,2900,5,3000,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0
1961,10,20,59,58000,0,0,2,10,0,0,0,0,0,0,0,0
1962,96,8300,79,24200,2,10,1,40,0,0,0,0,0,0,0,0
1963,47,249,0,0,0,0,3,10,0,0,0,0,0,0,0,0
1964,45,70,9,47,2,2,3,10,1,22,0,0,0,0,0,0
1965,38,120,14,140,1,29,4,127,1,35,0,0,0,0,0,0
1966,48,870,18,700,0,0,7,205,3,300,0,0,0,0,0,0
1967,42,250,17,260,0,0,3,120,2,3300,0,0,0,0,0,0
1968,56,1300,17,165,0,0,5,2600,1,3000,0,0,0,0,0,0
1969,46,1000,19,540,0,0,0,0,2,3000,0,0,0,0,0,0
1970,39,1900,16,2200,0,0,8,945,1,3400,0,0,0,0,0,0
1971,24,4800,23,2450,0,0,5,955,1,20,0,0,0,0,0,0
1972,27,21,24,1120,0,0,4,6,2,170,0,0,0,0,0,0
1973,24,250,17,4000,0,0,6,11,1,3000,0,0,0,0,0,0
1974,22,160,21,2300,1,20,9,332,1,1000,1,12,0,0,0,0
1975,22,1000,19,1300,0,0,2,5,1,2.5,0,0,0,0,0,0
1976,20,900,21,4130,1,51,5,12,4,4000,0,0,0,0,0,0
1977,20,150,24,78,0,0,9,50,1,,0,0,0,0,0,0
1978,19,150,31,180,2,67,11,64,3,11,0,0,0,0,0,0
1979,15,100,31,150,1,20,10,112,1,,0,0,0,0,0,0
1980,14,89,24,200,3,140,12,80,1,1000,0,0,0,0,0,0
1981,16,140,21,150,1,77,12,20,0,0,0,0,0,0,0,0
1982,18,140,19,145,1,89,10,56,1,7,0,0,0,0,0,0
1983,18,143,25,150,1,1.5,9,42,2,1,0,0,0,0,0,0
1984,18,150,27,137,2,103,8,56,2,15,0,0,0,0,0,0
1985,17,150,10,114,1,110,8,80,0,0,0,0,0,0,0,0
1986,14,140,0,0,1,89,8,32,0,0,0,0,0,0,0,0
1987,14,150,23,140,1,20,8,62,1,250,0,0,0,0,0,0
1988,15,150,16,140,0,0,8,103,1,3,0,0,0,0,0,0
1989,11,150,7,118,1,120,9,87,0,0,0,0,0,0,0,0
1990,8,150,1,70,1,103,6,118,2,189,0,0,0,0,0,0
1991,7,140,0,0,1,11,6,106,0,0,0,0,0,0,0,0
1992,6,100,0,0,0,0,0,0,2,660,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,1,80,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0
1995,0,0,0,0,0,0,5,97,2,95,0,0,0,0,0,0
1996,0,0,0,0,0,0,1,46,2,50,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,2,45,2,32,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160
