OID,Country or Area,Year,Description,Magnitude,Value
19361A..ZF...,AUSTRALIA,1948,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,2.25
19361...ZF...,AUSTRALIA,1948,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,3.13
12461...ZF...,BELGIUM,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.39235
15661...ZF...,CANADA,1948,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,2.92667
12861A..ZF...,DENMARK,1948,MORTGAGE BOND YIELD,PERCENT PER ANNU,4.2
12861...ZF...,DENMARK,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.07
13261...ZF...,FRANCE,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.83528
53461...ZF...,INDIA,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.02
13661B..ZF...,ITALY,1948,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,5.93
13661...ZF...,ITALY,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.21275
13861...ZF...,NETHERLANDS,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.27
19661...ZF...,NEW ZEALAND,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.03
14261...ZF...,NORWAY,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.49
18261...ZF...,PORTUGAL,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.24
19961...ZF...,SOUTH AFRICA,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.9
14461...ZF...,SWEDEN,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.08
14661...ZF...,SWITZERLAND,1948,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.42
11261A..ZF...,UNITED KINGDOM,1948,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,2.01
11261...ZF...,UNITED KINGDOM,1948,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,2.78
11161A..ZF...,UNITED STATES,1948,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,1.52
19361A..ZF...,AUSTRALIA,1949,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,1.99
19361...ZF...,AUSTRALIA,1949,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,3.12
12461...ZF...,BELGIUM,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.23341
15661...ZF...,CANADA,1949,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,2.87333
12861A..ZF...,DENMARK,1949,MORTGAGE BOND YIELD,PERCENT PER ANNU,4.47
12861...ZF...,DENMARK,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.42
13261...ZF...,FRANCE,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.06272
53461...ZF...,INDIA,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.05
13661B..ZF...,ITALY,1949,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,5.59
13661...ZF...,ITALY,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.35092
13861...ZF...,NETHERLANDS,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.27
19661...ZF...,NEW ZEALAND,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3
14261...ZF...,NORWAY,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.5
56461...ZF...,PAKISTAN,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.99
18261...ZF...,PORTUGAL,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.76
19961...ZF...,SOUTH AFRICA,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.3
14461...ZF...,SWEDEN,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.02
14661...ZF...,SWITZERLAND,1949,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.94
11261A..ZF...,UNITED KINGDOM,1949,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,1.96
11261...ZF...,UNITED KINGDOM,1949,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,2.88
11161A..ZF...,UNITED STATES,1949,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,1.43
19361A..ZF...,AUSTRALIA,1950,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,1.95
19361...ZF...,AUSTRALIA,1950,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,3.14
12461...ZF...,BELGIUM,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.01772
15661...ZF...,CANADA,1950,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,2.8575
12861A..ZF...,DENMARK,1950,MORTGAGE BOND YIELD,PERCENT PER ANNU,4.59
12861...ZF...,DENMARK,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.53
13261...ZF...,FRANCE,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.8049
53461...ZF...,INDIA,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.11
13661B..ZF...,ITALY,1950,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,5.75083
13661...ZF...,ITALY,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.42669
13861...ZF...,NETHERLANDS,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.28
19661...ZF...,NEW ZEALAND,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.07
14261...ZF...,NORWAY,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.58
56461...ZF...,PAKISTAN,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.99
18261...ZF...,PORTUGAL,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.92
19961...ZF...,SOUTH AFRICA,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.56
14461...ZF...,SWEDEN,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.11
14661...ZF...,SWITZERLAND,1950,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.67
11261A..ZF...,UNITED KINGDOM,1950,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,2.02
11261...ZF...,UNITED KINGDOM,1950,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,3
11161A..ZF...,UNITED STATES,1950,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,1.45
19361A..ZF...,AUSTRALIA,1951,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,2.01
19361...ZF...,AUSTRALIA,1951,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,3.53
12461...ZF...,BELGIUM,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.23341
15661A..ZF...,CANADA,1951,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,2.61083
15661...ZF...,CANADA,1951,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.2325
12861A..ZF...,DENMARK,1951,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.37
12861...ZF...,DENMARK,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.14
13261...ZF...,FRANCE,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.82885
53461...ZF...,INDIA,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.28
13661B..ZF...,ITALY,1951,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.0625
13661...ZF...,ITALY,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.78657
13861...ZF...,NETHERLANDS,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.88
19661...ZF...,NEW ZEALAND,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.08
14261...ZF...,NORWAY,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.74
56461...ZF...,PAKISTAN,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.99
18261...ZF...,PORTUGAL,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.79
19961...ZF...,SOUTH AFRICA,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.58
14461...ZF...,SWEDEN,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.23
14661...ZF...,SWITZERLAND,1951,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.95
11261A..ZF...,UNITED KINGDOM,1951,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,1.86
11261...ZF...,UNITED KINGDOM,1951,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,3.64
11161A..ZF...,UNITED STATES,1951,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,1.94
19361A..ZF...,AUSTRALIA,1952,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,2.49
19361...ZF...,AUSTRALIA,1952,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,4.34
12461...ZF...,BELGIUM,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.78968
15661A..ZF...,CANADA,1952,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,3.24167
15661...ZF...,CANADA,1952,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.56333
12861A..ZF...,DENMARK,1952,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.62
12861...ZF...,DENMARK,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.29
13261...ZF...,FRANCE,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.7036
53461...ZF...,INDIA,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.69
17861...ZF...,IRELAND,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.97073
13661B..ZF...,ITALY,1952,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,5.93
13661...ZF...,ITALY,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.58769
13861...ZF...,NETHERLANDS,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.95
19661...ZF...,NEW ZEALAND,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.85
14261...ZF...,NORWAY,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.74
56461...ZF...,PAKISTAN,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3
18261...ZF...,PORTUGAL,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.48
19961...ZF...,SOUTH AFRICA,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.29
14461...ZF...,SWEDEN,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.28
14661...ZF...,SWITZERLAND,1952,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.84
