year,latitude,longitude,depth,mag,,,
2017,24.015,92.018,32,5.7,,,
2017,-19.326,176.053,17,6.9,,,
2017,28.2,53.107,10,5,,,
2017,-20.16,46.647,7,5.5,,,
2017,42.601,13.227,7,5.7,,,
2017,-6.214,155.122,136,7.9,,,
2017,25.216,63.272,26,6.3,,,
2017,9.911,125.461,15,6.5,,,
2017,9.831,125.496,11,5.7,,,
2017,17.415,95.999,10,5.1,,,
2017,35.8,60.436,13,6.1,,,
2017,13.725,120.929,43,5.9,,,
2017,13.753,-89.16,10,4.8,,,
2017,-33.073,-72.051,25,6.9,,,
2017,5.516,125.093,26,6.9,,,
2017,59.844,-136.695,2,6.2,,,
2017,37.659,75.253,10,5.4,,,
2017,37.777,57.195,17,5.8,,,
2017,-3.054,32.893,10,4.4,,,
2017,38.765,27.775,1,5,,,
2017,-1.289,120.453,12,6.8,,,
2017,38.932,26.364,10,6.3,,,
2017,14.982,-91.988,94,6.9,,,
2017,27.64,85.17,,3.2,,,
2017,13.753,-90.949,47,6.8,,,
2017,-19.444,34.509,24,5.6,,,
2017,11.114,124.633,7,6.5,,,
2017,54.472,168.815,11,7.7,,,
2017,-16.416,-73.636,44,6.4,,,
2017,36.949,27.458,10,6.7,,,
2017,-33.212,-70.626,92,5.4,,,
2017,33.193,103.855,9,6.5,,,
2017,44.323,82.837,26,6.3,,,
2017,-16.299,-73.474,41,5.6,,,
2017,40.78,13.945,9,4.2,,,
2017,11.014,124.736,10,5,,,
2017,15.022,-93.899,47,8.2,,,
2017,18.584,-98.399,51,7.1,,,
2017,16.737,-94.946,9,6.1,,,
2017,7.629,124.874,31,5.7,,,
2017,-21.66,169.203,11,6.8,,,
2017,-3.745,127.752,6,6.1,,,
2017,-21.63,168.884,10,6.6,,,
2017,34.886,45.941,23,7.3,,,
2017,9.526,-84.505,20,6.5,,,
2017,36.065,129.27,10,5.4,,,
2017,2.382,128.144,20,5.9,,,
2017,-21.334,168.683,10,7,,,
2017,29.362,108.104,10,5.1,,,
2017,30.765,57.331,10,6,,,
2017,-7.734,108.023,92,6.5,,,
2017,35.654,50.949,10,4.9,,,
2017,35.692,50.9,10,4,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
