day,killed,injured,guns,incidents
1,73,113,262,242
2,24,54,140,109
3,42,58,219,134
4,31,68,145,126
5,42,62,148,137
6,66,65,179,150
7,53,91,181,154
8,43,62,142,133
9,37,72,194,162
10,28,48,290,149
11,62,102,254,193
12,48,90,191,172
13,39,79,212,153
14,34,88,163,152
15,34,81,180,155
16,30,55,196,132
17,41,60,214,143
18,30,62,193,149
19,32,49,201,149
20,57,93,207,190
21,44,108,199,191
22,44,80,199,145
23,53,83,213,168
24,36,79,214,186
25,42,88,227,176
26,40,84,224,187
27,45,100,191,172
28,61,92,208,188
29,34,69,183,146
30,42,62,182,137
31,34,28,200,145
