Unique Films,revenue,rating,cat,Inciting Incident,pp1,Lock In,pp2,First Culmination (Midpoint),pp3,Main Culmination (End of Act Two),pp4,Third Act Twist,pp5,runtime
Avatar,2787965087,7.2,rev,,,,,,,,,,,
Titanic,1845034188,7.5,rev,,,,,,,,,,,
The Avengers,1519557910,7.4,rev,,,,,,,,,,,
Jurassic World,1513528810,6.5,rev,,,,,,,,,,,
Furious 7,1506249360,7.3,rev,,,,,,,,,,,
Avengers: Age of Ultron,1405403694,7.3,rev,,,,,,,,,,,
Frozen,1274219009,7.3,rev,,,,,,,,,,,
Iron Man 3,1215439994,6.8,rev,,,,,,,,,,,
Minions,1156730962,6.4,rev,,,,,,,,,,,
Captain America: Civil War,1153304495,7.1,rev,,,,,,,,,,,
Transformers: Dark of the Moon,1123746996,6.1,rev,,,,,,,,,,,
The Lord of the Rings: The Return of the King,1118888979,8.1,rev,,,,,,,,,,,
Skyfall,1108561013,6.9,rev,,,,,,,,,,,
Transformers: Age of Extinction,1091405097,5.8,rev,,,,,,,,,,,
The Dark Knight Rises,1084939099,7.6,rev,,,,,,,,,,,
Toy Story 3,1066969703,7.6,rev,,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,1065659812,7,rev,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,1045713802,6.4,rev,,,,,,,,,,,
Alice in Wonderland,1025491110,6.4,rev,,,,,,,,,,,
The Hobbit: An Unexpected Journey,1021103568,7,rev,,,,,,,,,,,
The Dark Knight,1004558444,8.2,rev,"Lt. Gordon (Gary Oldman) meets Harvey Dent (Aaron Eckhart) in Dent's office, and after Harvey questions Gordon about his involvement with the Batman, Gordon requests search warrants for five banks that are holding the remainder of the mob's money. Dent agrees to back Gordon's search warrants, forming a tenuous trust with the honest Gordon, who in turn hails Dent as Gotham's ""White Knight.""",16,"After Batman (Christian Bale) abducts Lau, the dubious accountant working for Gotham's criminal underworld, from his penthouse office building in Hong Kong and delivers Lau to Gordon back in Gotham, Rachel (Maggie Gyllenhaal) interrogates Lau, who agrees to give the names of all his clients (mobsters) and their pooled investments. Dent can now link all 549 criminals together using the RICO case of conspiracy.",38,"At the press conference Batman told Dent to set up so that he could turn himself in, Dent explains that Batman is a vigilante but that the people of Gotham should hold him accountable and not give in to the fear The Joker (Heath Ledger) has unleashed upon Gotham. But as Bruce Wayne is about to come forward to reveal the truth, Dent announces that he himself is the Batman and gets handcuffed and taken away.",71,"After Rachel dies and half of Dent's face is burnt beyond recognition from explosions set by The Joker, Dent is recovering at Gotham General, where The Joker, disguised as a nurse, enters Harvey's room and explains to Dent (who now refers to himself as Two-Face) that he needs to introduce a little anarchy and chaos. The Joker unties Two-Face and hands him a pistol. Two-Face, bent on revenge, flips his coin to decide whether or not to shoot The Joker, which The Joker agrees is only fair. ",107,"The engines of two ferries – one with criminals and one with civilians – lose power, and The Joker informs the passengers of both boats that they're part of a social experiment. Both boats are set with explosives, each boat having a detonator to the other. If the occupants of one boat don't agree to destroy the other boat by midnight, The Joker will blow up both. But the ultimate twist is on The Joker, as neither of the two ferries will press the button, showing that there is still hope for Gotham.",120,152
Harry Potter and the Philosopher's Stone,976475550,7.5,rev,,,,,,,,,,,
Despicable Me 2,970761885,7,rev,,,,,,,,,,,
The Jungle Book,966550600,6.7,rev,,,,,,,,,,,
Pirates of the Caribbean: At World's End,961000000,6.9,rev,,,,,,,,,,,
The Hobbit: The Desolation of Smaug,958400000,7.6,rev,,,,,,,,,,,
The Hobbit: The Battle of the Five Armies,956019788,7.1,rev,,,,,,,,,,,
