Year,Personal Life,Controversies,Novels and novellas,Short story collections,Retrospectives and omnibus collections,Nonfiction,Video Games,TV,Cordwainer Bird,"Awards, Misc",Georges Melies Fantasy Film Award,Edgar Allen Poe Award,Bram Stoker Award,Hugo Award,Jupiter Award (Instructors of Science Fiction in Higher Education),Locus Poll Award,Nebula Award,Writers Guild of America,World Fantasy Award
1934,Born,,,,,,,,,,,,,,,,,,
1956,Marries Charlotte Stein,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,
1958,,,Web of the City (originally published as Rumble),"A Touch of Infinity

The Deadly Streets ",,,,,,,,,,,,,,,
1959,,,,Sex Gang (as by Paul Merchant),,,,,,,,,,,,,,,
1960,"Divorces Charlotte Stein

Marries Billie Joyce Sanders",,The Man With Nine Lives (revised and reprinted in 2011 under the author's preferred title The Sound of a Scythe),,,,,,,,,,,,,,,,
1961,,,Spider Kiss (originally published as Rockabilly),"Children of the Streets (originally published as The Juvies)

Gentleman Junkie and Other Stories of the Hung-Up Generation",,Memos from Purgatory ,,,,,,,,,,,,,
1962,,,,Ellison Wonderland ,,,,,,,,,,,,,,,
1963,Divorces Billie Joyce.,,,,,,,"Ripcord        
""Where Do Elephants Go to Die?""

Burke's Law
""Who Killed Alex Debbs?""        
""Who Killed Purity Mather?""        ",,,,,,,,,,,
1964,,,,,,,,"Burke's Law
""Who Killed Andy Zygmunt?""
""Who Killed 1/2 of Glory Lee?""        

The Outer Limits        
""Soldier""

The Outer Limits        
""Demon with a Glass Hand""

The Alfred Hitchcock Hour        
""Memo from Purgatory""","Voyage to the Bottom of the Sea (TV Series) 
""The Price of Doom"" ",,,,,,,,,,
1965,,,,Paingod and Other Delusions,,,,,,,,,,,,,,"Demon with a Glass Hand / The Outer Limits (Best Original Teleplay, 1965)",
1966,Marries and divorces Loretta Patrick.,,,,,,,"The Man from U.N.C.L.E.
""The Sort of Do-It-Yourself Dreadful Affair""	",,,,,,"""Repent, Harlequin!"" Said the Ticktockman"" (best short fiction, 1966)",,,"""""Repent, Harlequin!"" Said the Ticktockman"" (best short story, 1966)",,
1967,,"Repeatedly criticizes Star Trek creator and producer Gene Roddenberry (and others) for rewriting his original script for the 1967 episode ""The City on the Edge of Forever"". ",Doomsman (re-issued under the author's preferred title Way of an Assassin in the collection Rough Beasts),"I Have No Mouth, and I Must Scream 

From the Land of Fear ",,,,"The Man from U.N.C.L.E.
""The Pieces of Fate Affair""        

Star Trek       
""The City on the Edge of Forever""",,,,,,,,,,"The City on the Edge of Forever / Star Trek(Best Original Teleplay, 1967)",
1968,,Signs an anti-Vietnam War advertisement in Galaxy Science Fiction,,Love Ain't Nothing But Sex Misspelled,,,,"Cimarron Strip        
""Knife in the Darkness""
","The Flying Nun (TV Series) 
""You Can't Get There from Here""",,,,,"""I Have No Mouth, and I Must Scream"" (best short story, 1968)

The City on the Edge of Forever (best dramatic presentation, 1968)

Dangerous Visions (Worldcon special award, 1968)",,,,,
1969,,"Reportedly refers to the Texas A&M Corps of Cadets as ""America's next generation of Nazis""",A Boy and His Dog ,The Beast that Shouted Love at the Heart of the World ,,,,,,,,,,"""The Beast that Shouted Love at the Heart of the World"" (best short story, 1969)",,,,,
1970,,,,Over the Edge ,,The Glass Teat (1970) ,,,,,,,,,,,"A Boy and His Dog (best novella, 1970)",,
1971,,,,Partners in Wonder (collaborations with 14 other writers),Alone Against Tomorrow: a 10-Year Survey (1971) ,,,"The Young Lawyers	
""The Whimper of Whipped Dogs""",,,,,,,,"The Region Between (best short fiction, 1971)",,,
1972,,,,,,,,,,,"Demon with a Glass Hand / The Outer Limits (Achievement in Science Fiction Television, 1972)",,,"Again, Dangerous Visions (Worldcon special award for excellence in anthologizing, 1972)",,,,,
1973,,"The Last Dangerous Visions (TLDV), the third volume of Ellison's anthology series, was originally announced for publication in 1973 but remains unpublished. Nearly 150 writers (many now dead) submitted works for the volume. 

",,,,,,"Circle of Fear        
""Earth, Air, Fire and Water""
","The Starlost 
""The Beehive""
""Farthing's Comet""
""The Return of Oro""
""The Implant People""
""Astro-Medics""
""Mr. Smith of Manchester""
""Gallery of Fear""
""Circuit of Death""
""The Alien Oro""
""And Only Man Is Vile""
""Children of Methuselah""
""The Pisces""
""The Goddess Calabra""
""Lazarus from the Mist""
""Voyage of Discovery""",,"The City on the Edge of Forever / Star Trek (Achievement in Science Fiction Television, 1973)",,,,"""The Deathbird"" (best short story, 1973)","Basilisk (best short fiction, 1973)

Again, Dangerous Visions (best anthology, 1973)",,,
1974,,,,Approaching Oblivion (1974),,,,,"The Starlost 
""Space Precinct""",,,"""The Whimper of Whipped Dogs"" (best short story, 1974)",,"""The Deathbird"" (best novelette, 1974)",,"The Deathbird (best short fiction, 1974)",,"Phoenix Without Ashes / The Starlost (Best Written Dramatic Episode, 1974)",
1975,,,The Starlost #1: Phoenix Without Ashes ,"Deathbird Stories

No Doors, No Windows",,The Other Glass Teat ,,,,,,,,"""Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13"" W"" (best novelette, 1975)",,"Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13"" W (best novelette, 1975)",,,
1976,Marries and divorces Lori Horowitz.,,,,,,,,,"Academy of Science Fiction, Fantasy, and Horror Films (USA)
Golden Scroll (Best Writing – Career 1976)

Saturn Award
A Boy and His Dog (Best Fantasy Film, 1976)
",,,,"A Boy and His Dog (film – best dramatic presentation, 1976. The Hugo was originally given to L.Q. Jones, the film's producer and screenwriter. After the ceremony, Ellison complained that as author of the original story upon which Jones's screenplay was based, he deserved to share in the award. No extra Hugo statuette was available, so to mollify Ellison, he received a Hugo base, which he calls his ""half Hugo"".)",,"""Croatoan"" (best short story, 1976)",,,
1977,,,,,,,,"Logan's Run        
""Crypt""","""The Impotency of Bad Karma""","British Fantasy Award
""Jeffty Is Five"" (best short story, 1979)",,,,,"""Jeffty Is Five"" (best short story, 1977)",,,,
1978,,,,Strange Wine ,,The Book of Ellison,,,,"British Science Fiction Award
Deathbird Stories (best collection, 1978)",,,,"""Jeffty Is Five"" (best short story, 1978)",,"""Jeffty Is Five"" (best short story, 1978)","""Jeffty Is Five"" (best short story, 1978)",,
