state,offenses
Alabama,9
Alaska,4
Arizona,328
Arkansas,8
California,1270
Colorado,136
Connecticut,122
Delaware,30
District of Columbia,207
Florida,166
Georgia,230
Idaho,61
Illinois,94
Indiana,62
Iowa,12
Kansas,83
Kentucky,432
Louisiana,30
Maine,40
Maryland,53
Massachusetts,486
Michigan,515
Minnesota,169
Mississippi,4
Missouri,133
Montana,18
Nebraska,46
Nevada,7
New Hampshire,16
New Jersey,502
New Mexico,14
New York,559
North Carolina,230
North Dakota,17
Ohio,449
Oklahoma,49
Oregon,169
Pennsylvania,93
Rhode Island,11
South Carolina,94
South Dakota,19
Tennessee,179
Texas,219
Utah,94
Vermont,36
Virginia,214
Washington,613
West Virginia,34
Wisconsin,48
Wyoming,23
