percentile,year,share
p90p100,1961,0.3716309071
p90p100,1962,0.3694448173
p90p100,1963,0.3455494046
p90p100,1964,0.3551447093
p90p100,1965,0.3590054512
p90p100,1966,0.3621650636
p90p100,1967,0.3580062389
p90p100,1968,0.3515463471
p90p100,1969,0.361765027
p90p100,1970,0.3652721643
p90p100,1971,0.3443257809
p90p100,1972,0.3410947025
p90p100,1973,0.3399914503
p90p100,1974,0.3404172957
p90p100,1975,0.3415650427
p90p100,1976,0.3436999619
p90p100,1977,0.3416288793
p90p100,1978,0.3368836343
p90p100,1979,0.322496593
p90p100,1980,0.3150281608
p90p100,1981,0.3070897758
p90p100,1982,0.3005167842
p90p100,1983,0.3527539968
p90p100,1984,0.3337553442
p90p100,1985,0.3478914797
p90p100,1986,0.3506695032
p90p100,1987,0.3446869254
p90p100,1988,0.3537609577
p90p100,1989,0.3541434705
p90p100,1990,0.3349245191
p90p100,1991,0.3409710824
p90p100,1992,0.3505513966
p90p100,1993,0.367084682
p90p100,1994,0.3823942542
p90p100,1995,0.3829524815
p90p100,1996,0.3794264495
p90p100,1997,0.3874047697
p90p100,1998,0.392359376
p90p100,1999,0.3948960006
p90p100,2000,0.398689121
p90p100,2001,0.4095178246
p90p100,2002,0.420553118
p90p100,2003,0.4317879081
p90p100,2004,0.4432141185
p90p100,2005,0.4548225403
p90p100,2006,0.467592001
p90p100,2007,0.4806839824
p90p100,2008,0.4940817356
p90p100,2009,0.5077655911
p90p100,2010,0.5217130184
p90p100,2011,0.5413780212
p90p100,2012,0.5499806404
p90p100,2013,0.5523341894
p90p100,2014,0.5609986782
p90p100,2015,0.5609986782
p99p100,1961,0.1271421462
p99p100,1962,0.1258329153
p99p100,1963,0.122064501
p99p100,1964,0.1199046969
p99p100,1965,0.1264006197
p99p100,1966,0.1289529353
p99p100,1967,0.1259857267
p99p100,1968,0.121115759
p99p100,1969,0.1292806268
p99p100,1970,0.1295464784
p99p100,1971,0.1137744859
p99p100,1972,0.1096887738
p99p100,1973,0.1023635715
p99p100,1974,0.1013393104
p99p100,1975,0.104062818
p99p100,1976,0.1027655602
p99p100,1977,0.0973851979
p99p100,1978,0.0926411971
p99p100,1979,0.0801635459
p99p100,1980,0.0733517706
p99p100,1981,0.0669511706
p99p100,1982,0.0611003675
p99p100,1983,0.1031218544
p99p100,1984,0.0888889953
p99p100,1985,0.1045239866
p99p100,1986,0.1080759615
p99p100,1987,0.1032121181
p99p100,1988,0.1111080498
p99p100,1989,0.1102437526
p99p100,1990,0.1045716852
p99p100,1991,0.1016135961
p99p100,1992,0.100050956
p99p100,1993,0.1246909723
p99p100,1994,0.1235810891
p99p100,1995,0.1301126778
p99p100,1996,0.1321267933
p99p100,1997,0.1382676065
p99p100,1998,0.1435961574
p99p100,1999,0.1470239609
p99p100,2000,0.1511836946
p99p100,2001,0.1588525772
p99p100,2002,0.1668246239
p99p100,2003,0.1751028597
p99p100,2004,0.1836893559
p99p100,2005,0.192585215
p99p100,2006,0.1965763718
p99p100,2007,0.2005404383
p99p100,2008,0.2044674456
p99p100,2009,0.2083471268
p99p100,2010,0.2121691108
p99p100,2011,0.2113887221
p99p100,2012,0.2130029351
p99p100,2013,0.2159219086
p99p100,2014,0.2134274244
p99p100,2015,0.2134274244
p0p50,1961,0.2121631652
p0p50,1962,0.21738334
p0p50,1963,0.2287247628
p0p50,1964,0.2259897739
p0p50,1965,0.2251610905
p0p50,1966,0.224905327
p0p50,1967,0.2229394168
p0p50,1968,0.2256114036
p0p50,1969,0.2206535786
p0p50,1970,0.2200736403
p0p50,1971,0.2282516658
p0p50,1972,0.2300286144
p0p50,1973,0.2307758927
p0p50,1974,0.2296983451
p0p50,1975,0.2283822745
p0p50,1976,0.2267390341
p0p50,1977,0.2265595794
p0p50,1978,0.2273017764
p0p50,1979,0.231344521
p0p50,1980,0.2330102324
p0p50,1981,0.234829545
p0p50,1982,0.2361808568
p0p50,1983,0.2177437842
p0p50,1984,0.2240215838
p0p50,1985,0.2191656232
p0p50,1986,0.2181388438
p0p50,1987,0.2200648338
p0p50,1988,0.2169458717
p0p50,1989,0.2170874178
p0p50,1990,0.2238257378
p0p50,1991,0.2220670581
p0p50,1992,0.2191114575
p0p50,1993,0.2137994766
p0p50,1994,0.2088878453
p0p50,1995,0.2094053179
p0p50,1996,0.2111658156
p0p50,1997,0.208903566
p0p50,1998,0.2075861543
p0p50,1999,0.2070318311
p0p50,2000,0.2059990466
p0p50,2001,0.2016786188
p0p50,2002,0.1973093897
p0p50,2003,0.1928944737
p0p50,2004,0.188437283
p0p50,2005,0.1839415729
p0p50,2006,0.1793387383
p0p50,2007,0.1746418923
p0p50,2008,0.1698571593
p0p50,2009,0.164991647
p0p50,2010,0.1600533277
p0p50,2011,0.153472662
p0p50,2012,0.1505938768
p0p50,2013,0.1498062909
p0p50,2014,0.1469068229
