percentile,year,share
p90p100,1961,0.4318371369
p90p100,1962,
p90p100,1963,
p90p100,1964,
p90p100,1965,
p90p100,1966,
p90p100,1967,
p90p100,1968,
p90p100,1969,
p90p100,1970,
p90p100,1971,0.4224803119
p90p100,1972,
p90p100,1973,
p90p100,1974,
p90p100,1975,
p90p100,1976,
p90p100,1977,
p90p100,1978,
p90p100,1979,
p90p100,1980,
p90p100,1981,0.4500462829
p90p100,1982,
p90p100,1983,
p90p100,1984,
p90p100,1985,
p90p100,1986,
p90p100,1987,
p90p100,1988,
p90p100,1989,
p90p100,1990,
p90p100,1991,0.5053906556
p90p100,1992,
p90p100,1993,
p90p100,1994,
p90p100,1995,
p90p100,1996,
p90p100,1997,
p90p100,1998,
p90p100,1999,
p90p100,2000,
p90p100,2001,
p90p100,2002,0.555990101
p90p100,2003,
p90p100,2004,
p90p100,2005,
p90p100,2006,
p90p100,2007,
p90p100,2008,
p90p100,2009,
p90p100,2010,
p90p100,2011,
p90p100,2012,0.6277087941
p50p90,1961,0.4452598211
p50p90,1962,
p50p90,1963,
p50p90,1964,
p50p90,1965,
p50p90,1966,
p50p90,1967,
p50p90,1968,
p50p90,1969,
p50p90,1970,
p50p90,1971,0.4599913447
p50p90,1972,
p50p90,1973,
p50p90,1974,
p50p90,1975,
p50p90,1976,
p50p90,1977,
p50p90,1978,
p50p90,1979,
p50p90,1980,
p50p90,1981,0.4408286735
p50p90,1982,
p50p90,1983,
p50p90,1984,
p50p90,1985,
p50p90,1986,
p50p90,1987,
p50p90,1988,
p50p90,1989,
p50p90,1990,
p50p90,1991,0.4067680524
p50p90,1992,
p50p90,1993,
p50p90,1994,
p50p90,1995,
p50p90,1996,
p50p90,1997,
p50p90,1998,
p50p90,1999,
p50p90,2000,
p50p90,2001,
p50p90,2002,0.3624966997
p50p90,2003,
p50p90,2004,
p50p90,2005,
p50p90,2006,
p50p90,2007,
p50p90,2008,
p50p90,2009,
p50p90,2010,
p50p90,2011,
p50p90,2012,0.308324801
p0p50,1961,0.1229030486
p0p50,1962,
p0p50,1963,
p0p50,1964,
p0p50,1965,
p0p50,1966,
p0p50,1967,
p0p50,1968,
p0p50,1969,
p0p50,1970,
p0p50,1971,0.1175283389
p0p50,1972,
p0p50,1973,
p0p50,1974,
p0p50,1975,
p0p50,1976,
p0p50,1977,
p0p50,1978,
p0p50,1979,
p0p50,1980,
p0p50,1981,0.1091250452
p0p50,1982,
p0p50,1983,
p0p50,1984,
p0p50,1985,
p0p50,1986,
p0p50,1987,
p0p50,1988,
p0p50,1989,
p0p50,1990,
p0p50,1991,0.0878412929
p0p50,1992,
p0p50,1993,
p0p50,1994,
p0p50,1995,
p0p50,1996,
p0p50,1997,
p0p50,1998,
p0p50,1999,
p0p50,2000,
p0p50,2001,
p0p50,2002,0.0815131998
p0p50,2003,
p0p50,2004,
p0p50,2005,
p0p50,2006,
p0p50,2007,
p0p50,2008,
p0p50,2009,
p0p50,2010,
p0p50,2011,
p0p50,2012,0.0639664
p99p100,1961,0.118710638
p99p100,1962,
p99p100,1963,
p99p100,1964,
p99p100,1965,
p99p100,1966,
p99p100,1967,
p99p100,1968,
p99p100,1969,
p99p100,1970,
p99p100,1971,0.1123216364
p99p100,1972,
p99p100,1973,
p99p100,1974,
p99p100,1975,
p99p100,1976,
p99p100,1977,
p99p100,1978,
p99p100,1979,
p99p100,1980,
p99p100,1981,0.1249638113
p99p100,1982,
p99p100,1983,
p99p100,1984,
p99p100,1985,
p99p100,1986,
p99p100,1987,
p99p100,1988,
p99p100,1989,
p99p100,1990,
p99p100,1991,0.161058037
p99p100,1992,
p99p100,1993,
p99p100,1994,
p99p100,1995,
p99p100,1996,
p99p100,1997,
p99p100,1998,
p99p100,1999,
p99p100,2000,
p99p100,2001,
p99p100,2002,0.2436984993
p99p100,2003,
p99p100,2004,
p99p100,2005,
p99p100,2006,
p99p100,2007,
p99p100,2008,
p99p100,2009,
p99p100,2010,
p99p100,2011,
p99p100,2012,0.3068997986
