share,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
total,12.80,12.90,12.54,11.39,11.81,12.54,13.11,13.64,14.16,14.34
0.001t,18.09,17.58,19.13,20.86,18.87,18.27,17.60,24.12,24.01,23.93
0.01t,19.95,19.45,20.88,22.81,20.84,20.61,19.53,26.21,25.92,25.69
0.1t,21.94,21.42,22.67,24.28,22.84,22.82,21.67,27.91,27.67,27.44
1t,22.80,22.46,23.29,24.05,23.39,23.50,22.83,27.08,27.16,27.10
2t,22.39,22.15,22.70,23.03,22.69,22.86,22.52,25.86,26.09,26.10
3t,21.82,21.63,21.99,22.07,21.91,22.11,21.97,24.78,25.13,25.17
4t,21.28,21.11,21.36,21.28,21.23,21.46,21.44,23.91,24.30,24.36
5t,20.80,20.66,20.83,20.59,20.64,20.89,20.97,23.20,23.61,23.68
10t,19.02,18.96,18.87,18.19,18.46,18.85,19.21,20.75,21.25,21.37
20t,16.82,16.83,16.57,15.59,15.98,16.53,17.04,18.08,18.64,18.81
25t,16.12,16.16,15.85,14.81,15.22,15.82,16.35,17.28,17.83,18.00
30t,15.57,15.62,15.28,14.20,14.63,15.27,15.81,16.65,17.19,17.37
40t,14.75,14.81,14.43,13.29,13.73,14.42,14.98,15.70,16.24,16.42
50t,14.12,14.19,13.79,12.61,13.06,13.76,14.33,14.98,15.52,15.71
50b,3.51,3.56,3.26,2.35,2.37,3.13,3.28,3.30,3.45,3.59
75b,5.79,5.83,5.60,4.54,4.69,5.60,5.79,5.87,6.02,6.19
90b,7.25,7.32,7.15,6.10,6.32,7.29,7.50,7.61,7.81,8.01
95b,8.18,8.26,8.08,7.03,7.30,8.25,8.52,8.62,8.85,9.07
99b,9.97,10.06,9.81,8.76,9.11,10.01,10.38,10.48,10.79,11.02
