year,total,0.001t,0.01t,0.1t,1t,2t,3t,4t,5t,10t,20t,25t,30t,40t,50t,totalb,50b,75b,90b,95b,99b
2006,12.80,18.09,19.95,21.94,22.80,22.39,21.82,21.28,20.80,19.02,16.82,16.12,15.57,14.75,14.12,12.80,3.51,5.79,7.25,8.18,9.97
2007,12.90,17.58,19.45,21.42,22.46,22.15,21.63,21.11,20.66,18.96,16.83,16.16,15.62,14.81,14.19,12.90,3.56,5.83,7.32,8.26,10.06
2008,12.54,19.13,20.88,22.67,23.29,22.70,21.99,21.36,20.83,18.87,16.57,15.85,15.28,14.43,13.79,12.54,3.26,5.60,7.15,8.08,9.81
2009,11.39,20.86,22.81,24.28,24.05,23.03,22.07,21.28,20.59,18.19,15.59,14.81,14.20,13.29,12.61,11.39,2.35,4.54,6.10,7.03,8.76
2010,11.81,18.87,20.84,22.84,23.39,22.69,21.91,21.23,20.64,18.46,15.98,15.22,14.63,13.73,13.06,11.81,2.37,4.69,6.32,7.30,9.11
2011,12.54,18.27,20.61,22.82,23.50,22.86,22.11,21.46,20.89,18.85,16.53,15.82,15.27,14.42,13.76,12.54,3.13,5.60,7.29,8.25,10.01
2012,13.11,17.60,19.53,21.67,22.83,22.52,21.97,21.44,20.97,19.21,17.04,16.35,15.81,14.98,14.33,13.11,3.28,5.79,7.50,8.52,10.38
2013,13.64,24.12,26.21,27.91,27.08,25.86,24.78,23.91,23.20,20.75,18.08,17.28,16.65,15.70,14.98,13.64,3.30,5.87,7.61,8.62,10.48
2014,14.16,24.01,25.92,27.67,27.16,26.09,25.13,24.30,23.61,21.25,18.64,17.83,17.19,16.24,15.52,14.16,3.45,6.02,7.81,8.85,10.79
2015,14.34,23.93,25.69,27.44,27.10,26.10,25.17,24.36,23.68,21.37,18.81,18.00,17.37,16.42,15.71,14.34,3.59,6.19,8.01,9.07,11.02
