share,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
0.001t,2.14,2.55,2.11,1.67,2.07,1.74,2.42,1.87,2.13,2.12
0.01t,5.25,5.84,4.85,3.72,4.56,4.12,5.55,4.26,4.90,4.88
0.1t,11.23,11.95,10.06,7.94,9.24,8.86,11.25,9.03,10.16,10.19
1t,22.10,22.86,20.19,17.21,18.87,18.70,21.86,19.04,20.58,20.65
2t,27.18,27.97,25.25,22.22,23.91,23.87,27.06,24.31,25.90,26.00
3t,30.87,31.66,29.01,26.04,27.72,27.73,30.87,28.23,29.83,29.92
4t,33.93,34.71,32.16,29.29,30.93,31.00,34.05,31.52,33.09,33.20
5t,36.62,37.39,34.95,32.18,33.78,33.89,36.84,34.42,35.96,36.07
10t,47.17,47.88,45.98,43.77,45.17,45.39,47.87,45.87,47.21,47.36
20t,62.07,62.65,61.60,60.30,61.29,61.56,63.30,61.90,62.87,62.99
25t,67.91,68.41,67.69,66.74,67.55,67.82,69.25,68.10,68.91,68.99
30t,72.97,73.41,72.96,72.28,72.94,73.20,74.38,73.43,74.10,74.14
40t,81.24,81.57,81.53,81.28,81.65,81.88,82.66,82.02,82.43,82.43
50t,87.58,87.81,88.08,88.12,88.26,88.45,88.90,88.51,88.73,88.72
50b,12.42,12.19,11.92,11.88,11.74,11.55,11.10,11.49,11.27,11.28
75b,32.09,31.59,32.31,33.26,32.45,32.18,30.75,31.90,31.09,31.01
90b,52.83,52.12,54.02,56.23,54.83,54.61,52.13,54.13,52.79,52.64
95b,63.38,62.61,65.05,67.82,66.22,66.11,63.16,65.58,64.04,63.93
99b,77.90,77.14,79.81,82.79,81.13,81.30,78.14,80.96,79.42,79.35
