year,total,0.001t,0.01t,0.1t,1t,2t,3t,4t,5t,10t,20t,25t,30t,40t,50t,totalb,50b,75b,90b,95b,99b
2006,100.00,2.14,5.25,11.23,22.10,27.18,30.87,33.93,36.62,47.17,62.07,67.91,72.97,81.24,87.58,100.00,12.42,32.09,52.83,63.38,77.90
2007,100.00,2.55,5.84,11.95,22.86,27.97,31.66,34.71,37.39,47.88,62.65,68.41,73.41,81.57,87.81,100.00,12.19,31.59,52.12,62.61,77.14
2008,100.00,2.11,4.85,10.06,20.19,25.25,29.01,32.16,34.95,45.98,61.60,67.69,72.96,81.53,88.08,100.00,11.92,32.31,54.02,65.05,79.81
2009,100.00,1.67,3.72,7.94,17.21,22.22,26.04,29.29,32.18,43.77,60.30,66.74,72.28,81.28,88.12,100.00,11.88,33.26,56.23,67.82,82.79
2010,100.00,2.07,4.56,9.24,18.87,23.91,27.72,30.93,33.78,45.17,61.29,67.55,72.94,81.65,88.26,100.00,11.74,32.45,54.83,66.22,81.13
2011,100.00,1.74,4.12,8.86,18.70,23.87,27.73,31.00,33.89,45.39,61.56,67.82,73.20,81.88,88.45,100.00,11.55,32.18,54.61,66.11,81.30
2012,100.00,2.42,5.55,11.25,21.86,27.06,30.87,34.05,36.84,47.87,63.30,69.25,74.38,82.66,88.90,100.00,11.10,30.75,52.13,63.16,78.14
2013,100.00,1.87,4.26,9.03,19.04,24.31,28.23,31.52,34.42,45.87,61.90,68.10,73.43,82.02,88.51,100.00,11.49,31.90,54.13,65.58,80.96
2014,100.00,2.13,4.90,10.16,20.58,25.90,29.83,33.09,35.96,47.21,62.87,68.91,74.10,82.43,88.73,100.00,11.27,31.09,52.79,64.04,79.42
2015,100.00,2.12,4.88,10.19,20.65,26.00,29.92,33.20,36.07,47.36,62.99,68.99,74.14,82.43,88.72,100.00,11.28,31.01,52.64,63.93,79.35
