share,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
0.001t,3.02,3.47,3.22,3.05,3.31,2.54,3.25,3.31,3.62,3.53
0.01t,8.18,8.81,8.08,7.44,8.05,6.77,8.26,8.19,8.97,8.75
0.1t,19.24,19.84,18.20,16.91,17.88,16.14,18.60,18.48,19.85,19.50
1t,39.36,39.81,37.51,36.34,37.38,35.06,38.09,37.80,39.48,39.04
2t,47.54,48.04,45.72,44.91,45.94,43.52,46.49,46.09,47.75,47.32
3t,52.61,53.09,50.89,50.45,51.45,48.92,51.75,51.29,52.94,52.52
4t,56.41,56.83,54.80,54.70,55.63,53.06,55.71,55.27,56.80,56.41
5t,59.49,59.90,58.06,58.17,59.07,56.49,58.95,58.55,59.97,59.58
10t,70.08,70.41,69.20,69.89,70.62,68.26,70.17,69.80,70.88,70.59
20t,81.55,81.79,81.42,82.54,82.96,81.20,82.31,82.09,82.78,82.62
25t,85.49,85.71,85.57,86.74,87.11,85.62,86.42,86.27,86.78,86.62
30t,88.74,88.92,88.95,90.08,90.40,89.16,89.74,89.66,89.98,89.82
40t,93.57,93.64,93.88,94.82,94.99,94.17,94.46,94.43,94.54,94.41
50t,96.59,96.64,96.90,97.54,97.64,97.11,97.22,97.22,97.25,97.17
50b,3.41,3.36,3.10,2.46,2.36,2.89,2.78,2.78,2.75,2.83
75b,14.51,14.29,14.43,13.26,12.89,14.38,13.58,13.73,13.22,13.38
90b,29.92,29.59,30.80,30.11,29.38,31.74,29.83,30.20,29.12,29.41
95b,40.51,40.10,41.94,41.83,40.93,43.51,41.05,41.45,40.03,40.42
99b,60.64,60.19,62.49,63.66,62.62,64.94,61.91,62.20,60.52,60.96
