year,total,0.001t,0.01t,0.1t,1t,2t,3t,4t,5t,10t,20t,25t,30t,40t,50t,totalb,50b,75b,90b,95b,99b
2006,100.00,3.02,8.18,19.24,39.36,47.54,52.61,56.41,59.49,70.08,81.55,85.49,88.74,93.57,96.59,100.00,3.41,14.51,29.92,40.51,60.64
2007,100.00,3.47,8.81,19.84,39.81,48.04,53.09,56.83,59.90,70.41,81.79,85.71,88.92,93.64,96.64,100.00,3.36,14.29,29.59,40.10,60.19
2008,100.00,3.22,8.08,18.20,37.51,45.72,50.89,54.80,58.06,69.20,81.42,85.57,88.95,93.88,96.90,100.00,3.10,14.43,30.80,41.94,62.49
2009,100.00,3.05,7.44,16.91,36.34,44.91,50.45,54.70,58.17,69.89,82.54,86.74,90.08,94.82,97.54,100.00,2.46,13.26,30.11,41.83,63.66
2010,100.00,3.31,8.05,17.88,37.38,45.94,51.45,55.63,59.07,70.62,82.96,87.11,90.40,94.99,97.64,100.00,2.36,12.89,29.38,40.93,62.62
2011,100.00,2.54,6.77,16.14,35.06,43.52,48.92,53.06,56.49,68.26,81.20,85.62,89.16,94.17,97.11,100.00,2.89,14.38,31.74,43.51,64.94
2012,100.00,3.25,8.26,18.60,38.09,46.49,51.75,55.71,58.95,70.17,82.31,86.42,89.74,94.46,97.22,100.00,2.78,13.58,29.83,41.05,61.91
2013,100.00,3.31,8.19,18.48,37.80,46.09,51.29,55.27,58.55,69.80,82.09,86.27,89.66,94.43,97.22,100.00,2.78,13.73,30.20,41.45,62.20
2014,100.00,3.62,8.97,19.85,39.48,47.75,52.94,56.80,59.97,70.88,82.78,86.78,89.98,94.54,97.25,100.00,2.75,13.22,29.12,40.03,60.52
2015,100.00,3.53,8.75,19.50,39.04,47.32,52.52,56.41,59.58,70.59,82.62,86.62,89.82,94.41,97.17,100.00,2.83,13.38,29.41,40.42,60.96
