Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,Maternal Mortality,California,1,4.5,-1.72,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Massachusetts,2,6.1,-1.55,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Nevada,3,6.2,-1.54,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Colorado,4,11.3,-1,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Hawaii,5,11.7,-0.96,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,West Virginia,5,11.7,-0.96,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Alabama,7,11.9,-0.94,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Minnesota,8,13,-0.82,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Connecticut,9,13.2,-0.8,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Oregon,10,13.7,-0.75,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Delaware,11,14,-0.71,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Wisconsin,12,14.3,-0.68,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Washington,13,14.8,-0.63,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Virginia,14,15.6,-0.54,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Maine,15,15.7,-0.53,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,North Carolina,16,15.8,-0.52,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Pennsylvania,17,16.3,-0.47,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Illinois,18,16.6,-0.44,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Nebraska,19,16.8,-0.42,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,New Hampshire,19,16.8,-0.42,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Utah,19,16.8,-0.42,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Kansas,22,17.7,-0.32,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Iowa,23,17.9,-0.3,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Rhode Island,24,18.3,-0.26,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Arizona,25,18.8,-0.2,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,North Dakota,26,18.9,-0.19,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Kentucky,27,19.4,-0.14,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Michigan,27,19.4,-0.14,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Ohio,29,20.3,-0.04,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,New York,30,20.6,-0.01,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Idaho,31,21.2,0.05,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Mississippi,32,22.6,0.2,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Tennessee,33,23.3,0.28,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Oklahoma,34,23.4,0.29,,,CDC WONDER Mortality files,2011-2015
