,id,song,dance,energy,loud,mode,speech,acoustic,instrumental,live,valence,tempo
0,7gamP4sRTXxfqKblTVYmci,Anobrain,0.235,0.41,-11.676,1,0.0351,0.0842,0.137,0.156,0.0598,124.756
1,5wmBV7RrEDrEamTvCnuLxX,Antichrist,0.404,0.49,-8.496,0,0.0362,0.000106,0.796,0.103,0.101,119.822
2,7COnwG00wI52gEzD1IXGxI,Facedown,0.143,0.438,-12.126,1,0.0378,0.104,0.383,0.0688,0.0343,140.143
3,2TgxCUZdHFkPEVmFge1OSd,Fallingforyou,0.251,0.287,-15.004,1,0.0408,0.895,0.00155,0.348,0.0935,170.118
4,078y8ygOFesjpWf3Pp5yNv,Haunt    Bed,0.354,0.514,-12.403,1,0.0453,0.403,0.0862,0.232,0.123,90.031
5,5CnQpEh55BqUPtT0GCLRqS,Head.Cars.Bending,0.601,0.586,-8.644,1,0.0957,0.217,3.85e-05,0.136,0.353,130.042
6,6c07FQryyVnmfFUuECzRvV,HNSCC,0.183,0.446,-16.611,1,0.0506,0.158,0.96,0.147,0.111,86.136
7,2fdj5KFMvuHox86ccpMnnR,Intro Set3,0.226,0.661,-8.195,1,0.0661,0.015,0.00143,0.102,0.159,122.853
8,4GjRDgb77p27GQnbZpv1OJ,Me,0.337,0.309,-14.091,1,0.0327,0.895,0.862,0.0832,0.0598,114.957
9,6FjQDNrlAzhw2REqMVuSpw,Medicine,0.138,0.282,-12.645,1,0.0394,0.59,0.307,0.142,0.0499,72.73
10,0fzqnqxwSh5Bmq8sY9tFb9,Milk,0.434,0.986,-5.442,0,0.309,0.00563,0.0757,0.314,0.144,143.071
11,6WPBLVXV8yuKbKMwuS8G3V,So Far (It's Alright),0.617,0.579,-6.648,1,0.0288,0.00971,5.34e-06,0.153,0.359,95.962
12,53dmBFkPpJQM41LF3wJdFM,The 1975 (The 1975),0.128,0.373,-14.269,1,0.0396,0.00193,0.463,0.207,0.0512,79.906
13,4ZEvWpjUBtL9gjVIzB2Wbr,The 1975 (ILIWYSFYASBYSUOI),0.213,0.459,-9.873,1,0.0448,0.00934,0.0223,0.41,0.0726,85.108
14,7dvM0LbJ4pu1tDJnCH1Ahg,The 1975 (ABIIOR),0.416,0.129,-13.173,1,0.103,0.713,0,0.0918,0.278,138.404
15,1LD52Nzt9wg1vB3F6gelPH,Undo,0.445,0.718,-8.336,0,0.0345,0.00689,0.629,0.0776,0.337,128.992
16,4KFXyjSCge9UpOvyf0ETH6,Woman,0.274,0.19,-12.35,1,0.0361,0.973,0.0963,0.105,0.062,130.125
17,1ZwJALwnYbeHdEVCNVmniz,You,0.205,0.0137,-6.116,1,0.0549,0.00733,0.00222,0.162,0.965,100.881
18,44Ljlpy44mHvLJxcYUvTK0,Chocolate,0.591,0.94,-4.341,1,0.0522,0.00391,0,0.383,0.676,100.043
19,6d8jFIWMRwhVYe7SCQwlqL,Girls,0.655,0.909,-5.038,1,0.0533,0.00548,0.000751,0.45,0.884,108.034
