,ngram,count
1494,way out,29
1493,she way,29
7,you know,26
33,never gonna,23
34,gonna quit,21
35,quit it,21
32,we're never,19
786,you talk,18
1252,do you,17
240,just girls,17
36,it no,16
1589,why do,16
31,no we're,16
1748,city is,15
838,never seen,14
837,i've never,14
949,change in,13
950,in pressure,13
1333,she's got,13
1069,got a,13
239,they're just,13
143,better go,12
1747,the city,12
1746,where the,12
1744,then you,12
1743,love then,12
1495,out i've,12
1496,seen her,12
1502,out she,12
0,[verse 1],12
1745,know where,12
1740,you wanna,12
1742,find love,12
1741,wanna find,12
1739,yeah you,12
409,you and,11
108,[verse 2],10
1335,boyfriend anyway,9
417,my heart,9
1334,a boyfriend,9
414,don't you,9
413,why don't,9
1749,is yeah,9
693,on the,9
61,i think,9
1590,talk so,8
407,it's just,8
29,our petticoats,8
351,i know,8
102,she said,8
30,petticoats no,8
500,the same,8
1591,so loud?,8
28,under our,8
26,guns hidden,8
1593,talk so?,8
27,hidden under,8
46,in the,8
1153,cool cool,7
248,but she,7
934,telling you,7
250,can't be,7
410,and i,7
94,if you,7
434,the way,7
572,he got,7
1505,but i'm,7
1500,dancing like,6
1503,her talk,6
1499,moves dancing,6
1501,like she,6
145,seriously better,6
1498,dance moves,6
958,broken veins,6
957,my broken,6
1497,her dance,6
80,dressed in,6
252,what you,6
301,i can't,6
1504,talk but,6
959,veins say,6
408,just you,6
1044,one more,6
1506,i'm telling,6
411,i tonight,6
1507,you she,6
415,you figure,6
416,figure my,6
495,in your,6
18,you say,6
1592,loud? why,6
412,tonight why,6
418,heart out?,6
1147,look so,6
1146,you look,6
258,girls they're,5
542,know i,5
9,that you,5
230,to the,5
1151,so cool,5
573,got enough,5
1191,and you're,5
571,has he,5
140,well i,5
1492,because she,5
537,love you,4
1385,say no,4
713,over the,4
712,all over,4
1595,so? [verse,4
20,we go,4
1043,you one,4
1351,anyway she's,4
1193,losing your,4
286,living in,4
21,go where,4
1042,give you,4
22,where nobody,4
288,my house,4
23,nobody knows,4
25,got guns,4
1192,you're losing,4
81,in black,4
1203,about you,4
694,the floor,4
1233,my mouth,4
237,because [chorus],4
1231,your hands,4
3,it a,4
241,girls breaking,4
242,breaking hearts,4
1226,we get,4
243,hearts eyes,4
244,eyes bright,4
245,bright uptight,4
246,uptight just,4
247,girls but,4
1084,stay stay,4
249,she can't,4
1218,crying out,4
1217,for crying,4
492,out loud,4
251,be what,4
253,you need,4
201,i'm not,4
254,need if,4
255,if she's,4
256,she's 17,4
257,17 they're,4
1208,i'll never,4
1240,around you,4
190,i said,4
392,"said ""it's",4
231,the ground,4
130,get it,4
120,oh my,4
90,now you're,4
1152,cool you,4
91,you're never,4
76,with guns,4
549,who can,4
548,somebody who,4
1155,cause i,4
340,to be,4
328,instead of,4
547,there somebody,4
152,know seriously,4
378,[pre-chorus 1],4
973,i stay,4
546,is there,4
