,ngram,count
31,no we're never gonna quit,16
33,never gonna quit it no,16
32,we're never gonna quit it,16
2287,you know where the city,12
2282,you wanna find love then,12
2288,know where the city is,12
2286,then you know where the,12
2285,love then you know where,12
1913,way out she way out,12
1912,she way out she way,12
2284,find love then you know,12
2283,wanna find love then you,12
2281,yeah you wanna find love,12
1901,she way out i've never,12
1902,way out i've never seen,12
1903,out i've never seen her,12
1674,she's got a boyfriend anyway,9
2292,is yeah you wanna find,9
2291,city is yeah you wanna,9
26,guns hidden under our petticoats,8
30,petticoats no we're never gonna,8
34,gonna quit it no we're,8
35,quit it no we're never,8
29,our petticoats no we're never,8
28,under our petticoats no we're,8
27,hidden under our petticoats no,8
36,it no we're never gonna,8
2056,why do you talk so?,8
2051,do you talk so loud?,8
2050,why do you talk so,8
1914,out she way out i've,7
2290,the city is yeah you,6
2289,where the city is yeah,6
1919,talk but i'm telling you,6
1908,dance moves dancing like she,6
1921,i'm telling you she way,6
1922,telling you she way out,6
2052,you talk so loud? why,6
2053,talk so loud? why do,6
2054,so loud? why do you,6
2055,loud? why do you talk,6
1920,but i'm telling you she,6
1907,her dance moves dancing like,6
1918,her talk but i'm telling,6
528,and i tonight why don't,6
1906,seen her dance moves dancing,6
1905,never seen her dance moves,6
1904,i've never seen her dance,6
1909,moves dancing like she way,6
1910,dancing like she way out,6
1911,like she way out she,6
525,it's just you and i,6
1915,i've never seen her talk,6
526,just you and i tonight,6
1917,seen her talk but i'm,6
527,you and i tonight why,6
529,i tonight why don't you,6
1916,never seen her talk but,6
530,tonight why don't you figure,6
531,why don't you figure my,6
532,don't you figure my heart,6
533,you figure my heart out?,6
337,they're just girls they're just,5
338,just girls they're just girls,5
1900,because she way out i've,5
91,with guns hidden under our,4
2061,do you talk so? [verse,4
319,girls breaking hearts eyes bright,4
112,you're never gonna quit it,4
1422,cool you look so cool,4
317,they're just girls breaking hearts,4
318,just girls breaking hearts eyes,4
330,be what you need if,4
320,breaking hearts eyes bright uptight,4
2044,out she way out she,4
321,hearts eyes bright uptight just,4
205,said the feds are here,4
727,has he got enough money,4
728,he got enough money to,4
729,got enough money to spend?,4
204,go said the feds are,4
25,got guns hidden under our,4
20,we go where nobody knows,4
203,better go said the feds,4
197,i think we better go,4
196,well i think we better,4
1696,got a boyfriend anyway she's,4
1697,a boyfriend anyway she's got,4
1698,boyfriend anyway she's got a,4
1699,anyway she's got a boyfriend,4
207,feds are here you know,4
206,the feds are here you,4
329,can't be what you need,4
331,what you need if she's,4
325,just girls but she can't,4
326,girls but she can't be,4
323,bright uptight just girls but,4
322,eyes bright uptight just girls,4
327,but she can't be what,4
691,is there somebody who can,4
328,she can't be what you,4
324,uptight just girls but she,4
332,you need if she's 17,4
333,need if she's 17 they're,4
334,if she's 17 they're just,4
335,she's 17 they're just girls,4
336,17 they're just girls they're,4
1519,know i can't be found,3
1520,i can't be found with,3
2049,[chorus] why do you talk,3
1521,can't be found with you,3
1523,found with you we get,3
1511,[chorus] for crying out loud,3
1515,loud settle down! you know,3
1518,you know i can't be,3
1517,down! you know i can't,3
1516,settle down! you know i,3
1512,for crying out loud settle,3
1514,out loud settle down! you,3
1510,two [chorus] for crying out,3
1513,crying out loud settle down!,3
1885,moving but she just can't,3
1503,learn cause i stay another,3
2057,do you talk so? why,3
2058,you talk so? why do,3
1177,"the same way"" change in",3
1176,"bleed the same way"" change",3
1175,"""we'll bleed the same way""",3
1174,"beating ""we'll bleed the same",3
1173,"stops beating ""we'll bleed the",3
1172,"heart stops beating ""we'll bleed",3
1171,"my heart stops beating ""we'll",3
1170,if my heart stops beating,3
1169,that if my heart stops,3
1168,say that if my heart,3
1167,veins say that if my,3
1166,broken veins say that if,3
1165,my broken veins say that,3
1164,pressure my broken veins say,3
1163,in pressure my broken veins,3
1162,change in pressure my broken,3
1161,you change in pressure my,3
