,term,weight
59,chorus,0.04111405835543769
445,verse,0.03183023872679045
288,oh,0.028217651673193463
166,im,0.02568888778504133
95,dream,0.02311317214855967
211,know,0.02270828227061369
254,love,0.022548916333494626
476,yeah,0.02040450032730614
199,just,0.019832430087367545
263,loving,0.017737902837649134
483,youre,0.017487635782657066
76,dont,0.01621367033829167
156,heart,0.0158335005881796
364,shes,0.01217265561938867
49,cause,0.012121837620837126
453,want,0.011916144006854043
388,sound,0.011709109653329554
212,know sound,0.011709109653329554
422,think,0.011419724224426775
231,like,0.01075185784055422
321,prechorus,0.010610079575596816
98,early,0.010298065445111025
31,body,0.010202047391604881
141,got,0.010037954206654364
252,lost,0.00952177442610266
299,oh oh,0.009095321060104663
337,said,0.009053705722341442
365,shes american,0.008709187259475778
3,american,0.008709187259475778
477,yeah loving,0.008693061498656613
285,need,0.008655600051501173
389,sound heart,0.008429760141563285
213,know sound heart,0.008429760141563285
39,brain,0.008416279123518201
92,dont want,0.007729914293455564
191,ive,0.007691130143849784
55,change,0.007480056773649527
93,dont want body,0.007382913432203287
454,want body,0.007382913432203287
250,looking,0.0072320436030721205
300,oh oh loving,0.007093356103296855
298,oh loving,0.007093356103296855
177,im lost,0.006980885727453457
200,just change,0.006881060493758987
56,change heart,0.006881060493758987
201,just change heart,0.006881060493758987
381,somebody,0.00683485439684424
130,giving,0.006757296982033028
53,cause know,0.006661787462001311
162,id,0.006136616528627318
266,make,0.005918753291879414
18,believe,0.005913649490161359
426,thought,0.005803350211012974
446,wait,0.005394470527337646
190,isnt,0.005373832324913893
113,feel,0.005323343909085765
303,outro,0.005305039787798408
41,bridge,0.005305039787798408
262,love yeah,0.00530231690701359
419,things,0.005223015795702328
99,early early,0.005149032722555512
486,youre cause know,0.0050916093684795225
487,youre cause know sound,0.0050916093684795225
214,know youre,0.0050916093684795225
215,know youre cause,0.0050916093684795225
54,cause know sound,0.0050916093684795225
485,youre cause,0.0050916093684795225
216,know youre cause know,0.0050916093684795225
9,awake,0.005086516560657464
71,does,0.005075702479876901
249,look,0.004958897169358642
182,instrumental,0.004899362539148808
271,man,0.004747144376584162
306,pain,0.004739030786764586
405,thats,0.004692549094499332
372,simple,0.0046691863876405
138,gone,0.00464536902050434
427,time,0.004605010580820742
129,girl,0.004526048516948597
38,boy,0.004438228414755316
307,paris,0.004413222008651649
280,money,0.004398529300230024
385,soul,0.004386793114625592
72,does love,0.004332518945352383
448,wake,0.004099415682878861
449,wake dream,0.004099415682878861
107,face,0.004077305505225665
164,id love paris,0.004043098405458472
261,love paris,0.004043098405458472
163,id love,0.004043098405458472
301,oh yeah,0.004008039452179226
220,lays,0.003978779840848806
223,left,0.003974424033269539
122,friends,0.003942031213079174
447,wait boy,0.0039268820024507605
10,baby,0.0038631890429986168
467,wide awake,0.0038622924779938214
466,wide,0.0038622924779938214
60,city,0.0038395117467378875
202,just dont,0.003776761683527546
171,im giving,0.0037418083111485463
339,said ive,0.0036989925480144835
311,phone,0.0036624136757763396
186,interlude,0.0036072412891101045
192,ive got,0.0035441076028025946
24,better,0.003535429609066165
386,soul cause,0.0034657836168814184
227,life,0.0034441307734192333
117,fix,0.003442304292426823
165,ill,0.003436464244292178
469,wont,0.0033477366057652696
392,stop,0.00333405065345355
411,theres,0.003289615865387259
70,did,0.0032645876806119013
437,turn,0.0032359028728606736
362,shame,0.003202904723972564
50,cause just,0.0031986597120915996
47,car,0.003192469198240495
430,took,0.0031859256277407353
126,fuck,0.0031623725897156063
127,fuck money,0.0031623725897156063
115,feeling,0.003150150465918621
283,monogamy isnt,0.0031315824958932457
282,monogamy,0.0031315824958932457
27,big,0.0031185496111961353
230,light,0.0031185496111961353
428,told,0.003041116780055604
267,make love,0.0030264674316589205
350,say,0.002894324543091181
443,ve,0.002809143841208203
400,tell,0.0028025912189493713
480,youd,0.002765779987120457
176,im looking,0.0027467174383185963
359,selling,0.0026837647652813846
318,played,0.002652519893899204
320,postchorus,0.002652519893899204
12,bag,0.002652519893899204
121,friend,0.002652519893899204
57,chest,0.002641074652875604
236,likes,0.002635988963263786
79,dont eat,0.002635988963263786
203,just dont eat,0.002635988963263786
51,cause just dont,0.002635988963263786
52,cause just dont eat,0.002635988963263786
239,likes cause just dont,0.002635988963263786
238,likes cause just,0.002635988963263786
237,likes cause,0.002635988963263786
104,eat,0.002635988963263786
390,start,0.002626742323957812
36,bout,0.0026180632948788
292,oh just,0.0025691962164442273
352,says,0.0025494862020212943
143,got fix teeth,0.0025494862020212943
118,fix teeth,0.0025494862020212943
355,says ive got fix,0.0025494862020212943
354,says ive got,0.0025494862020212943
194,ive got fix teeth,0.0025494862020212943
353,says ive,0.0025494862020212943
142,got fix,0.0025494862020212943
193,ive got fix,0.0025494862020212943
399,teeth,0.0025494862020212943
478,yeah yeah,0.0025348772997669396
276,mind,0.0025194224407081374
15,bed,0.0024948159841820285
325,reciprocation,0.002469220037784423
305,overdose,0.002469220037784423
64,cold,0.0024544808473649
221,leaving,0.0024493259408293467
222,leaving somebody,0.0024493259408293467
103,early monogamy isnt,0.0024123054975614326
100,early early monogamy,0.0024123054975614326
101,early early monogamy isnt,0.0024123054975614326
102,early monogamy,0.0024123054975614326
481,youll,0.0023804001604026733
335,remember,0.0023540424286593855
40,breakdown,0.002336912796705428
458,way,0.0023150935053056635
366,shes american shes,0.0022651685940247523
367,shes american shes american,0.0022651685940247523
4,american shes,0.0022651685940247523
5,american shes american,0.0022651685940247523
370,shouldnt,0.0022640673490537766
105,end,0.0022640673490537766
452,wanna oh yeah,0.002259351408718489
451,wanna oh,0.002259351408718489
450,wanna,0.002259351408718489
410,thats wanna oh yeah,0.002259351408718489
409,thats wanna oh,0.002259351408718489
408,thats wanna,0.002259351408718489
154,head,0.0022152660012716404
119,fly,0.002206866757901397
256,love fly,0.002206866757901397
269,make love fly baby,0.002206866757901397
268,make love fly,0.002206866757901397
257,love fly baby,0.002206866757901397
120,fly baby,0.002206866757901397
375,sleep,0.0022060963100362543
94,dont want body dont,0.0021812643924442113
456,want body dont want,0.0021812643924442113
455,want body dont,0.0021812643924442113
33,body dont want,0.0021812643924442113
34,body dont want body,0.0021812643924442113
32,body dont,0.0021812643924442113
284,nails,0.002167971702908277
153,havent,0.002167971702908277
155,health,0.0021666319563851647
501,youve,0.002156706235395097
457,water,0.002149114548591462
159,hey,0.002148305319537332
69,dad,0.0021298517868156837
