,ngram,count
1287,it if we made,19
1288,if we made it,19
1286,love it if we,19
1285,i'd love it if,19
1284,and i'd love it,12
1205,it's not it's not,12
1056,it's not with you,10
1055,if it's not with,10
1054,living if it's not,10
1053,not living if it's,10
1052,it's not living if,10
1206,not it's not it's,9
539,always wanna die always,9
541,die always wanna die,9
540,wanna die always wanna,9
1339,it and i'd love,8
1338,made it and i'd,8
1337,we made it and,8
472,i always wanna die,8
168,yourself a try? won't,7
473,always wanna die sometimes,7
167,give yourself a try?,7
166,you give yourself a,7
165,won't you give yourself,7
169,a try? won't you,7
1290,made it yes i'd,6
606,these feelings i've got?,6
605,about these feelings i've,6
604,what about these feelings,6
1292,yes i'd love it,6
1291,it yes i'd love,6
1289,we made it yes,6
727,help me lay down?,5
1031,all i do is,5
1032,i do is sit,5
1033,do is sit and,5
757,city believe and say,5
755,in the city believe,5
756,the city believe and,5
758,believe and say something,5
2134,time maybe it was,4
2172,didn't mean to two-time,4
763,would you please listen!,4
2132,her one time maybe,4
2169,three times i didn't,4
2170,times i didn't mean,4
2171,i didn't mean to,4
2228,time three time four,4
2135,maybe it was two,4
1202,not with you it's,4
2229,three time four time,4
471,and i always wanna,4
2131,called her one time,4
474,wanna die sometimes i,4
475,die sometimes i always,4
476,sometimes i always wanna,4
1203,with you it's not,4
2130,only called her one,4
2133,one time maybe it,4
2129,i only called her,4
2141,don't think it was,4
725,will this help me,4
2139,times? i don't think,4
726,this help me lay,4
2140,i don't think it,4
963,mind inside your mind,4
962,your mind inside your,4
961,inside your mind inside,4
2142,think it was three,4
2143,it was three times,4
754,young in the city,4
2138,two times? i don't,4
2137,was two times? i,4
753,being young in the,4
170,try? won't you give,4
2136,it was two times?,4
724,oh will this help,4
1279,modernity has failed us,3
2168,than three times i,3
1207,not it's not living,3
2167,more than three times,3
2123,i swear that i,3
2166,be more than three,3
2205,to two-time two-time you,3
1051,shoes it's not living,3
1044,you'd do collapse my,3
1048,veins wearing beautiful shoes,3
1204,you it's not it's,3
1047,my veins wearing beautiful,3
1045,do collapse my veins,3
1043,what you'd do collapse,3
1042,knew what you'd do,3
1041,i knew what you'd,3
1040,if i knew what,3
171,try? won't you give?,3
1046,collapse my veins wearing,3
1039,you if i knew,3
1050,beautiful shoes it's not,3
1038,about you if i,3
1037,think about you if,3
1036,and think about you,3
1035,sit and think about,3
1034,is sit and think,3
1049,wearing beautiful shoes it's,3
470,[chorus] and i always,3
2165,must be more than,3
2164,sometimes must be more,3
2163,boy sometimes must be,3
2145,three times it can't,3
771,can see it's missing,3
772,see it's missing when,3
773,it's missing when you,3
774,missing when you bleed,3
775,when you bleed say,3
776,you bleed say so,3
777,bleed say so we,3
620,feelings i've got? i,3
778,say so we know,3
710,my skin is fire,3
694,am i a liar?,3
2162,that boy sometimes must,3
2144,was three times it,3
621,i've got? i couldn't,3
686,i'm scared of dying,3
622,got? i couldn't be,3
623,i couldn't be more,3
624,couldn't be more in,3
625,be more in love,3
2155,think we need to,3
2154,i think we need,3
2153,times i think we,3
2152,four times i think,3
2151,than four times i,3
2150,more than four times,3
2149,be more than four,3
2148,can't be more than,3
2147,it can't be more,3
770,we can see it's,3
1821,very very very very,3
616,said you'd had enough,3
751,a fiver? being young,3
923,inside your mind [verse,3
2161,text that boy sometimes,3
2160,you text that boy,3
2159,rewind you text that,3
2158,to rewind you text,3
2157,need to rewind you,3
752,fiver? being young in,3
2156,we need to rewind,3
607,feelings i've got? we,3
608,i've got? we got,3
609,got? we got it,3
610,we got it wrong,3
2146,times it can't be,3
615,you said you'd had,3
614,and you said you'd,3
613,wrong and you said,3
612,it wrong and you,3
611,got it wrong and,3
1111,then i lose distract,2
2114,you pick a fight,2
1108,if i choose then,2
2115,pick a fight and,2
2113,sometimes you pick a,2
2117,fight and i'll define,2
2116,a fight and i'll,2
2118,and i'll define it,2
1113,lose distract my brain,2
1112,i lose distract my,2
1109,i choose then i,2
1110,choose then i lose,2
1116,brain from the terrible,2
1114,distract my brain from,2
1115,my brain from the,2
1106,without you if i,2
2112,only sometimes you pick,2
2111,it's only sometimes you,2
2110,but it's only sometimes,2
2109,lies but it's only,2
2108,you lies but it's,2
2107,tell you lies but,2
2106,i tell you lies,2
2105,it i tell you,2
2104,mind it i tell,2
2103,don't mind it i,2
