,ngram,count
2,i know,64
20,[verse 1],46
80,i don't,43
104,[verse 2],42
52,and i,37
377,in the,36
106,it's not,35
91,don't you,35
459,i think,34
3491,way out,30
4132,she way,29
2238,you know,29
1,well i,28
9,the sound,28
8,know the,28
2858,a bit,27
38,got a,27
2191,i'd love,27
1691,your body,27
2857,takes a,27
474,do you,26
1806,loving someone,26
2856,it takes,26
2859,bit more,26
989,don't want,26
847,yeah you,25
270,i just,25
1616,i'm not,25
2772,never gonna,23
1184,see you,23
242,all the,23
1796,we're never,23
557,on the,23
12,of your,23
624,you wanna,23
1690,want your,22
35,she said,22
616,[chorus] and,22
816,made it,22
18,'cause i,22
22,i can't,21
101,you and,21
1862,if we,21
5191,quit it,21
5190,gonna quit,21
1216,it's alright,20
500,the same,20
227,if you,20
5896,we made,20
13,your heart,20
5590,my dream,20
5228,it if,20
475,you talk,19
2519,you mind,19
3492,the city,19
47,but i,19
727,oh oh,19
3199,must be,19
6538,love it,19
935,it all,19
2855,yeah it,18
243,the time,18
4415,be my,18
1187,but you're,18
3880,always wanna,18
3881,wanna die,18
84,but i'm,17
186,in a,17
639,a change,17
458,that i,17
1095,in your,17
6135,just girls,17
1168,with you,17
1214,so far,16
1213,yeah so,16
2861,more than,16
934,doing it,16
623,what you,16
1217,alright alright,16
4,when you're,16
2733,early early,16
1215,far it's,16
1286,had a,16
5189,no we're,16
319,i was,16
5192,it no,16
1774,should be,16
473,why do,16
4911,city is,15
4243,giving it,15
1727,body i,15
4244,it up,15
5589,this must,15
1807,someone oh,15
1036,for you,15
239,it was,15
851,of the,15
55,that you,15
1804,you should,15
1256,of heart,14
1123,to be,14
404,on a,14
1033,i'm falling,14
3521,then you,14
2860,more yeah,14
11,sound of,14
10,sound i,14
250,when you,14
1561,when i,14
2389,i've got,14
3,know when,14
2422,she's american,14
1189,dead now,14
53,i thought,14
169,you just,14
2748,i've never,14
5,you're around,14
1538,she's got,14
933,she's doing,14
2749,never seen,14
1697,with somebody,14
75,if i,13
134,you say,13
133,and you,13
968,if it's,13
3479,change of,13
2769,change in,13
1670,somebody else,13
4643,where the,13
4158,and i'd,13
3478,just had,13
6134,they're just,13
66,i said,13
2239,know where,13
110,it's just,13
2770,in pressure,13
1808,oh loving,13
2411,if she,12
5262,better go,12
4140,out she,12
164,and you're,12
1356,can't be,12
809,on your,12
17,around 'cause,12
5132,not scared,12
3447,not it's,12
1219,baby yeah,12
1218,alright baby,12
1523,your hands,12
4908,wanna find,12
4909,find love,12
1198,can you,12
4910,love then,12
31,won't you,12
864,yeah you're,12
4133,out i've,12
4134,seen her,12
863,medicine yeah,12
1812,my heart,11
1809,someone yeah,11
3201,i didn't,11
911,she says,11
712,to the,11
810,your mind,11
868,i wanna,11
821,give you,11
1629,as well,11
2093,love you,11
1582,and i'm,11
248,[verse 3],11
2862,than you,11
564,about you,11
740,in my,11
2194,go to,11
897,you she,10
831,i find,10
2193,to go,10
743,i can,10
781,you said,10
917,she's so,10
3354,not living,10
575,would you,10
2710,can i,10
766,of my,10
1333,how can,10
5964,wanna see,10
441,we just,10
4290,i liked,10
103,[chorus] i,10
3356,not with,10
3355,living if,10
2208,yourself a,10
1717,and then,10
1805,be loving,10
1748,oh i,10
936,time yeah,10
937,yeah she's,10
1635,your tongue,9
490,the way,9
1089,now i,9
1838,instead of,9
3932,die always,9
1032,think i'm,9
1029,you see,9
1188,you're dead,9
6652,give yourself,9
4302,not giving,9
3155,it i,9
1782,someone you,9
3039,it and,9
1539,a boyfriend,9
3292,the internet,9
661,to say,9
2195,to paris,9
1695,think about,9
2092,i love,9
1540,boyfriend anyway,9
3768,why don't,9
