,ngram,count
1559,bit more,26
1558,a bit,26
1557,takes a,26
1556,it takes,26
300,don't you,24
835,see you,23
1065,it's alright,20
852,you mind,19
1555,yeah it,18
1063,so far,16
1021,doing it,16
26,it all,16
1064,far it's,16
1062,yeah so,16
1066,alright alright,16
840,dead now,14
1023,the time,14
838,but you're,14
1020,she's doing,14
305,i'm falling,14
1560,more yeah,14
1022,all the,14
1067,alright baby,12
953,yeah you're,12
952,medicine yeah,12
1068,baby yeah,12
14,i think,12
471,not scared,12
470,i'm not,12
68,[verse 1],12
691,in the,11
124,[verse 2],11
19,and i,11
956,i wanna,11
172,on your,10
175,as well,10
1414,wanna see,10
20,i was,10
1025,yeah she's,10
1024,time yeah,10
1562,than you,10
1561,more than,10
475,scared i'm,9
139,well i,9
304,think i'm,9
159,in your,9
178,your hands,8
173,your tongue,8
171,is on,8
954,you're medicine,8
174,tongue as,8
170,blood is,8
169,the blood,8
176,well as,8
177,as your,8
186,you just,8
18,you and,8
839,you're dead,8
832,i thought,8
833,thought i'd,8
834,i'd see,8
836,you around,8
837,around but,8
43,for you,7
951,my medicine,7
950,you're my,7
842,now well,7
364,you now,7
377,do you,7
853,mind i,7
119,the same,7
16,i love,7
306,falling i'm,6
307,falling for,6
98,she said,6
256,if you,6
1605,you wanna,6
188,wash them,6
365,now i,6
187,just wash,6
551,head cars,6
552,cars bending,6
121,for you?,6
120,same for,6
421,it i,6
1563,you it,6
118,it the,6
117,is it,6
185,content you,6
858,mind don't,6
184,and content,6
183,archaic and,6
182,hands archaic,6
846,got a,6
189,them off,6
841,now dead,6
362,i want,5
190,off the,5
1418,you're not,5
1416,undo it,5
1032,on the,5
1415,you undo,5
303,i i,5
1401,i didn't,5
1408,i ain't,5
1402,didn't even,5
1403,even see,5
1404,you when,5
1405,when i,5
1406,i liked,5
1413,girl i,5
1412,time girl,5
1411,no time,5
1410,got no,5
1409,ain't got,5
1407,liked you,5
1417,you but,5
1419,not mine,5
56,of the,5
37,a little,5
17,love you,5
302,me? i,4
562,the end,4
1061,[hook] yeah,4
553,bending head,4
53,to the,4
363,want you,4
984,you she,4
985,she does,4
986,does a,4
201,your friends,4
59,and we,4
1019,now she's,4
484,down and,4
510,oh i,4
1017,[chorus] and,4
1018,and now,4
892,and you,4
141,the house,4
1012,only a,4
324,mind [verse,4
1606,wanna dance?,4
399,i don't,4
40,of your,4
721,we were,4
1468,woman now,4
1467,a woman,4
1466,i've got,4
1465,oh i've,4
1071,yeah it's,4
1464,and oh,4
122,you? is,4
701,you can,4
1607,dance? do,4
309,you need,3
1163,alright yeah,3
817,getting high,3
38,little bit,3
949,because you're,3
533,what you,3
1164,alright [hook],3
57,the town,3
238,you see,3
803,and why,3
1251,your mouth,3
1047,she was,3
1172,""" she",3
34,can you,3
997,she says,3
75,on this,3
257,you don't,3
490,with you,3
1055,it's only,3
569,about your,3
272,and your,3
1069,alright [verse,3
582,you think,3
1554,[chorus] yeah,3
389,your heart,3
296,all i,3
960,i say,3
361,but i,3
294,if you're,3
21,was thinking,3
930,and how,3
284,to your,3
428,my friends,3
400,want to,3
1443,mine i,3
602,music for,2
295,you're all,2
544,your room,2
543,alone in,2
297,i need,2
291,around and,2
323,your mind,2
583,think you're,2
542,you're alone,2
322,change your,2
299,[hook] don't,2
319,and maybe,2
321,you change,2
320,maybe you,2
545,room what's,2
547,that boy,2
308,and don't,2
310,need me?,2
311,you on,2
312,this night,2
313,night and,2
314,and in,2
315,in this,2
548,boy doing?,2
549,doing? [chorus],2
316,this light,2
550,[chorus] head,2
604,cars is,2
603,for cars,2
317,light i,2
318,falling i,2
546,what's that,2
301,see me?,2
541,you if,2
1347,go down,2
540,telephone you,2
539,spew telephone,2
1051,won't mend,2
1052,mend your,2
1053,heart if,2
1054,if it's,2
1056,a couple,2
483,down down,2
1144,you're a,2
1057,couple of,2
1058,of lines,2
476,scared [verse,2
469,[hook] i'm,2
1059,lines [chorus],2
665,something you,2
769,that i,2
674,with the,2
454,so i,2
447,i can't,2
684,guitar take,2
688,the guitar,2
439,you must,2
432,that i'm,2
1075,we are,2
1081,knocking round,2
1082,round town,2
720,so we,2
1349,soft sound,2
1348,down soft,2
427,of my,2
410,i'm sorry,2
493,been a,2
1156,how you,2
642,it was,2
1235,to get,2
538,fall spew,2
537,drink fall,2
1400,[chorus] i,2
1040,to she,2
1041,she started,2
1042,started talking,2
1043,talking about,2
1044,about missing,2
1045,missing him,2
1046,him she,2
1048,was glistening,2
1049,glistening it,2
404,friend i,2
1236,get out,2
641,and it,2
615,the fact,2
1175,"that alright?""",2
1174,"""is that",2
1173,"said ""is",2
1169,end of,2
1168,coming to,2
640,year and,2
1050,it won't,2
1388,in my,2
757,an hour,2
1267,the bar,2
500,a terrible,2
499,and a,2
536,[pre-chorus] drink,2
1208,up in,2
1039,up to,2
1529,all of,2
955,medicine [verse,2
979,1] straight,2
69,1] and,2
948,[chorus] because,2
902,i put,2
903,put your,2
63,we go,2
116,[chorus] is,2
1531,are and,2
904,your mother,2
1619,more it,2
96,you can't,2
1532,and so,2
1533,so am,2
1527,at least,2
980,straight lines,2
981,lines they,2
1524,and you're,2
982,they unwind,2
140,love the,2
142,house that,2
143,that we,2
144,we live,2
145,live in,2
146,in and,2
147,you all,2
148,all too,2
149,too much,2
983,unwind you,2
1521,harder than,2
987,little thing,2
1534,am i,2
1618,more more,2
989,with her,2
916,killing myself,2
908,i hurt,2
922,to say,2
909,hurt your,2
109,i feel,2
910,your brother,2
917,myself don't,2
875,2] i,2
928,of you,2
1038,she's up,2
915,'bout killing,2
911,brother as,2
912,well don't,2
913,mind oh,2
914,thinking 'bout,2
1604,say do,2
30,we just,2
29,are we,2
872,a heart,2
1608,wanna dance,2
1609,dance in,2
907,hell don't,2
1611,the back,2
15,think i,2
1612,back of,2
1613,the hall?,2
11,i'm so,2
1586,and it's,2
1539,my car,2
906,through hell,2
905,mother through,2
882,i'd rather,2
988,thing with,2
967,that's all,2
990,her eyes,2
228,your head,2
1014,bottle of,2
798,you sitting,2
799,sitting 'round,2
800,'round here,2
1453,come around,2
801,here for,2
802,for and,2
1457,it seems,2
1013,a bottle,2
1011,i've only,2
1461,at the,2
807,cause everybody's,2
808,everybody's pushing,2
991,eyes that,2
1010,if i've,2
1015,"of wine""",2
1016,"wine"" [chorus]",2
