,ngram,count
1958,it takes a bit more,26
1957,yeah it takes a bit,18
1306,yeah so far it's alright,16
1307,so far it's alright alright,16
1248,she's doing it all the,14
1962,more yeah it takes a,14
1249,doing it all the time,14
1959,takes a bit more yeah,13
1961,bit more yeah it takes,13
1960,a bit more yeah it,13
1309,it's alright alright baby yeah,12
1310,alright alright baby yeah so,12
1311,alright baby yeah so far,12
1312,baby yeah so far it's,12
1308,far it's alright alright baby,12
1251,all the time yeah she's,10
1254,yeah she's doing it all,10
1963,takes a bit more than,10
1964,a bit more than you,10
1252,the time yeah she's doing,10
1250,it all the time yeah,10
1253,time yeah she's doing it,10
546,not scared i'm not scared,9
545,i'm not scared i'm not,9
969,well i thought i'd see,8
971,thought i'd see you around,8
970,i thought i'd see you,8
191,as well as your hands,8
974,you around but you're dead,8
972,i'd see you around but,8
185,the blood is on your,8
973,see you around but you're,8
975,around but you're dead now,8
186,blood is on your tongue,8
187,is on your tongue as,8
188,on your tongue as well,8
189,your tongue as well as,8
190,tongue as well as your,8
980,dead now well i thought,7
547,scared i'm not scared i'm,7
981,now well i thought i'd,7
206,and content you just wash,6
205,archaic and content you just,6
1158,yeah you're medicine yeah you're,6
204,hands archaic and content you,6
203,your hands archaic and content,6
202,as your hands archaic and,6
201,well as your hands archaic,6
338,falling i'm falling for you,6
119,it the same for you?,6
1155,you're my medicine yeah you're,6
1156,my medicine yeah you're medicine,6
1157,medicine yeah you're medicine yeah,6
208,you just wash them off,6
118,is it the same for,6
337,i'm falling i'm falling for,6
336,think i'm falling i'm falling,6
335,i think i'm falling i'm,6
207,content you just wash them,6
1009,don't you mind don't you,6
1967,than you it takes a,6
1010,you mind don't you mind,6
1968,you it takes a bit,6
1966,more than you it takes,6
1965,bit more than you it,6
1748,liked you now i ain't,5
1754,no time girl i wanna,5
1753,got no time girl i,5
1752,ain't got no time girl,5
1751,i ain't got no time,5
1750,now i ain't got no,5
1749,you now i ain't got,5
1745,you when i liked you,5
1747,i liked you now i,5
1746,when i liked you now,5
209,just wash them off the,5
1744,see you when i liked,5
1743,even see you when i,5
1742,didn't even see you when,5
1741,i didn't even see you,5
1755,time girl i wanna see,5
210,wash them off the blood,5
1756,girl i wanna see you,5
1764,wanna see you but you're,5
1758,wanna see you undo it,5
1759,see you undo it i,5
211,them off the blood is,5
1760,you undo it i wanna,5
1761,undo it i wanna see,5
1762,it i wanna see you,5
1763,i wanna see you but,5
1757,i wanna see you undo,5
212,off the blood is on,5
1766,you but you're not mine,5
1765,see you but you're not,5
1210,you she does a little,4
1828,i've got a woman now,4
123,you? is it the same,4
122,for you? is it the,4
121,same for you? is it,4
1826,and oh i've got a,4
1827,oh i've got a woman,4
120,the same for you? is,4
1159,you're medicine yeah you're my,4
2034,do you wanna dance? do,4
