,ngram,count
1907,it takes a bit,26
1908,takes a bit more,26
1906,yeah it takes a,18
1270,far it's alright alright,16
1269,so far it's alright,16
1268,yeah so far it's,16
1911,more yeah it takes,14
1215,it all the time,14
1214,doing it all the,14
1213,she's doing it all,14
1909,a bit more yeah,13
1910,bit more yeah it,13
1274,baby yeah so far,12
1272,alright alright baby yeah,12
1273,alright baby yeah so,12
1271,it's alright alright baby,12
1712,i wanna see you,10
1912,a bit more than,10
1913,bit more than you,10
1219,yeah she's doing it,10
1218,time yeah she's doing,10
1217,the time yeah she's,10
1216,all the time yeah,10
534,not scared i'm not,9
535,scared i'm not scared,9
533,i'm not scared i'm,9
182,the blood is on,8
183,blood is on your,8
184,is on your tongue,8
185,on your tongue as,8
188,as well as your,8
189,well as your hands,8
186,your tongue as well,8
949,i thought i'd see,8
950,thought i'd see you,8
1126,medicine yeah you're medicine,8
951,i'd see you around,8
952,see you around but,8
187,tongue as well as,8
954,around but you're dead,8
955,but you're dead now,8
953,you around but you're,8
948,well i thought i'd,8
329,i think i'm falling,8
959,dead now well i,7
960,now well i thought,7
978,don't you mind i,7
119,it the same for,6
197,as your hands archaic,6
203,you just wash them,6
202,content you just wash,6
201,and content you just,6
200,archaic and content you,6
199,hands archaic and content,6
198,your hands archaic and,6
1125,my medicine yeah you're,6
1124,you're my medicine yeah,6
987,mind don't you mind,6
985,don't you mind don't,6
1127,yeah you're medicine yeah,6
1128,you're medicine yeah you're,6
957,dead now dead now,6
986,you mind don't you,6
204,just wash them off,6
120,the same for you?,6
1914,more than you it,6
330,think i'm falling i'm,6
332,falling i'm falling for,6
333,i'm falling for you,6
331,i'm falling i'm falling,6
118,is it the same,6
1915,than you it takes,6
1916,you it takes a,6
1703,liked you now i,5
1697,didn't even see you,5
1707,ain't got no time,5
1696,i didn't even see,5
1706,i ain't got no,5
1705,now i ain't got,5
1704,you now i ain't,5
1699,see you when i,5
1698,even see you when,5
1702,i liked you now,5
1700,you when i liked,5
1709,no time girl i,5
1701,when i liked you,5
1708,got no time girl,5
1715,you undo it i,5
1710,time girl i wanna,5
1718,wanna see you but,5
1719,see you but you're,5
207,off the blood is,5
1721,but you're not mine,5
1711,girl i wanna see,5
206,them off the blood,5
205,wash them off the,5
1717,it i wanna see,5
1716,undo it i wanna,5
1714,see you undo it,5
1713,wanna see you undo,5
1720,you but you're not,5
1781,got a woman now,4
1212,now she's doing it,4
1780,i've got a woman,4
1779,oh i've got a,4
334,falling for you and,4
1778,and oh i've got,4
1267,[hook] yeah so far,4
122,for you? is it,4
1210,[chorus] and now she's,4
121,same for you? is,4
123,you? is it the,4
1175,you she does a,4
1176,she does a little,4
328,i i think i'm,4
958,now dead now well,4
956,you're dead now dead,4
327,me? i i think,4
1211,and now she's doing,4
1130,yeah you're my medicine,4
1980,wanna dance? do you,4
1979,you wanna dance? do,4
1978,do you wanna dance?,4
624,head cars bending head,4
625,cars bending head cars,4
626,bending head cars bending,4
1981,dance? do you wanna,4
1129,medicine yeah you're my,4
1123,because you're my medicine,3
1387,yeah it's alright [hook],3
962,you're dead now well,3
1386,alright yeah it's alright,3
1275,it's alright alright [verse,3
1753,you're not mine i,3
1754,not mine i didn't,3
1755,mine i didn't even,3
1905,[chorus] yeah it takes,3
1388,it's alright [hook] yeah,3
1389,alright [hook] yeah so,3
1258,it's only a couple,2
1977,say do you wanna,2
1263,lines [chorus] and now,2
1261,couple of lines [chorus],2
1260,a couple of lines,2
1259,only a couple of,2
1262,of lines [chorus] and,2
319,you're all i need,2
1982,do you wanna dance,2
1059,you mind i hurt,2
685,music for cars is,2
1255,your heart if it's,2
323,[hook] don't you see,2
324,don't you see me?,2
325,you see me? i,2
326,see me? i i,2
1060,mind i hurt your,2
1061,i hurt your brother,2
1062,hurt your brother as,2
1063,your brother as well,2
1257,if it's only a,2
117,[chorus] is it the,2
1254,mend your heart if,2
1253,won't mend your heart,2
1228,i want you she,2
1229,want you she does,2
1230,does a little bit,2
1231,a little bit on,2
1232,little bit on the,2
1233,bit on the sly,2
1234,on the sly that,2
1235,the sly that shows,2
1236,sly that shows what,2
1237,that shows what she's,2
1238,shows what she's up,2
1239,what she's up to,2
1240,she's up to she,2
1241,up to she started,2
1242,to she started talking,2
1243,she started talking about,2
1244,started talking about missing,2
1245,talking about missing him,2
1057,through hell don't you,2
1058,hell don't you mind,2
1975,and i say do,2
1976,i say do you,2
1246,about missing him she,2
1247,missing him she was,2
1248,him she was glistening,2
1249,she was glistening it,2
1250,was glistening it won't,2
1064,brother as well don't,2
1252,it won't mend your,2
1251,glistening it won't mend,2
336,you and don't you,2
1065,as well don't you,2
1070,oh i was thinking,2
1072,was thinking 'bout killing,2
1073,thinking 'bout killing myself,2
1074,'bout killing myself don't,2
1075,killing myself don't you,2
1076,myself don't you mind,2
1077,you mind i love,2
1078,mind i love you,2
1079,i love you don't,2
1080,love you don't you,2
1081,you don't you mind,2
2008,a bit more it,2
2009,bit more it takes,2
2010,more it takes a,2
617,your room what's that,2
