,term,weight
338,verse,0.046966731898238745
164,im,0.03292284063287475
371,youre,0.02945387961243006
60,chorus,0.029354207436399216
22,bit,0.0250487909930244
8,alright,0.024945324394534868
303,takes bit,0.024391714682567765
302,takes,0.024391714682567765
88,dont,0.020710880100532514
151,hook,0.019569471624266144
366,yeah takes bit,0.01663370702276725
365,yeah takes,0.01663370702276725
173,im scared,0.01450512595732271
270,scared,0.01450512595732271
375,youre medicine,0.014328799703447378
220,medicine,0.014328799703447378
331,time,0.014327303018425119
86,doing,0.013677517028514267
138,head,0.013650293538509764
339,wanna,0.013559851542692033
121,friends,0.01262830179307477
271,shes,0.011723606292713665
369,yeah youre medicine,0.011201526725728557
368,yeah youre,0.011201526725728557
225,mind,0.011149591697786718
115,far,0.010898014706683116
316,think,0.010848724399822212
259,said,0.010579708241841687
89,dont mind,0.010226290553956796
185,just,0.010159302746814034
274,shes doing time,0.009838961435418268
273,shes doing,0.009838961435418268
87,doing time,0.009838961435418268
117,far alright alright,0.008549209003915275
116,far alright,0.008549209003915275
360,yeah far alright,0.008549209003915275
359,yeah far,0.008549209003915275
361,yeah far alright alright,0.008549209003915275
9,alright alright,0.008549209003915275
345,want,0.008534878308340923
244,oh,0.008251429348348953
257,round,0.008138617285563579
153,house,0.008095685809585595
132,got,0.007951918368034367
210,love,0.0077446193214257
30,blood,0.007685144088098095
136,hands,0.007685144088098095
74,dead,0.007520921763071876
47,car,0.007355332033932471
261,say,0.00733270564546367
363,yeah shes doing,0.006970102250912786
364,yeah shes doing time,0.006970102250912786
362,yeah shes,0.006970102250912786
344,wanna youre,0.006766510993459685
118,far alright alright baby,0.006479794352732634
11,alright baby,0.006479794352732634
16,baby,0.006479794352732634
10,alright alright baby,0.006479794352732634
149,hes,0.0064562751171269375
333,tongue hands,0.006435885431141488
31,blood tongue,0.006435885431141488
32,blood tongue hands,0.006435885431141488
332,tongue,0.006435885431141488
19,bed,0.006183712817704485
159,id,0.005925707368625091
42,bridge,0.005870841487279843
48,cars,0.005709077951277101
197,liked,0.0056492198550844005
78,didnt liked,0.0056492198550844005
77,didnt,0.0056492198550844005
334,town,0.005585173168186188
196,like,0.005563478327336863
240,need,0.005522326092315842
109,falling,0.005461503810135634
165,im falling,0.005461503810135634
142,heart,0.00545917557785028
242,night,0.0051100458105792475
237,mouth,0.00505809423179933
194,life,0.005038887394837738
49,cars bending,0.004934309348302216
139,head cars,0.004934309348302216
140,head cars bending,0.004934309348302216
20,bending,0.004934309348302216
195,light,0.0048927579011195975
358,yeah alright,0.004839294536372571
50,cause,0.004599016315283247
163,ill,0.004582801727366201
304,talking,0.004512527207183296
198,lines,0.004344173864502489
97,end,0.0042879590099790255
372,youre dead,0.004282744821387539
160,id youre,0.004282744821387539
329,thought id youre dead,0.004282744821387539
161,id youre dead,0.004282744821387539
328,thought id youre,0.004282744821387539
327,thought id,0.004282744821387539
326,thought,0.004282744821387539
141,hear,0.004249239400946168
133,got time,0.004248744309094387
6,aint got time,0.004248744309094387
4,aint,0.004248744309094387
5,aint got,0.004248744309094387
311,theres,0.004230991040389595
179,ive,0.004214772869328289
70,dance,0.004135484703294979
128,girl,0.004108382194637816
130,girl wanna undo,0.004108382194637816
343,wanna undo,0.004108382194637816
336,undo,0.004108382194637816
129,girl wanna,0.004108382194637816
307,telephone,0.003913894324853229
252,prechorus,0.003913894324853229
317,think im,0.0038885150048372304
253,pushing,0.003776503660865732
15,archaic content just wash,0.0037593431222430183
14,archaic content just,0.0037593431222430183
66,content just wash,0.0037593431222430183
65,content just,0.0037593431222430183
13,archaic content,0.0037593431222430183
64,content,0.0037593431222430183
12,archaic,0.0037593431222430183
186,just wash,0.0037593431222430183
346,wash,0.0037593431222430183
277,sitting,0.003705098523255162
40,boy,0.0036519213966018974
98,everybody,0.0035620847308812983
93,dont want,0.0035222058582101735
67,cool,0.003500275875495402
33,bones,0.003493737992977449
107,fall,0.003491668810257779
287,soft,0.003469492221498012
150,high,0.0034531124435855476
120,friend,0.003452347578952716
251,playing,0.003445239574018537
18,beat,0.0034208842408375625
330,til,0.0033994232416637462
340,wanna dance,0.00338608463943905
292,sound,0.003352522960132236
184,jeans,0.0033407177714022455
347,way,0.0033407177714022455
126,getting,0.003299739410568297
62,coming,0.003275026674302363
279,skin,0.0032650529374783684
290,soon,0.003264971035668366
190,knocking,0.0031567712858690906
238,music,0.0031283493761687636
309,terrible,0.00305749723564737
298,stay,0.0030199245958103665
318,think im falling,0.0030190309045060692
105,facedown,0.0030087090871238186
217,maybe,0.002985678226412667
200,little,0.0029349234739834223
208,looking,0.002908980673958138
322,thinking,0.0028923789621727513
7,alive,0.002844637970690233
91,dont mind dont mind,0.002826691177858541
226,mind dont,0.002826691177858541
90,dont mind dont,0.002826691177858541
227,mind dont mind,0.002826691177858541
61,come,0.002826246688212763
286,smoke,0.002825652702457623
357,write,0.002770477353215377
75,dead dead,0.0027602191674838657
193,leave,0.002731962245859033
59,chasing,0.002687018895506026
21,bike,0.0026785577128988244
92,dont need,0.002629477112117089
294,started,0.002605177983666957
183,ive got woman,0.002574816959364634
352,woman,0.002574816959364634
134,got woman,0.002574816959364634
182,ive got,0.002574816959364634
247,oh ive got woman,0.002574816959364634
246,oh ive got,0.002574816959364634
245,oh ive,0.002574816959364634
119,feel,0.002572983272081701
216,man,0.0025710844185662177
310,thats,0.0025679466705275946
377,youre room,0.002564308397880659
256,room,0.002564308397880659
376,youre need,0.0025099549925400476
209,lost,0.0024774706725994382
111,falling im falling,0.0024424729056295655
167,im falling im falling,0.0024424729056295655
166,im falling im,0.0024424729056295655
319,think im falling im,0.0024424729056295655
