,term,weight
260,verse,0.040255081705858876
37,chorus,0.039856516540454336
116,im,0.02477678878242636
296,youre,0.023177273081507105
131,just,0.022198648519489845
165,love,0.019531050050278737
183,oh,0.01923805236335859
51,dont,0.017804559893246107
89,got,0.017087194305461694
138,know,0.016700743223713618
277,yeah,0.016332316868900063
200,said,0.013848076769782164
272,way,0.013425548262257775
202,say,0.012174034567383077
211,shes,0.011692728519673477
28,cause,0.011626923476732021
242,think,0.011511920569224404
249,time,0.011365261083210948
151,like,0.010899980602071695
126,ive,0.010100182461154792
262,wanna,0.009616884133811773
102,heart,0.009376570781931054
195,prechorus,0.009166998804304504
110,id,0.008453826385589254
24,bridge,0.008369868473495416
57,dream,0.007971303308090871
229,talk,0.007687550873428726
115,ill,0.007525451451539402
87,gonna,0.007501854035305674
175,mind,0.007144185558855635
267,want,0.007085164261378622
78,friends,0.007010704549544485
180,need,0.006916430265306229
1,alright,0.006780884404031811
188,outro,0.006377042646472698
220,somebody,0.006337939696457889
101,head,0.006037342101283565
12,bit,0.005946565626330553
34,change,0.005923769520361049
111,id love,0.005853512372819171
159,living,0.005827869963047745
169,loving,0.005766152920262303
274,wont,0.005762672346266557
222,sound,0.00569205826906318
250,times,0.005427095768898159
227,takes,0.005343570553822607
47,die,0.005299163208963954
11,better,0.0051618660790409806
170,make,0.005122921769192134
64,face,0.005082950396008496
176,money,0.0050083338445581485
109,house,0.004880904254994158
228,takes bit,0.004871175341222413
88,gonna quit,0.004817510805763059
197,quit,0.004817510805763059
108,hook,0.004782781984854524
207,scared,0.004709100434968682
241,things,0.004692476261454861
149,life,0.00468691430268088
257,try,0.004570794915610876
21,boy,0.0044837635736855235
263,wanna die,0.004424934956068734
235,thats,0.004381414297256086
38,city,0.004370841431451316
82,girl,0.004315551876030176
236,theres,0.004266287283314079
104,hes,0.0041789345867635054
162,looking,0.004138272207843475
9,believe,0.00413635649942137
119,im scared,0.004048637064827613
23,brain,0.004023625332472703
163,lost,0.00401228496961745
83,girls,0.003977407107252151
40,cool,0.003948081829492183
171,man,0.003936026353627948
16,body,0.003917929381911717
53,dont mind,0.0039024262498894985
161,look,0.0038631668976565167
49,doing,0.0037776794719591184
226,stop,0.0037541772081020486
140,know sound,0.0037187832924026544
212,shes american,0.0037171903009670065
5,american,0.0037171903009670065
237,theyre,0.003667141876236563
164,loud,0.0036529745432600474
103,help,0.0036473361164328162
293,youd,0.0036358672479171548
26,car,0.0036118939226578058
127,ive got,0.003588571724910952
208,seen,0.0035266414740772367
48,does,0.0035021396922968657
60,early,0.003446191625249536
32,cause know,0.0034357468613531172
7,baby,0.003338201066526315
245,thought,0.0033206745103816437
179,mouth,0.0033142176301440276
84,giving,0.0033091364465548134
54,dont want,0.0032873106038927014
234,telling,0.003253509409329124
261,wait,0.003253392746684811
225,stay,0.0032317748542579788
233,tell,0.0032243086961142803
8,bed,0.0032085207546574683
285,yeah takes,0.003190355815439431
286,yeah takes bit,0.003190355815439431
123,instrumental,0.0031885213232363497
63,eyes,0.0031792125947959294
172,maybe,0.003167477981067128
185,oh oh,0.0031663155148910892
199,round,0.003157349204250192
256,town,0.003139538589761874
294,youll,0.003089599539240297
25,broken,0.0030786269400616822
150,light,0.0030750791941679717
136,just girls,0.003051340248853108
196,pressure,0.0030285569787756087
36,change pressure,0.0030285569787756087
46,didnt,0.0030164461840208926
98,hands,0.0029992672929213984
97,hair,0.002966359249685057
71,feel,0.0029474047666140854
77,friend,0.0029071237162189827
301,youre medicine,0.0028948564450541753
174,medicine,0.0028948564450541753
72,feeling,0.002863038643262648
130,ive seen,0.0028555870304823915
152,liked,0.002841437948334474
258,turn,0.0028304051583359253
215,shes got,0.0028136584345858275
217,shoes,0.0027975243689847603
6,awake,0.002789956157831806
74,fine,0.0027511785883492204
281,yeah loving,0.0027240580163759836
203,says,0.002686574541661992
157,listen,0.002681808396561273
80,fucking,0.0026469940712281433
41,dance,0.002610902050288518
251,told,0.002608543761951086
231,talking,0.0026077960767287574
81,getting,0.002605509752939379
99,hard,0.002595698521252733
27,cars,0.0025929511387933115
141,know sound heart,0.0025803657609836197
223,sound heart,0.0025803657609836197
66,falling,0.0025508810338234545
219,skin,0.002531216768860835
122,instead,0.0025295702448138915
148,lie,0.002527531415569378
44,dead,0.0024925920914480077
254,tonight,0.0024525340820024367
67,far,0.0024196417132953778
93,gun,0.002406143052807131
146,left,0.0024004649085877265
59,drink,0.0023501156102701116
295,young,0.0023392060121817074
133,just change heart,0.0023304202660421585
132,just change,0.0023304202660421585
35,change heart,0.0023304202660421585
85,going,0.0023262702498356856
105,hey,0.0023045560665207274
276,wrong,0.002303978361503225
147,let,0.0022974900145869095
238,theyre just,0.0022929447374237535
239,theyre just girls,0.0022929447374237535
55,dont want body,0.002290885316799097
268,want body,0.002290885316799097
198,room,0.0022858166822358845
10,best,0.002274843531880738
240,thing,0.0022624394469913517
86,gone,0.002243691054636951
218,sit,0.0022317281270974737
125,isnt,0.0022274680818746453
259,veins,0.0022213549814474247
290,yeah youre,0.002202666041033345
291,yeah youre medicine,0.002202666041033345
173,mean,0.0021998922169367396
184,oh loving,0.0021820014818416836
186,oh oh loving,0.0021820014818416836
302,youve,0.002176142461598958
209,selling,0.0021670817969735977
65,fall,0.0021662599560563064
118,im lost,0.0021606071876808593
79,fuck,0.0021379090682036744
221,soul,0.002131528188060253
142,know youre,0.002118213966632421
73,feelings,0.0021120565958479076
182,nose,0.0020773093593143025
190,pain,0.0020740291957360144
160,lonely,0.0020541739594755856
214,shes doing time,0.0020467996200422035
213,shes doing,0.0020467996200422035
50,doing time,0.0020467996200422035
194,phone,0.0020333927582043476
230,talk loud,0.002000263612164731
244,thinking,0.001996271638061917
224,start,0.0019953636942994396
58,dressed,0.0019884001030488355
0,aint,0.00193259983925247
292,yes,0.001925842092278783
273,whats,0.0019240463407744135
145,leave,0.0019059782488166012
120,inside,0.0019051526929220032
121,inside mind,0.0019051526929220032
39,cold,0.0018893656724822516
42,dancing,0.0018817010858167144
255,took,0.0018668530353583475
22,boyfriend,0.0018366565243419708
13,blood,0.0018354536709363205
189,outside,0.0018225034704762403
45,did,0.001819651759268194
137,just wash,0.0018178239396613584
271,wash,0.0018178239396613584
252,tongue,0.0018010738179344192
62,eat,0.0017885810496774028
275,wont try,0.0017656581936808917
187,oh yeah,0.001737361584449415
181,night,0.001731230302109911
69,far alright alright,0.0017264366762347477
68,far alright,0.0017264366762347477
278,yeah far,0.0017264366762347477
280,yeah far alright alright,0.0017264366762347477
279,yeah far alright,0.0017264366762347477
2,alright alright,0.0017264366762347477
158,little,0.0017262384247848789
43,day,0.0017256831847210928
61,early early,0.001723095812624768
201,said ive,0.0016492295709843972
117,im giving,0.0016479192840532604
216,shes got boyfriend,0.001639126739714585
90,got boyfriend,0.001639126739714585
144,know youre cause know,0.0015873659599538632
299,youre cause know sound,0.0015873659599538632
298,youre cause know,0.0015873659599538632
297,youre cause,0.0015873659599538632
33,cause know sound,0.0015873659599538632
143,know youre cause,0.0015873659599538632
191,paris,0.0015499313495593594
20,bout,0.0015296537312650068
192,people,0.0015081587272328114
124,internet,0.0014835818781065455
100,having,0.0014758375335220232
210,sex,0.0014708836452159836
112,id love paris,0.0014097093886060407
168,love paris,0.0014097093886060407
282,yeah shes,0.0014076986050611713
284,yeah shes doing time,0.0014076986050611713
283,yeah shes doing,0.0014076986050611713
134,just dont,0.0013731714370499688
289,yeah wanna love know,0.0013603511517310512
166,love know,0.0013603511517310512
139,know city,0.0013603511517310512
167,love know city,0.0013603511517310512
266,wanna love know city,0.0013603511517310512
265,wanna love know,0.0013603511517310512
287,yeah wanna,0.0013603511517310512
288,yeah wanna love,0.0013603511517310512
264,wanna love,0.0013603511517310512
14,blood tongue,0.0013317175077157194
15,blood tongue hands,0.0013317175077157194
253,tongue hands,0.0013317175077157194
70,far alright alright baby,0.0012944191267268894
3,alright alright baby,0.0012944191267268894
4,alright baby,0.0012944191267268894
96,guns hidden petticoats,0.0012800761117889266
106,hidden,0.0012800761117889266
107,hidden petticoats,0.0012800761117889266
95,guns hidden,0.0012800761117889266
94,guns,0.0012800761117889266
193,petticoats,0.0012800761117889266
243,think im,0.0012511753624310576
153,likes,0.0012036175307792078
246,thought id,0.0012001476011434685
300,youre dead,0.0011829480230354664
178,monogamy isnt,0.0011197685369735714
177,monogamy,0.0011197685369735714
75,fix,0.001069916113232859
29,cause just,0.001019712609814511
248,thought id youre dead,0.00098001051706137
