,ngram,count
5270,she way out,29
8,i know the,28
9,know the sound,28
3485,it takes a,26
3486,takes a bit,26
3487,a bit more,26
1277,i don't want,24
1992,want your body,22
1991,don't want your,22
6774,gonna quit it,21
7742,we made it,20
6773,never gonna quit,20
3028,don't you mind,19
8684,i'd love it,19
8685,love it if,19
8686,it if we,19
8687,if we made,19
3369,we're never gonna,19
4933,always wanna die,18
3484,yeah it takes,18
22,'cause i know,18
514,do you talk,16
6772,no we're never,16
1394,yeah so far,16
513,why do you,16
1395,so far it's,16
6775,quit it no,16
1397,it's alright alright,16
1396,far it's alright,16
2145,loving someone oh,15
2146,someone oh oh,15
7343,be my dream,15
7342,must be my,15
7341,this must be,15
264,all the time,15
3489,more yeah it,14
2042,body i don't,14
3342,i've never seen,14
2041,your body i,14
5431,giving it up,14
1051,she's doing it,14
14,of your heart,14
2,i know when,14
3,know when you're,14
4,when you're around,14
1052,doing it all,14
1053,it all the,14
10,the sound i,14
11,sound i know,14
2142,you should be,14
12,the sound of,14
13,sound of your,14
2147,oh oh loving,13
4360,a change of,13
4359,had a change,13
3366,change in pressure,13
2148,oh loving someone,13
4357,i just had,13
4358,just had a,13
2659,you know where,13
3488,bit more yeah,13
8105,they're just girls,13
4361,change of heart,13
20,you're around 'cause,12
1399,alright baby yeah,12
1398,alright alright baby,12
6375,know where the,12
1400,baby yeah so,12
6688,i'm not scared,12
2141,yeah you should,12
5271,way out i've,12
2002,with somebody else,12
21,around 'cause i,12
6374,then you know,12
1,well i know,12
4316,not it's not,12
4315,it's not it's,12
6376,where the city,12
5272,out i've never,12
969,medicine yeah you're,12
6372,find love then,12
6373,love then you,12
6371,wanna find love,12
6377,the city is,12
8683,and i'd love,12
6370,you wanna find,12
6369,yeah you wanna,12
5281,out she way,12
5280,way out she,12
5273,never seen her,12
2149,loving someone yeah,11
2150,someone yeah you,11
3491,more than you,10
3490,bit more than,10
1054,the time yeah,10
2143,should be loving,10
4177,it's not living,10
3322,early early early,10
7852,i wanna see,10
7853,wanna see you,10
4178,not living if,10
4179,living if it's,10
4180,if it's not,10
4181,it's not with,10
4182,not with you,10
1055,time yeah she's,10
1056,yeah she's doing,10
1796,she's got a,10
2144,be loving someone,10
4997,wanna die always,9
6378,city is yeah,9
3287,then how can,9
3288,how can i,9
3289,can i find,9
3290,i find myself?,9
944,you and i,9
4765,why don't you,9
1351,well i thought,9
2607,to go to,9
1797,got a boyfriend,9
6379,is yeah you,9
1798,a boyfriend anyway,9
6694,scared i'm not,9
6693,not scared i'm,9
5516,not giving it,9
4998,die always wanna,9
5515,i'm not giving,9
8843,give yourself a,9
16,heart well i,9
15,your heart well,9
1354,i'd see you,8
1357,around but you're,8
1358,but you're dead,8
1359,you're dead now,8
1353,thought i'd see,8
1355,see you around,8
3616,inside your mind,8
8731,made it and,8
8732,it and i'd,8
2609,to paris again,8
2608,go to paris,8
2606,love to go,8
2605,i'd love to,8
4932,i always wanna,8
2604,how i'd love,8
2113,get someone you,8
1352,i thought i'd,8
1356,you around but,8
7998,the blood is,8
6776,it no we're,8
6769,under our petticoats,8
6768,hidden under our,8
6767,guns hidden under,8
970,yeah you're medicine,8
7999,blood is on,8
519,you talk so?,8
516,talk so loud?,8
515,you talk so,8
3284,if i'm lost,8
6771,petticoats no we're,8
6770,our petticoats no,8
8004,as well as,8
8003,tongue as well,8
8000,is on your,8
8001,on your tongue,8
8002,your tongue as,8
1167,think i'm falling,8
8006,as your hands,8
8005,well as your,8
1166,i think i'm,8
2900,fix my teeth,7
2901,my teeth then,7
3952,i think we,7
2902,teeth then she's,7
8300,and say something,7
2903,then she's so,7
2904,she's so american,7
2905,so american she's,7
2898,got to fix,7
4490,of heart i,7
2899,to fix my,7
967,you're my medicine,7
2897,i've got to,7
2896,says i've got,7
2895,she says i've,7
1248,you look so,7
2893,american if she,7
2892,she's american if,7
2887,eat and we're,7
2886,don't eat and,7
2885,just don't eat,7
2884,we just don't,7
2880,she likes it,7
2851,i've got a,7
1363,now well i,7
1362,dead now well,7
8848,you give yourself,7
8847,won't you give,7
2906,american she's american,7
8851,try? won't you,7
3326,there isn't much,7
3325,monogamy there isn't,7
8849,yourself a try?,7
3029,you mind i,7
2476,i love you,7
4934,wanna die sometimes,7
8850,a try? won't,7
8689,it yes i'd,6
5286,i'm telling you,6
5287,telling you she,6
5288,you she way,6
2883,cause we just,6
8690,yes i'd love,6
682,and love me,6
8688,made it yes,6
683,love me yeah,6
5284,talk but i'm,6
2882,it cause we,6
2881,likes it cause,6
4769,my heart out?,6
4768,figure my heart,6
4767,you figure my,6
4766,don't you figure,6
5285,but i'm telling,6
3441,[verse 1] and,6
5283,her talk but,6
4764,tonight why don't,6
858,what about these,6
859,about these feelings,6
860,these feelings i've,6
861,feelings i've got?,6
3492,than you it,6
3493,you it takes,6
2894,if she says,6
3496,[verse 2] and,6
4814,i found you,6
4503,in the city,6
3938,i don't think,6
5274,seen her dance,6
5275,her dance moves,6
5276,dance moves dancing,6
5277,moves dancing like,6
5278,dancing like she,6
5279,like she way,6
5282,seen her talk,6
4760,it's just you,6
4762,and i tonight,6
1169,falling i'm falling,6
1237,you now i,6
106,i know you,6
968,my medicine yeah,6
3035,you mind don't,6
3036,mind don't you,6
971,you're medicine yeah,6
1171,falling for you,6
1170,i'm falling for,6
1168,i'm falling i'm,6
4761,just you and,6
3323,early early monogamy,6
3324,early monogamy there,6
3378,broken veins say,6
3377,my broken veins,6
1999,think about you,6
1993,your body but,6
25,[verse 1] i,6
3551,do you wanna,6
518,loud? why do,6
517,so loud? why,6
3292,myself? if i'm,6
3291,find myself? if,6
7943,the same for,6
1361,now dead now,6
2879,if she likes,6
1360,dead now dead,6
4018,time three time,6
882,[verse 2] i,6
4540,heart i just,6
8012,your hands archaic,6
8013,hands archaic and,6
8014,archaic and content,6
8015,and content you,6
8016,content you just,6
8017,you just wash,6
8018,just wash them,6
8019,wash them off,6
5642,head cars bending,6
6904,seriously better go,6
7944,same for you?,6
4763,i tonight why,6
7941,is it the,6
7843,i liked you,6
7942,it the same,6
3947,be more than,6
8304,would you please,6
7086,look so cool,5
7372,dream we can't,5
7373,we can't make,5
7374,can't make love,5
7375,make love when,5
7369,amount to? this,5
7368,love amount to?,5
2071,oh i just,5
7367,our love amount,5
7854,see you undo,5
5269,because she way,5
7378,you fly around,5
7376,love when you,5
8235,scared of dying,5
8125,just girls they're,5
8126,girls they're just,5
7838,didn't even see,5
686,if that's what,5
7371,my dream we,5
8298,city believe and,5
687,that's what you,5
688,what you wanna,5
7377,when you fly,5
7846,i ain't got,5
8295,being young in,5
689,you wanna do,5
868,and you said,5
220,i know that,5
8273,me lay down?,5
8299,believe and say,5
6899,well i think,5
7842,when i liked,5
7861,you're not mine,5
1373,can you see,5
7860,but you're not,5
7859,you but you're,5
7841,you when i,5
7840,see you when,5
5432,it up again,5
7858,see you but,5
7857,it i wanna,5
1757,the back of,5
7856,undo it i,5
7844,liked you now,5
7845,now i ain't,5
1568,i can't be,5
7839,even see you,5
7855,you undo it,5
3328,much early early,5
8297,the city believe,5
7351,my dream i,5
7837,i didn't even,5
3327,isn't much early,5
4158,i do is,5
4164,you if i,5
692,oh yeah? no,5
7364,what does all,5
7352,dream i can't,5
7363,dream what does,5
7362,my dream what,5
7380,around me baby,5
