song,count
Anobrain,"7,432,865"
Antichrist,"12,777,097"
Facedown,"6,637,967"
Fallingforyou,"55,471,805"
Haunt    Bed,"8,420,869"
Head.Cars.Bending,"11,940,891"
HNSCC,"6,149,154"
Intro Set3,"6,255,178"
Me,"27,336,877"
Medicine,"23,328,598"
Milk,"8,966,845"
So Far (It's Alright),"12,884,266"
The 1975 (The 1975),"16,187,313"
The 1975 (ILIWYSFYASBYSUOI),"12,338,379"
The 1975 (ABIIOR),"1,933,182"
Undo,"14,686,627"
Woman,"7,542,477"
You,"15,154,860"
Chocolate,"204,096,824"
Girls,"116,734,963"
Heart Out,"42,952,746"
Is There Somebody Who Can Watch You,"18,314,793"
M.O.N.E.Y.,"23,847,496"
Menswear,"38,156,083"
Pressure,"22,272,967"
Robbers,"86,515,478"
Settle Down,"49,616,570"
SEX,"78,394,792"
She Way Out,"30,951,812"
Talk!,"19,869,313"
The City,"41,037,779"
A Change of Heart,"39,590,852"
If I Believe You,"33,699,192"
Lostmyhead,"11,873,080"
Nana,"20,942,874"
Paris,"25,049,507"
She Lays Down,"16,504,004"
She's American,"36,981,859"
Somebody Else,"201,177,376"
The Ballad of Me and My Brain,"14,634,880"
The Sound,"157,713,367"
This Must Be My Dream,"20,816,286"
UGH!,"59,830,590"
Love Me,"39,972,347"
Loving Someone,"35,703,388"
Be My Mistake,"3,370,601"
Give Yourself a Try,"29,485,871"
How to Draw   Petrichor,"2,171,496"
I Always Wanna Die (Sometimes),"4,505,055"
I Couldn't Be More in Love,"2,405,627"
I Like America & America Likes Me,"2,814,954"
Inside Your Mind,"2,262,892"
It's Not Living (If It's Not With You),"15,279,602"
Love It If We Made It,"31,261,999"
Sincerity Is Scary,"16,340,872"
Surrounded by Heads and Bodies,"1,831,588"
The Man Who Married a Robot   Love Theme,"1,612,509"
TOOTIMETOOTIMETOOTIME,"33,316,288"
Mine,"1,957,245"
