ID,StartDate,discrimination,internalized-homophobia,tests-six-months,never-heard-of-prep,self-esteem,,,,,,,,,,,,,,,,
988,17-Apr-2018 20:00:53,3.67,5,0,1,23,,,,,,,,,,,,,,,,
203,21-Apr-2018 01:33:55,2.22,4.67,0,1,33,,,,,,,,,,,,,,,,
767,21-Apr-2018 05:26:14,1.89,4.56,0,1,33,,,,,,,,,,,,,,,,
207,21-Apr-2018 19:19:36,1,4.44,0,1,32,,,,,,,,,,,,,,,,
252,18-Apr-2018 09:37:26,4.89,4.44,0,1,24,,,,,,,,,,,,,,,,
256,18-Apr-2018 23:05:44,2.22,4.44,0,0,27,,,,,,,,,,,,,,,,
173,21-Apr-2018 07:16:45,1,4.33,1,1,31,,,,,,,,,,,,,,,,
201,21-Apr-2018 06:37:27,2.67,4.33,0,1,31,,,,,,,,,,,,,,,,
206,21-Apr-2018 18:03:57,1,4.33,1,1,32,,,,,,,,,,,,,,,,
209,21-Apr-2018 01:26:07,1.89,4.33,1,1,33,,,,,,,,,,,,,,,,
805,21-Apr-2018 12:45:19,3.89,4.33,0,1,24,,,,,,,,,,,,,,,,
929,21-Apr-2018 19:27:13,1.56,4.33,0,1,31,,,,,,,,,,,,,,,,
1007,20-Apr-2018 23:39:15,1,4.33,0,1,29,,,,,,,,,,,,,,,,
249,21-Apr-2018 06:25:56,2.11,4.22,1,1,32,,,,,,,,,,,,,,,,
800,18-Apr-2018 14:00:45,4.22,4.22,1,1,26,,,,,,,,,,,,,,,,
11,18-Apr-2018 08:30:41,2.89,4.11,1,1,24,,,,,,,,,,,,,,,,
64,20-Apr-2018 11:39:06,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
147,21-Apr-2018 12:32:38,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
253,17-Apr-2018 20:41:46,4.44,4.11,0,1,26,,,,,,,,,,,,,,,,
260,17-Apr-2018 18:09:27,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
304,18-Apr-2018 01:49:37,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
348,21-Apr-2018 21:00:00,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
369,18-Apr-2018 08:49:47,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
371,20-Apr-2018 10:25:11,3.22,4.11,0,0,28,,,,,,,,,,,,,,,,
459,18-Apr-2018 18:58:16,2.89,4.11,0,1,23,,,,,,,,,,,,,,,,
521,19-Apr-2018 02:05:04,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
732,21-Apr-2018 11:39:27,3.22,4.11,0,0,26,,,,,,,,,,,,,,,,
198,21-Apr-2018 19:12:12,2,4,1,1,20,,,,,,,,,,,,,,,,
212,21-Apr-2018 03:27:49,1.56,4,0,1,34,,,,,,,,,,,,,,,,
379,21-Apr-2018 13:13:22,4.44,4,1,1,24,,,,,,,,,,,,,,,,
455,20-Apr-2018 19:26:53,2.89,4,0,1,25,,,,,,,,,,,,,,,,
515,18-Apr-2018 07:56:59,4.22,4,0,0,25,,,,,,,,,,,,,,,,
653,21-Apr-2018 18:30:08,2.78,4,1,1,31,,,,,,,,,,,,,,,,
859,20-Apr-2018 23:01:37,1,4,1,1,33,,,,,,,,,,,,,,,,
869,21-Apr-2018 08:48:33,4,4,1,1,23,,,,,,,,,,,,,,,,
940,21-Apr-2018 20:23:47,2.56,4,1,1,28,,,,,,,,,,,,,,,,
18,17-Apr-2018 18:50:48,4.44,3.89,0,0,24,,,,,,,,,,,,,,,,
60,18-Apr-2018 21:14:25,4.33,3.89,1,1,25,,,,,,,,,,,,,,,,
161,20-Apr-2018 21:02:38,4,3.89,0,0,27,,,,,,,,,,,,,,,,
196,21-Apr-2018 01:17:23,1.44,3.89,1,1,35,,,,,,,,,,,,,,,,
202,21-Apr-2018 18:12:56,1,3.89,1,1,30,,,,,,,,,,,,,,,,
261,17-Apr-2018 18:36:22,4.22,3.89,0,0,23,,,,,,,,,,,,,,,,
270,21-Apr-2018 13:51:57,1.38,3.89,1,1,17,,,,,,,,,,,,,,,,
329,17-Apr-2018 20:18:16,3.89,3.89,0,0,26,,,,,,,,,,,,,,,,
368,20-Apr-2018 10:34:25,3.56,3.89,0,0,24,,,,,,,,,,,,,,,,
472,18-Apr-2018 09:41:20,3,3.89,1,1,27,,,,,,,,,,,,,,,,
574,21-Apr-2018 12:44:46,4.33,3.89,1,1,26,,,,,,,,,,,,,,,,
697,18-Apr-2018 12:02:07,3.56,3.89,1,1,31,,,,,,,,,,,,,,,,
721,21-Apr-2018 13:13:21,3.56,3.89,0,0,28,,,,,,,,,,,,,,,,
989,17-Apr-2018 21:45:27,2.11,3.89,0,0,31,,,,,,,,,,,,,,,,
16,18-Apr-2018 08:59:42,2.89,3.78,0,1,24,,,,,,,,,,,,,,,,
23,21-Apr-2018 12:59:46,4.67,3.78,1,0,26,,,,,,,,,,,,,,,,
62,18-Apr-2018 04:32:48,4.11,3.78,1,1,24,,,,,,,,,,,,,,,,
68,21-Apr-2018 08:30:06,2.89,3.78,0,1,24,,,,,,,,,,,,,,,,
135,19-Apr-2018 02:37:03,3.56,3.78,0,1,25,,,,,,,,,,,,,,,,
195,18-Apr-2018 10:50:38,4.67,3.78,0,0,22,,,,,,,,,,,,,,,,
205,21-Apr-2018 00:01:18,1.22,3.78,0,1,32,,,,,,,,,,,,,,,,
242,21-Apr-2018 01:47:32,3.89,3.78,1,1,26,,,,,,,,,,,,,,,,
264,20-Apr-2018 20:43:16,3.22,3.78,0,1,27,,,,,,,,,,,,,,,,
267,21-Apr-2018 12:22:21,2.89,3.78,0,1,23,,,,,,,,,,,,,,,,
300,19-Apr-2018 01:49:34,4.11,3.78,0,1,24,,,,,,,,,,,,,,,,
301,20-Apr-2018 11:07:00,2.33,3.78,0,1,23,,,,,,,,,,,,,,,,
320,21-Apr-2018 12:46:48,5.33,3.78,1,1,28,,,,,,,,,,,,,,,,
321,21-Apr-2018 19:30:36,2.89,3.78,0,1,21,,,,,,,,,,,,,,,,
323,21-Apr-2018 20:20:12,5.33,3.78,1,1,25,,,,,,,,,,,,,,,,
324,20-Apr-2018 10:43:01,4.78,3.78,1,1,25,,,,,,,,,,,,,,,,
341,21-Apr-2018 20:08:05,5.33,3.78,1,1,26,,,,,,,,,,,,,,,,
344,18-Apr-2018 08:08:44,2.89,3.78,0,0,24,,,,,,,,,,,,,,,,
345,20-Apr-2018 10:14:45,2.89,3.78,0,1,22,,,,,,,,,,,,,,,,
347,21-Apr-2018 21:36:53,5.33,3.78,1,1,26,,,,,,,,,,,,,,,,
350,21-Apr-2018 10:29:00,2.89,3.78,0,1,25,,,,,,,,,,,,,,,,
357,20-Apr-2018 11:27:18,3.33,3.78,0,1,25,,,,,,,,,,,,,,,,
372,21-Apr-2018 21:47:41,5.33,3.78,1,1,25,,,,,,,,,,,,,,,,
373,17-Apr-2018 19:18:08,3.78,3.78,0,0,26,,,,,,,,,,,,,,,,
378,21-Apr-2018 10:46:53,5.33,3.78,1,1,25,,,,,,,,,,,,,,,,
380,20-Apr-2018 10:50:12,2.33,3.78,0,1,22,,,,,,,,,,,,,,,,
457,21-Apr-2018 11:57:50,5.33,3.78,1,1,25,,,,,,,,,,,,,,,,
558,21-Apr-2018 16:53:18,3.11,3.78,0,0,16,,,,,,,,,,,,,,,,
575,19-Apr-2018 02:45:36,4,3.78,1,1,23,,,,,,,,,,,,,,,,
584,21-Apr-2018 09:46:14,3.22,3.78,0,1,24,,,,,,,,,,,,,,,,
663,21-Apr-2018 12:31:49,4.44,3.78,0,1,27,,,,,,,,,,,,,,,,
748,21-Apr-2018 07:23:19,2.78,3.78,0,1,26,,,,,,,,,,,,,,,,
788,19-Apr-2018 08:45:18,4.11,3.78,1,1,22,,,,,,,,,,,,,,,,
820,19-Apr-2018 09:05:48,4.11,3.78,1,1,24,,,,,,,,,,,,,,,,
857,21-Apr-2018 05:42:22,4.11,3.78,1,1,24,,,,,,,,,,,,,,,,
873,21-Apr-2018 12:59:43,4.11,3.78,1,0,25,,,,,,,,,,,,,,,,
875,21-Apr-2018 18:29:22,2,3.78,1,1,31,,,,,,,,,,,,,,,,
897,20-Apr-2018 06:51:39,3.89,3.78,1,1,28,,,,,,,,,,,,,,,,
964,21-Apr-2018 03:41:47,4.11,3.78,1,1,28,,,,,,,,,,,,,,,,
970,21-Apr-2018 04:04:33,4.56,3.78,1,1,27,,,,,,,,,,,,,,,,
990,17-Apr-2018 20:17:07,2.89,3.78,0,0,28,,,,,,,,,,,,,,,,
997,21-Apr-2018 07:07:26,4,3.78,1,1,25,,,,,,,,,,,,,,,,
1019,21-Apr-2018 18:47:09,4,3.78,1,1,26,,,,,,,,,,,,,,,,
756,21-Apr-2018 09:35:06,1.89,3.75,0,0,27,,,,,,,,,,,,,,,,
232,18-Apr-2018 13:47:46,4.67,3.67,1,1,24,,,,,,,,,,,,,,,,
305,17-Apr-2018 19:40:20,4.67,3.67,0,0,27,,,,,,,,,,,,,,,,
306,21-Apr-2018 09:56:44,5.67,3.67,1,1,28,,,,,,,,,,,,,,,,
366,18-Apr-2018 08:53:55,4.11,3.67,0,0,24,,,,,,,,,,,,,,,,
567,19-Apr-2018 01:29:01,4.22,3.67,1,1,23,,,,,,,,,,,,,,,,
612,21-Apr-2018 10:55:29,3.11,3.67,0,1,27,,,,,,,,,,,,,,,,
630,18-Apr-2018 10:50:36,4.56,3.67,1,1,23,,,,,,,,,,,,,,,,
646,19-Apr-2018 04:28:10,4,3.67,1,1,23,,,,,,,,,,,,,,,,
774,19-Apr-2018 02:24:17,3.89,3.67,1,1,26,,,,,,,,,,,,,,,,
787,19-Apr-2018 07:10:36,4,3.67,1,1,24,,,,,,,,,,,,,,,,
858,21-Apr-2018 07:04:48,4.11,3.67,1,1,21,,,,,,,,,,,,,,,,
941,21-Apr-2018 01:12:20,4.11,3.67,1,1,24,,,,,,,,,,,,,,,,
1008,21-Apr-2018 08:40:48,4.22,3.63,0,1,24,,,,,,,,,,,,,,,,
17,18-Apr-2018 08:50:05,4.56,3.56,1,1,25,,,,,,,,,,,,,,,,
59,20-Apr-2018 19:42:22,,3.56,0,1,25,,,,,,,,,,,,,,,,
65,17-Apr-2018 19:04:22,4.11,3.56,0,0,26,,,,,,,,,,,,,,,,
139,21-Apr-2018 07:34:21,2.67,3.56,1,1,28,,,,,,,,,,,,,,,,
155,18-Apr-2018 10:00:34,4.56,3.56,0,0,27,,,,,,,,,,,,,,,,
158,21-Apr-2018 11:57:09,3.67,3.56,1,1,30,,,,,,,,,,,,,,,,
193,18-Apr-2018 09:47:23,4.11,3.56,1,0,27,,,,,,,,,,,,,,,,
248,21-Apr-2018 05:42:02,4.22,3.56,1,1,23,,,,,,,,,,,,,,,,
259,18-Apr-2018 01:06:35,4.22,3.56,1,1,26,,,,,,,,,,,,,,,,
308,18-Apr-2018 01:10:48,4,3.56,1,1,25,,,,,,,,,,,,,,,,
314,20-Apr-2018 20:59:21,2.11,3.56,1,1,32,,,,,,,,,,,,,,,,
353,21-Apr-2018 16:50:37,2.56,3.56,1,1,31,,,,,,,,,,,,,,,,
359,18-Apr-2018 03:36:13,4.22,3.56,1,1,24,,,,,,,,,,,,,,,,
370,21-Apr-2018 02:36:03,3.67,3.56,1,1,28,,,,,,,,,,,,,,,,
376,18-Apr-2018 09:01:37,3.89,3.56,0,0,25,,,,,,,,,,,,,,,,
478,21-Apr-2018 13:41:34,2.44,3.56,1,1,28,,,,,,,,,,,,,,,,
518,18-Apr-2018 20:26:28,4.11,3.56,0,0,26,,,,,,,,,,,,,,,,
537,20-Apr-2018 13:47:20,3.44,3.56,0,0,26,,,,,,,,,,,,,,,,
589,18-Apr-2018 22:49:49,4.33,3.56,1,1,25,,,,,,,,,,,,,,,,
614,21-Apr-2018 18:42:31,2.33,3.56,0,1,26,,,,,,,,,,,,,,,,
618,21-Apr-2018 16:57:16,2.89,3.56,0,1,26,,,,,,,,,,,,,,,,
635,21-Apr-2018 11:15:40,3.33,3.56,1,1,28,,,,,,,,,,,,,,,,
649,21-Apr-2018 14:11:51,2,3.56,1,1,24,,,,,,,,,,,,,,,,
