StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Describe the color blue. What does blue look like, feel like, taste like, sound like?",How do you feel right now? Describe using one adjective.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}"
2018-04-23 15:38:37,2018-04-23 15:38:41,Spam,96.239.100.201,100,3,True,2018-04-23 15:38:42,R_3KBKM7VghEn2cwD,,,,,40.731704711914,-73.988502502441,anonymous,EN,,
2018-04-23 15:39:28,2018-04-23 15:39:31,Spam,96.239.100.201,100,2,True,2018-04-23 15:39:31,R_tVwVjxVk7OhMlJn,,,,,40.731704711914,-73.988502502441,anonymous,EN,,
2018-04-23 15:40:32,2018-04-23 15:40:35,Spam,96.239.100.201,100,2,True,2018-04-23 15:40:35,R_1o1t5uI1RmJSqWz,,,,,40.731704711914,-73.988502502441,anonymous,EN,,
2018-04-23 15:41:54,2018-04-23 15:41:57,Spam,96.239.100.201,100,2,True,2018-04-23 15:41:57,R_2PtkMNzRuCjzt4Z,,,,,40.731704711914,-73.988502502441,anonymous,EN,,
2018-04-23 15:44:51,2018-04-23 15:45:13,IP Address,24.126.72.15,100,21,True,2018-04-23 15:45:13,R_DtTkwzBB6MZeJ5n,,,,,39.089202880859,-77.183502197266,anonymous,EN,"Blue looks like the sky, feels relaxing, tastes good, and sounds relaxing.",Good
2018-04-23 15:44:56,2018-04-23 15:45:59,IP Address,24.164.183.58,100,63,True,2018-04-23 15:45:59,R_xarMoDpftoyCKkx,,,,,41.618194580078,-74.336097717285,anonymous,EN,Blue feels cool. It looks like the sky. It tastes like a berry. Blue sounds sad.,Interested
2018-04-23 15:45:49,2018-04-23 15:46:12,IP Address,122.165.170.177,100,23,True,2018-04-23 15:46:13,R_2tDwjZ6EYcikf6w,,,,,9.9333038330078,78.11669921875,anonymous,EN,PLEASNT,GOOD
2018-04-23 15:45:35,2018-04-23 15:46:21,IP Address,50.82.73.90,100,45,True,2018-04-23 15:46:21,R_3ekpMtYkl4rm3Ih,,,,,37.218994140625,-93.317596435547,anonymous,EN,Clear and cool. It is a soft yet strong color and is a loyal color with a soft breathy sound.,"Good "
2018-04-23 15:45:45,2018-04-23 15:46:23,IP Address,137.118.92.152,100,38,True,2018-04-23 15:46:23,R_1JKQIi1buAE9608,,,,,38.113006591797,-104.92230224609,anonymous,EN,Blue feels cool.,Fine
2018-04-23 15:44:28,2018-04-23 15:46:31,IP Address,167.160.113.51,100,123,True,2018-04-23 15:46:31,R_eG01jZQdRRt5di9,,,,,25.78059387207,-80.182601928711,anonymous,EN,Blue looks like the sky.  Blue feels like the ocean on a warm day  Blue taste like blueberry gum  Blue sounds like a talented Jazz band,good
2018-04-23 15:45:36,2018-04-23 15:46:34,IP Address,14.102.50.85,100,57,True,2018-04-23 15:46:34,R_3OevSG82QOcIVJv,,,,,11.100006103516,77.350006103516,anonymous,EN,blue means truth..sky is in blue colour,joyfully
2018-04-23 15:44:57,2018-04-23 15:46:38,IP Address,67.80.112.128,100,100,True,2018-04-23 15:46:38,R_2ZESYnlbajNQ8Ix,,,,,41.022201538086,-74.331703186035,anonymous,EN,Blue is cool and soothing. It looks like a vast sea of serenity and tastes like a sweet cocktail on a hot day. It sounds like the crickets chirping and the loons singing. It calms and soothes and brings a peaceful feeling.,Annoyed
2018-04-23 15:46:35,2018-04-23 15:47:15,IP Address,42.104.78.73,100,40,True,2018-04-23 15:47:15,R_2fcUEGxMHueP70h,,,,,23.683303833008,86.983306884766,anonymous,EN,Blue is my favorite. Vibrant and good looking,happy
2018-04-23 15:47:31,2018-04-23 15:48:03,IP Address,73.171.243.54,100,32,True,2018-04-23 15:48:03,R_BFKxdYFJKDvxGrD,,,,,30.279296875,-81.585098266602,anonymous,EN,blue is a very calm color. it looks light. it feels normal and sounds calming,okay
2018-04-23 15:47:00,2018-04-23 15:48:15,IP Address,66.150.8.161,100,75,True,2018-04-23 15:48:16,R_3JFx1A50D9O5pQi,,,,,47.856094360352,-122.28289794922,anonymous,EN,Blue is cold. Blue echoes any small sounds that occur near blue. Blue tastes like sugar.,Happy
2018-04-23 15:46:31,2018-04-23 15:48:21,IP Address,66.242.218.46,100,110,True,2018-04-23 15:48:21,R_BYqFyePQ88dU3y9,,,,,39.016403198242,-89.781097412109,anonymous,EN,Blue is a cool color that doesnt make much noise. It is soft  and flows well with other cool colors,"excellent "
2018-04-23 15:48:28,2018-04-23 15:48:39,IP Address,59.99.220.192,100,10,True,2018-04-23 15:48:39,R_6Xt8O0a322QLyOR,,,,,8.30810546875,77.221405029297,anonymous,EN,,GOOD
2018-04-23 15:47:10,2018-04-23 15:48:42,IP Address,72.83.64.83,100,92,True,2018-04-23 15:48:42,R_2CVquNWlq6KEIWH,,,,,38.959899902344,-77.342796325684,anonymous,EN,blue is fanstatic colour..its look like sky..sound and feels like good,happy
2018-04-23 15:46:21,2018-04-23 15:48:44,IP Address,188.70.44.215,100,143,True,2018-04-23 15:48:44,R_3pgMsjAx4IhqrbL,,,,,29.369705200195,47.978302001953,anonymous,EN,BLUE IS THE WARMEST COLOR AND ITS A COLOR OF LUST. IT FEELS LIKE SKY AND TASTE LIKE POMOGRANITE,SWEET
2018-04-23 15:44:48,2018-04-23 15:48:44,IP Address,174.229.132.58,100,236,True,2018-04-23 15:48:45,R_2wnlBH8WB03NLqW,,,,,40.440994262695,-81.491996765137,anonymous,EN,"Blue is a cool color.  It looks like the sky on a sunny day.  It is a soft color - not loud of raucous.  It is refreshing, like water.  ",anxious
2018-04-23 15:48:05,2018-04-23 15:48:48,IP Address,128.173.141.96,100,42,True,2018-04-23 15:48:48,R_2t4EpVf5aFptxJE,,,,,37.179092407227,-80.351501464844,anonymous,EN,"Blue reminds me of depression. It looks like the blue sky and it sounds like hollowness. ",Tired
