StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q7,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your greatest fear?,What is your greatest joy?,How old are you (in years)?,"What country do you live in? If United States, which state?",mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""mTurkCode""}"
2018-01-12 14:13:16,2018-01-12 14:13:18,Survey Preview Spam,,100,2,True,2018-01-12 14:13:19,R_ywoNLhL9iAM5UBP,,,,,40.731704711914,-73.988502502441,preview,EN,,,,,
2018-01-12 14:18:26,2018-01-12 14:18:30,Survey Preview Spam,,100,3,True,2018-01-12 14:18:30,R_4V09uhElcIc4yOt,,,,,40.731704711914,-73.988502502441,preview,EN,,,,,
2018-01-12 14:20:22,2018-01-12 14:20:25,Survey Preview Spam,,100,2,True,2018-01-12 14:20:25,R_2PBXS4J5TtGpIT3,,,,,40.731704711914,-73.988502502441,preview,EN,,,,,
2018-01-12 14:20:40,2018-01-12 14:20:45,Survey Preview Spam,,100,4,True,2018-01-12 14:20:45,R_1IYhmLBKj2xheCO,,,,,40.731704711914,-73.988502502441,preview,EN,,,,,
2018-01-12 14:36:32,2018-01-12 14:36:39,Survey Preview Spam,,100,6,True,2018-01-12 14:36:40,R_2zx28AT7E2V1eap,,,,,40.731704711914,-73.988502502441,preview,EN,,,,,6
2018-01-12 14:47:19,2018-01-12 14:47:25,IP Address,12.38.190.9,100,6,True,2018-01-12 14:47:25,R_2Ugw9JPe1aaFEhc,,,,,40.731704711914,-73.988502502441,anonymous,EN,,,,,6
2018-01-12 14:59:59,2018-01-12 15:00:06,IP Address,12.38.190.9,100,6,True,2018-01-12 15:00:06,R_p6OLZHpf4T8Xf7H,,,,,40.731704711914,-73.988502502441,anonymous,EN,,,,,3
2018-01-12 15:02:52,2018-01-12 15:03:16,IP Address,173.160.110.117,100,23,True,2018-01-12 15:03:16,R_0SuFrUUJ8cWAJxL,,,,,45.24479675293,-91.987800598145,anonymous,EN,drowning,my kids,39,Wisconsin,2
2018-01-12 15:03:06,2018-01-12 15:03:22,IP Address,74.105.197.218,100,15,True,2018-01-12 15:03:22,R_2TnQTU3LuTRo6JO,,,,,40.787094116211,-74.3291015625,anonymous,EN,"not being able to provide ",my family,34,NJ,5
2018-01-12 15:04:07,2018-01-12 15:04:44,IP Address,88.113.108.251,100,37,True,2018-01-12 15:04:45,R_qUtcdkBENvgvdYZ,,,,,61.417205810547,23.76530456543,anonymous,EN,Death of others,Reading,33,Finland,6
2018-01-12 15:04:10,2018-01-12 15:05:13,IP Address,24.247.31.151,100,63,True,2018-01-12 15:05:13,R_2SxdkmjU1LJeuUF,,,,,42.458099365234,-83.946800231934,anonymous,EN,death,being with family,54,Michigan,3
2018-01-12 15:02:43,2018-01-12 15:05:16,IP Address,24.238.197.16,100,152,True,2018-01-12 15:05:16,R_1E9TrellsKu7Evc,,,,,32.69709777832,-96.685699462891,anonymous,EN,"Not being successful in life. ","Being around the people I love. ",34,Texas,3
2018-01-12 15:05:14,2018-01-12 15:05:33,IP Address,98.227.126.206,100,19,True,2018-01-12 15:05:33,R_RavAG012C9oQqE9,,,,,42.341201782227,-88.113700866699,anonymous,EN,my parents dying,Going fishing and relaxing on my kayak,31,Illinois,9
2018-01-12 15:05:40,2018-01-12 15:06:10,IP Address,184.55.184.229,100,30,True,2018-01-12 15:06:10,R_2EmH6KAMsjS4grd,,,,,42.785293579102,-87.821899414062,anonymous,EN,Losing my son,My son,25,"Wisconsin, USA",2
2018-01-12 15:05:38,2018-01-12 15:06:12,IP Address,99.8.137.218,100,33,True,2018-01-12 15:06:12,R_123dgR50bIArkRi,,,,,34.17529296875,-118.34719848633,anonymous,EN,Humiliation,My family,46,California,1
2018-01-12 15:05:45,2018-01-12 15:06:30,IP Address,69.242.182.26,100,45,True,2018-01-12 15:06:30,R_YYwRKzwTMwSTf8d,,,,,39.022399902344,-94.315696716309,anonymous,EN,spiders,my child,22,"usa, missouri",1
2018-01-12 15:06:08,2018-01-12 15:06:44,IP Address,68.225.73.124,100,35,True,2018-01-12 15:06:44,R_1ociueVNsge3Aew,,,,,30.009994506836,-90.162803649902,anonymous,EN,dying alone,being with friends,35,Louisiana,3
2018-01-12 15:07:47,2018-01-12 15:08:16,IP Address,45.23.179.245,100,28,True,2018-01-12 15:08:16,R_2tyF8EzmDczVKNm,,,,,33.135604858398,-96.768997192383,anonymous,EN,the dentist,my kids,42,texas,6
2018-01-12 15:07:38,2018-01-12 15:08:50,IP Address,47.15.210.102,100,72,True,2018-01-12 15:08:51,R_3KGzinBaxPqgBSE,,,,,22.569702148438,88.369689941406,anonymous,EN,Failure,Truth,42,India,5
2018-01-12 15:08:30,2018-01-12 15:10:35,IP Address,98.94.15.242,100,124,True,2018-01-12 15:10:36,R_21olIQnWfFrmIua,,,,,33.345703125,-81.972198486328,anonymous,EN,Losing someone I am very attached to,"Knowing that I am loved and appreciated ",21,"USA, Georgia",3
2018-01-12 15:10:51,2018-01-12 15:11:22,IP Address,98.200.64.157,100,30,True,2018-01-12 15:11:22,R_CkVRG0AIieyeWkN,,,,,29.507507324219,-95.089500427246,anonymous,EN,dying,"spending time with my daughter. ",31,Texas,9
2018-01-12 15:10:05,2018-01-12 15:11:46,IP Address,79.68.152.17,100,101,True,2018-01-12 15:11:47,R_3FIfE4l0ugJNJr3,,,,,51.600006103516,0.016693115234375,anonymous,EN,That nobody notices,My kids,38,United Kingdom,2
2018-01-12 15:03:31,2018-01-12 15:11:50,IP Address,94.19.228.245,100,498,True,2018-01-12 15:11:50,R_3HzhDUfeLX4di4u,,,,,59.894393920898,30.264205932617,anonymous,EN,useless life,overcoming,34,Estonia,9
2018-01-12 15:15:34,2018-01-12 15:16:20,IP Address,68.1.152.24,100,46,True,2018-01-12 15:16:21,R_PGl6guPBq7e8QjT,,,,,32.541793823242,-83.590202331543,anonymous,EN,cancer,gardening,51,GA,4
2018-01-12 15:17:48,2018-01-12 15:18:44,IP Address,222.152.177.142,100,55,True,2018-01-12 15:18:44,R_ymQaEpmJVTMu9ON,,,,,-43.529403686523,172.51739501953,anonymous,EN,The safety of my family.,My family.,42,New Zealand,8
