StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Describe the color red. What does red look like, feel like, taste like, sound like?",How do you feel right now? Describe using one adjective.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}"
2018-04-23 15:11:10,2018-04-23 15:11:13,Survey Preview Spam,,100,3,True,2018-04-23 15:11:14,R_27EzWywZAeZU5hV,,,,,40.731704711914,-73.988502502441,preview,EN,,
2018-04-23 15:22:16,2018-04-23 15:22:19,IP Address,96.239.100.201,100,3,True,2018-04-23 15:22:19,R_vdCqmVgUPregDBf,,,,,40.731704711914,-73.988502502441,anonymous,EN,,
2018-04-23 15:24:05,2018-04-23 15:24:17,IP Address,157.50.60.223,100,12,True,2018-04-23 15:24:17,R_6LhYOXPh2zxTrJn,,,,,13.083297729492,80.283294677734,anonymous,EN,hjfdshkkakjf,arfetaz
2018-04-23 15:24:02,2018-04-23 15:24:29,IP Address,59.99.220.192,100,27,True,2018-04-23 15:24:30,R_0jIqyuTZVq6XPTX,,,,,8.30810546875,77.221405029297,anonymous,EN,LOOK LIKE,FLOWER
2018-04-23 15:24:24,2018-04-23 15:25:20,IP Address,223.182.192.116,100,55,True,2018-04-23 15:25:21,R_2YyLjdarA16be1z,,,,,10.992492675781,76.961395263672,anonymous,EN,"Red is hot, feel like violence",good
2018-04-23 15:25:24,2018-04-23 15:25:31,IP Address,171.49.185.148,100,7,True,2018-04-23 15:25:32,R_2QPNrncQ1i74eSY,,,,,10.804992675781,78.685607910156,anonymous,EN,cgdj,fgj
2018-04-23 15:25:38,2018-04-23 15:25:50,IP Address,171.49.185.148,100,12,True,2018-04-23 15:25:51,R_2akRn7oilpWjiPe,,,,,10.804992675781,78.685607910156,anonymous,EN,i like,feel right
2018-04-23 15:24:52,2018-04-23 15:26:08,IP Address,108.167.34.44,100,75,True,2018-04-23 15:26:08,R_20Ya3uCHXKGZWRZ,,,,,40.825393676758,-96.674896240234,anonymous,EN,"Red can be an angry color.   It also has warm properties, though, and a certain color of red blanket is nice and comforting.  I don't think of red as having a taste to it.",calm
2018-04-23 15:25:43,2018-04-23 15:26:26,IP Address,158.123.91.23,100,42,True,2018-04-23 15:26:26,R_1ja2s7vPGHR3kE8,,,,,41.478607177734,-71.658599853516,anonymous,EN,"Red is hot, velvety, hushed, quiet, warm, tingling. ",Tired
2018-04-23 15:26:10,2018-04-23 15:27:00,IP Address,65.246.1.5,100,50,True,2018-04-23 15:27:00,R_3pm6aZbXVnPovqr,,,,,39.328796386719,-76.596702575684,anonymous,EN,Red is deep and rich.  Red looks like fire and feels like anger.  It tastes spicy and sounds loud!,Content
2018-04-23 15:27:31,2018-04-23 15:27:54,IP Address,172.90.179.147,100,23,True,2018-04-23 15:27:54,R_yR2eTdbYmKOF37b,,,,,33.941497802734,-118.13069915771,anonymous,EN,"rich, bright, hot, spicy, loud",fine
2018-04-23 15:27:18,2018-04-23 15:27:55,IP Address,199.187.204.235,100,37,True,2018-04-23 15:27:55,R_22Y6E4vQ3xQfJk5,,,,,36.118103027344,-85.659202575684,anonymous,EN,"Red looks like emotion and feels hot, tastes hot and is loud.",bored
2018-04-23 15:27:49,2018-04-23 15:28:06,IP Address,68.200.62.63,100,17,True,2018-04-23 15:28:06,R_3NyowMr6p1xR55D,,,,,28.043792724609,-82.006896972656,anonymous,EN,"it looks evil, have never been a huge fan of red",alright
2018-04-23 15:27:48,2018-04-23 15:28:20,IP Address,163.191.13.70,100,31,True,2018-04-23 15:28:20,R_1S1w1qgShP0XRzb,,,,,39.772003173828,-89.685897827148,anonymous,EN,Red is bold and tastes like cinnamon.  It feels strong and sounds like a loud siren.,Content
2018-04-23 15:26:43,2018-04-23 15:28:55,IP Address,168.235.1.4,100,131,True,2018-04-23 15:28:55,R_1Dpb1NJR3PNWQEM,,,,,41.88020324707,-87.75659942627,anonymous,EN,"Red is a bright beautiful color that can be associated with powerful emotions.  These emotions include anger, hate and energy.  Red is also associated with actions like stopping or halting whatever you are doing.  Red is used as a warning, like when dangerous conditions appear.  It is a strong color that is striking to the eye and very bold. ",powerful
2018-04-23 15:28:00,2018-04-23 15:29:10,IP Address,108.223.156.239,100,69,True,2018-04-23 15:29:10,R_1N8lVcW0Q1FZggU,,,,,35.21989440918,-89.499603271484,anonymous,EN,IT IS A BRIGHT LOOK.  THERE IS NO FEELING.  THERE IS NO TASTE.  THERE IS NO SOUND.,CALM
2018-04-23 15:29:08,2018-04-23 15:29:44,IP Address,50.82.73.90,100,36,True,2018-04-23 15:29:44,R_3JCczNQYDNtB6Wp,,,,,37.218994140625,-93.317596435547,anonymous,EN,Vibrant and bold! It is spicy and quick and sounds very strong.,"good "
2018-04-23 15:29:27,2018-04-23 15:30:39,IP Address,185.217.117.120,100,72,True,2018-04-23 15:30:39,R_1pYvxYmoZtyVqE2,,,,,51.550003051758,-0.050003051757812,anonymous,EN,"Red looks warm, feels hot. Tastes like strawberries and sounds loud",happy
2018-04-23 15:25:46,2018-04-23 15:30:41,IP Address,67.232.32.154,100,294,True,2018-04-23 15:30:41,R_1owrgk8cG5T0u3Z,,,,,28.731292724609,-81.515800476074,anonymous,EN,"Red looks like fire, feels like passionate heat, tastes like spicy cinnamon, and sounds alive like a siren.",Cool
2018-04-23 15:29:59,2018-04-23 15:31:05,IP Address,167.98.10.26,100,65,True,2018-04-23 15:31:05,R_3ML5FH88lhA7fPX,,,,,51.514205932617,-0.093093872070312,anonymous,EN,"The color red feels warm, it tastes spicy, and sounds loud.  It has a lot of character and is fiery and passionate.",Great
2018-04-23 15:33:10,2018-04-23 15:34:10,IP Address,99.105.80.78,100,59,True,2018-04-23 15:34:10,R_3fkE4mIyfPuPjDD,,,,,41.386199951172,-81.791496276855,anonymous,EN,It sounds loud.  It tastes spicy. It feels smooth.  It looks like velvet.,Good
2018-04-23 15:46:35,2018-04-23 15:47:38,IP Address,216.49.246.101,100,63,True,2018-04-23 15:47:39,R_1gHi5RZlalQqbpw,,,,,37.282196044922,-94.481796264648,anonymous,EN,Red is an angry color. It feels like heat. It tastes hot/spicy. It sounds like yelling/screaming.,Content
2018-04-23 15:44:56,2018-04-23 15:48:45,IP Address,117.195.175.206,100,228,True,2018-04-23 15:48:45,R_2EgFXrQtprxuMz5,,,,,17.375305175781,78.474395751953,anonymous,EN,"red looks like blood, it reminds me of chemistry permanganate solution.It causes a feeling of disturbance, something unusual.tastes like pepper .sounds like a big blast.",uneasy
2018-04-23 17:16:08,2018-04-23 17:19:19,IP Address,81.247.86.138,100,191,True,2018-04-23 17:19:20,R_1JWIThB9fRddqMz,,,,,50.846603393555,4.3527984619141,anonymous,EN,"it looks like a flower, or a field of flowers.  It tastes like blood, sour.  And it sounds like the violin in Spring",excited
2018-04-23 20:32:41,2018-04-23 20:33:30,IP Address,59.99.220.192,100,48,True,2018-04-23 20:33:30,R_78poZoWzClO4Zxf,,,,,8.30810546875,77.221405029297,anonymous,EN,RED IS THE MOST ADORABLE COLOR. RED ROSE IS AWESOME COLOR. I LIKE RED.,HAPPY
2018-04-23 15:37:17,2018-04-23 15:42:43,IP Address,157.50.208.2,50,325,False,2018-04-26 15:43:08,R_SZfLDoRkDAtiJK9,,,,,,,anonymous,EN,"Red color is my like  color. red look like to post box and feel like to Brave and hard working,taste like to chily and sound like police cheep silencer sound, co like to happy. ",
