NYT,,,Travel & Leisure,,,Lonely Planet,,,Time,,,Thrillist,,,NatGeo,,
City,Country,Region,City,Country,Region,City,Country,Region,City,Country,Region,City,Country,Region,City,Country,Region
"New Orleans, Louisiana",United States,North America and ANZ,Solta,Croatia,Central and Eastern Europe,N/A,Sri Lanka,South Asia,Tokyo,Japan,East Asia,"New Orleans, Louisiana",United States,Western Europe,Harar,Ethiopia,Sub-Saharan Africa
N/A,Colombia,Latin America and Caribbean,"Greenville, South Carolina",United States,North America and ANZ,N/A,Germany,Western Europe,Rome,Italy,Western Europe,N/A,Russia,Central and Eastern Europe,Jujuy Province,Argentina,Latin America and Caribbean
Basilicata,Italy,Western Europe,Buenos Aires,Argentina,Latin America and Caribbean,N/A,Zimbabwe,Sub-Saharan Africa,Merida,Mexico,Latin America and Caribbean,N/A,Iceland,Western Europe,Tbilisi,Georgia,Central and Eastern Europe
N/A,"Martinique, Antigua, Bahamas, British Virgin Islands, Saint Maarten, Anguilla, Puerto Rico",Latin America and Caribbean,Los Cabos,Mexico,Latin America and Caribbean,N/A,Panama,Latin America and Caribbean,Xian,China,East Asia,N/A,Colombia,Latin America and Caribbean,Sydney,Australia,North America and ANZ
Vierwaldstattersee,Switzerland,Western Europe,"Walla Walla Valley, Washington",United States,North America and ANZ,N/A,Kyrgyzstan,Central and Eastern Europe,London,England,Western Europe,N/A,Malta,Western Europe,Oaxaca,Mexico,Latin America and Caribbean
Route of Parks,Chile,Latin America and Caribbean,N/A,Uzbekistan,Central and Eastern Europe,N/A,Jordan,Middle East and North Africa,Jeju Island,South Korea,East Asia,Highway 1,California,North America and ANZ,Vienna,Austria,Central and Eastern Europe
Gangwon Province,South Korea,East Asia,N/A,Egypt,Middle East and North Africa,N/A,Indoesia,Southeast Asia,Mallorca ,Spain,Western Europe,Hamburg,Germany,Western Europe,"Oahu, Hawaii",United States,North America and ANZ
"Cincinatti, Ohio",United States,North America and ANZ,Marrakesh,Morocco,Middle East and North Africa,N/A,Belarus,Central and Eastern Europe,Tbilisi,Georgia,Central and Eastern Europe,N/A,Jordan,Middle East and North Africa,Malmo,Sweden,Western Europe
N/A,Bhutan,South Asia,N/A/,Fiji,Southeast Asia,N/A,Sao Tome & Principe,Sub-Saharan Africa,N/A,Singapore,Southeast Asia,Seoul,South Korea,East Asia,Jordan Trail,Jordan,Middle East and North Africa
Glasgow,Scotland,Western Europe,"Albuquerque, New Mexico",United States,North America and ANZ,N/A,Belize,Latin America and Caribbean,Granada,Nicaragua,Latin America and Caribbean,N/A,Turks and Caicos,,Dublin,Ireland,Western Europe
Los Cabos,Mexico,Latin America and Caribbean,N/A,Zambia,Sub-Saharan Africa,Copenhagen,Denmark,Western Europe,,,,"Nashville, Tennessee",United States,North America and ANZ,N/A,Madagascar,Sub-Saharan Africa
Top End,Australia,North America and ANZ,Archipelago Sea,Finland,Western Europe,Shenzhen,China,East Asia,,,,Cape Town,South Africa,Latin America and Caribbean,Santiago,Chile,Latin America and Caribbean
Cambodian Coast,Cambodia,Southeast Asia,Pacific Coast,Colombia,Latin America and Caribbean,Novi Sad,Serbia,Central and Eastern Europe,,,,Mexico City,Mexico,Latin America and Caribbean,Phnom Penh,Cambodia,Southeast Asia
Liuwa Plain National Park,Zambia,Sub-Saharan Africa,Iguazu Falls,Argentina,Latin America and Caribbean,Miami,United States,North America and ANZ,,,,N/A,United Arab Emirates,Middle East and North Africa,"Cleveland, Ohio",United States,North America and ANZ
"Baltimore, Maryland",United States,North America and ANZ,Salina Island,Italy,Western Europe,Kathmandu,Nepal,South Asia,,,,N/A,Ireland,Western Europe,Tetouan,Morocco,Middle East and North Africa
N/A,Estonia,Central and Eastern Europe,N/A,Montenegro,Central and Eastern Europe,Mexico City,Mexico,Latin America and Caribbean,,,,Florida Keys,United States,North America and ANZ,Seoraksan National Park,South Korea,East Asia
Gansu,China,East Asia,Toronto,Canada,North America and ANZ,Dakar,Senegal,Sub-Saharan Africa,,,,Buenos Aires,Argentina,Latin America and Caribbean,N/A,Albania,Central and Eastern Europe
Saskatoon,Canada,North America and ANZ,Pyeongchang,South Korea,East Asia,"Seattle, Washington",United States,North America and ANZ,,,,N/A,Mozambique,Sub-Saharan Africa,"San Antonio, Texas",United States,North America and ANZ
Seville,Spain,Western Europe,"San Antonio, Texas",United States,North America and ANZ,Zadar,Croatia,Central and Eastern Europe,,,,,,,Ruaha National Park,Tanzania,Sub-Saharan Africa
Peninsula Papagyo,Costa Rica,Latin America and Caribbean,Valletta,Malta,Middle East and North Africa,Meknes,Morocco,Middle East and North Africa,,,,,,,,,
"Branson, Missouri",United States,North America and ANZ,N/A,Ireland,Western Europe,Piedmont,Italy,Western Europe,,,,,,,,,
N/A,Sao Tome and Principe,Sub-Saharan Africa,N/A,Jordan,Middle East and North Africa,The Catskills,United States,North America and ANZ,,,,,,,,,
Western,Germany,Western Europe,Bangkok,Thailand,Southeast Asia,Northern Peru,Peru,Latin America and Caribbean,,,,,,,,,
N/A,Fiji,Southeast Asia,N/A,Mauriius,Sub-Saharan Africa,The Red Centre,Australia,North America and ANZ,,,,,,,,,
"Chattanooga, Tennessee",United States,North America and ANZ,The Peloponnese,Greece,Western Europe,Highlands,Scotland,Western Europe,,,,,,,,,
Oslo,Norway,Western Europe,Sao Paulo,Brazil,Latin America and Caribbean,Russian Far East,Russia,Central and Eastern Europe,,,,,,,,,
Honshu's West Coast,Japan,East Asia,"The Berkshires, Massachusetts",United States,North America and ANZ,Gujarat,India,South Asia,,,,,,,,,
Arles,France,Western Europe,Luang Prabang,Laos,Southeast Asia,Maitoba,Canada,North America and ANZ,,,,,,,,,
Kuelap,Peru,Latin America and Caribbean,"New Orleans, Louisiana",United States,North America and ANZ,Normandy,France,Western Europe,,,,,,,,,
"Denver, Colorado",United States,Western Europe,"Boise, Idaho",United States,North America and ANZ,Elqui Valley,Chile,Latin America and Caribbean,,,,,,,,,
Kigali,Rwanda,Sub-Saharan Africa,Mexico City,Mexico,Latin America and Caribbean,Southenr Nile Valley,Egypt,Middle East and North Africa,,,,,,,,,
Belgrade,Serbia,Central and Eastern Europe,N/A,The Bahamas,Latin America and Caribbean,Lodz,Poland,Central and Eastern Europe,,,,,,,,,
N/A,Tasmania,North America and ANZ,N/A,Abu Dhabi,Middle East and North Africa,Great Smoky Mountains National Park,United States,North America and ANZ,,,,,,,,,
N/A,Iceland,Western Europe,Shanghai,China,East Asia,N/A,Maldives,Southeast Asia,,,,,,,,,
"Rogue River, Oregon",United States,North America and ANZ,Copenhagen,Denmark,Western Europe,"Houston, Texas",United States,North America and ANZ,,,,,,,,,
N/A,Lithuania,Central and Eastern Europe,Brussels,Belgium,Western Europe,N/A,Argentina,Latin America and Caribbean,,,,,,,,,
"Buffalo, New York",United States,North America and ANZ,Mornington Peninsula,Australia,North America and ANZ,N/A,Bangladesh,South Asia,,,,,,,,,
La Paz,Bolivia,Latin America and Caribbean,Mendoza,Argentina,Latin America and Caribbean,N/A,Albania,Central and Eastern Europe,,,,,,,,,
Prague,Czech Republic,Central and Eastern Europe,"Big Sur, California",United States,North America and ANZ,N/A,Ecuador,Latin America and Caribbean,,,,,,,,,
Emilia-Romagna,Italy,Western Europe,Tel Aviv,Israel,Middle East and North Africa,N/A,Slovenia,Central and Eastern Europe,,,,,,,,,
Disney Springs,United States,North America and ANZ,Washington DC,United States,North America and ANZ,,,,,,,,,,,,
Megeve,France,Western Europe,Bali,Indonesia,Southeast Asia,,,,,,,,,,,,
Chandigarh,India,South Asia,N/A,Sri Lanka,South Asia,,,,,,,,,,,,
"Seattle, Washington",United States,North America and ANZ,N/A,Greenland,Western Europe,,,,,,,,,,,,
Rotorua,New Zealand,North America and ANZ,Nagambie Lakes,Australia,North America and ANZ,,,,,,,,,,,,
Ypres,Belgium,Western Europe,N/A,Slovenia,Central and Eastern Europe,,,,,,,,,,,,
Tangier,Morocco,Middle East and North Africa,"Edmonton, Alberta",Canada,North America and ANZ,,,,,,,,,,,,
Ribera del duero,Spain,Western Europe,Iya Valley,Japan,East Asia,,,,,,,,,,,,
"Mongomery, Alabama",United States,North America and ANZ,Bayreuth,Germany,Western Europe,,,,,,,,,,,,
Sudtirol,Italy,Western Europe,,,,,,,,,,,,,,,
Bristol,England,Western Europe,,,,,,,,,,,,,,,
Lung Prabang,Laos,Southeast Asia,,,,,,,,,,,,,,,
