City,Country,Region,Totals,,
N/A,Albania,Central and Eastern Europe,14,,
N/A,Albania,Central and Eastern Europe,,,
Vienna,Austria,Western Europe,,,
Solta,Croatia,Central and Eastern Europe,,,
Zadar,Croatia,Central and Eastern Europe,,,
Prague,Czech Republic,Central and Eastern Europe,,,
N/A,Estonia,Central and Eastern Europe,,,
N/A,Kyrgyzstan,Central and Eastern Europe,,,
N/A,Lithuania,Central and Eastern Europe,,,
N/A,Montenegro,Central and Eastern Europe,,,
Lodz,Poland,Central and Eastern Europe,,,
Belgrade,Serbia,Central and Eastern Europe,,,
Novi Sad,Serbia,Central and Eastern Europe,,,
N/A,Slovenia,Central and Eastern Europe,,,
N/A,Slovenia,Central and Eastern Europe,,,
N/A,Belarus,Commonwealth of Independent States,6,,
Tbilisi,Georgia,Commonwealth of Independent States,,,
Tbilisi,Georgia,Commonwealth of Independent States,,,
N/A,Russia,Commonwealth of Independent States,,,
Russian Far East,Russia,Commonwealth of Independent States,,,
N/A,Uzbekistan,Commonwealth of Independent States,,,
Gansu,China,East Asia,12,,
Shanghai,China,East Asia,,,
Shenzhen,China,East Asia,,,
Xian,China,East Asia,,,
Honshu's West Coast,Japan,East Asia,,,
Iya Valley,Japan,East Asia,,,
Tokyo,Japan,East Asia,,,
Gangwon Province,South Korea,East Asia,,,
Jeju Island,South Korea,East Asia,,,
Pyeongchang,South Korea,East Asia,,,
Seoraksan National Park,South Korea,East Asia,,,
Seoul,South Korea,East Asia,,,
Buenos Aires,Argentina,Latin America and Caribbean,32,,
Buenos Aires,Argentina,Latin America and Caribbean,,,
Iguazu Falls,Argentina,Latin America and Caribbean,,,
Jujuy Province,Argentina,Latin America and Caribbean,,,
Mendoza,Argentina,Latin America and Caribbean,,,
N/A,Argentina,Latin America and Caribbean,,,
N/A,Belize,Latin America and Caribbean,,,
La Paz,Bolivia,Latin America and Caribbean,,,
Sao Paulo,Brazil,Latin America and Caribbean,,,
Elqui Valley,Chile,Latin America and Caribbean,,,
Route of Parks,Chile,Latin America and Caribbean,,,
Santiago,Chile,Latin America and Caribbean,,,
N/A,Colombia,Latin America and Caribbean,,,
N/A,Colombia,Latin America and Caribbean,,,
Pacific Coast,Colombia,Latin America and Caribbean,,,
Peninsula Papagyo,Costa Rica,Latin America and Caribbean,,,
N/A,Ecuador,Latin America and Caribbean,,,
N/A,"Martinique, Antigua, Bahamas, British Virgin Islands, Saint Maarten, Anguilla, Puerto Rico",Latin America and Caribbean,,,
Los Cabos,Mexico,Latin America and Caribbean,,,
Los Cabos,Mexico,Latin America and Caribbean,,,
Merida,Mexico,Latin America and Caribbean,,,
Mexico City,Mexico,Latin America and Caribbean,,,
Mexico City,Mexico,Latin America and Caribbean,,,
Mexico City,Mexico,Latin America and Caribbean,,,
Oaxaca,Mexico,Latin America and Caribbean,,,
Granada,Nicaragua,Latin America and Caribbean,,,
N/A,Panama,Latin America and Caribbean,,,
Kuelap,Peru,Latin America and Caribbean,,,
Northern Peru,Peru,Latin America and Caribbean,,,
Cape Town,South Africa,Latin America and Caribbean,,,
N/A,The Bahamas,Latin America and Caribbean,,,
N/A,Turks and Caicos,Latin America and Caribbean,,,
N/A,Abu Dhabi,Middle East and North Africa,13,,
N/A,Egypt,Middle East and North Africa,,,
Southenr Nile Valley,Egypt,Middle East and North Africa,,,
Tel Aviv,Israel,Middle East and North Africa,,,
Jordan Trail,Jordan,Middle East and North Africa,,,
N/A,Jordan,Middle East and North Africa,,,
N/A,Jordan,Middle East and North Africa,,,
N/A,Jordan,Middle East and North Africa,,,
Valletta,Malta,Western Europe,,,
Marrakesh,Morocco,Middle East and North Africa,,,
Meknes,Morocco,Middle East and North Africa,,,
Tangier,Morocco,Middle East and North Africa,,,
Tetouan,Morocco,Middle East and North Africa,,,
N/A,United Arab Emirates,Middle East and North Africa,,,
Mornington Peninsula,Australia,North America and ANZ,44,,
Nagambie Lakes,Australia,North America and ANZ,,,
Sydney,Australia,North America and ANZ,,,
The Red Centre,Australia,North America and ANZ,,,
Top End,Australia,North America and ANZ,,,
Highway 1,United States,North America and ANZ,,,
"Edmonton, Alberta",Canada,North America and ANZ,,,
Maitoba,Canada,North America and ANZ,,,
Saskatoon,Canada,North America and ANZ,,,
Toronto,Canada,North America and ANZ,,,
Rotorua,New Zealand,North America and ANZ,,,
N/A,Tasmania,North America and ANZ,,,
"Albuquerque, New Mexico",United States,North America and ANZ,,,
"Baltimore, Maryland",United States,North America and ANZ,,,
"Big Sur, California",United States,North America and ANZ,,,
"Boise, Idaho",United States,North America and ANZ,,,
"Branson, Missouri",United States,North America and ANZ,,,
"Buffalo, New York",United States,North America and ANZ,,,
"Chattanooga, Tennessee",United States,North America and ANZ,,,
"Cincinatti, Ohio",United States,North America and ANZ,,,
"Cleveland, Ohio",United States,North America and ANZ,,,
Disney Springs,United States,North America and ANZ,,,
Florida Keys,United States,North America and ANZ,,,
Great Smoky Mountains National Park,United States,North America and ANZ,,,
"Greenville, South Carolina",United States,North America and ANZ,,,
"Houston, Texas",United States,North America and ANZ,,,
Miami,United States,North America and ANZ,,,
"Mongomery, Alabama",United States,North America and ANZ,,,
"Nashville, Tennessee",United States,North America and ANZ,,,
"New Orleans, Louisiana",United States,North America and ANZ,,,
"New Orleans, Louisiana",United States,North America and ANZ,,,
"Oahu, Hawaii",United States,North America and ANZ,,,
"Rogue River, Oregon",United States,North America and ANZ,,,
"San Antonio, Texas",United States,North America and ANZ,,,
"San Antonio, Texas",United States,North America and ANZ,,,
"Seattle, Washington",United States,North America and ANZ,,,
"Seattle, Washington",United States,North America and ANZ,,,
"The Berkshires, Massachusetts",United States,North America and ANZ,,,
The Catskills,United States,North America and ANZ,,,
"Walla Walla Valley, Washington",United States,North America and ANZ,,,tourists
Washington DC,United States,North America and ANZ,,,
"Denver, Colorado",United States,North America and ANZ,,,
"New Orleans, Louisiana",United States,North America and ANZ,,,
N/A,Bangladesh,South Asia,7,,
N/A,Bhutan,South Asia,,,
Chandigarh,India,South Asia,,,
Gujarat,India,South Asia,,,
Kathmandu,Nepal,South Asia,,,
N/A,Sri Lanka,South Asia,,,
N/A,Sri Lanka,South Asia,,,
Cambodian Coast,Cambodia,Southeast Asia,11,,
Phnom Penh,Cambodia,Southeast Asia,,,
N/A,Fiji,Southeast Asia,,,
N/A/,Fiji,Southeast Asia,,,
N/A,Indonesia,Southeast Asia,,,
Bali,Indonesia,Southeast Asia,,,
