Count,BA_No,BA_Yes, Total,State,longitude,latitude
AL,1,3,4,Alabama,-86.300568,32.377716
AK,1,2,3,Alaska,-134.420212,58.301598
AR,4,1,5,Arkansas,-92.288986,34.746613
AZ,6,0,6,Arizona,-112.096962,33.448143
CA,21,9,30,California,-121.493629,38.576668
CO,9,1,10,Colorado,-104.984856,39.739227
CT,7,1,8,Connecticut,-72.682198,41.764046
DC,1,0,1,DC,77.0369,38.9072
DE,2,0,2,Delaware,-75.519722,39.157307
HI,1,0,1,Hawaii,-157.857376,21.307442
FL,10,8,18,Florida,-84.281296,30.438118
GA,9,1,10,Georgia,-84.388229,33.749027
ID,1,0,1,Idaho,-116.199722,43.617775
IL,15,9,24,Illinois,-89.654961,39.798363
IN,10,4,14,Indiana,-86.162643,39.768623
IA,6,2,8,Iowa,-93.603729,41.591087
KS,5,3,8,Kansas,-95.677956,39.048191
KY,6,0,6,Kentucky,-84.875374,38.186722
LA,2,1,3,Louisiana,-91.187393,30.457069
ME,0,1,1,Maine,-69.781693,44.307167
MD,3,1,4,Maryland,-76.490936,38.978764
MA,16,4,20,Massachusetts,-71.063698,42.358162
MI,16,3,19,Michigan,-84.555328,42.733635
MN,9,2,11,Minnesota,-93.102211,44.955097
MS,1,0,1,Mississippi,-90.182106,32.303848
MO,18,0,18,Missouri,-92.172935,38.579201
MT,2,0,2,Montana,-112.018417,46.585709
NE,7,2,9,Nebraska,-96.699654,40.808075
NV,1,1,2,Nevada,-119.766121,39.163914
NH,2,0,2,New Hampshire,-71.537994,43.206898
NJ,16,0,16,New Jersey,-74.769913,40.220596
NM,4,1,5,New Mexico,-105.939728,35.68224
NC,8,0,8,North Carolina,-78.639099,35.78043
ND,1,1,2,North Dakota,-100.783318,46.82085
NY,16,3,19,New York,-73.757874,42.652843
OH,7,3,10,Ohio,-82.999069,39.961346
OK,2,1,3,Oklahoma,-97.503342,35.492207
OR,9,0,9,Oregon,-123.030403,44.938461
PA,9,2,11,Pennsylvania,-76.883598,40.264378
RI,3,1,4,Rhode Island,-71.414963,41.830914
SC,0,0,0,South Carolina,-81.033211,34.000343
SD,1,0,1,South Dakota,-100.346405,44.367031
TN,7,2,9,Tennessee,-86.784241,36.16581
TX,22,6,28,Texas,-97.740349,30.27467
UT,2,2,4,Utah,-111.888237,40.777477
VT,1,0,1,Vermont,-72.580536,44.262436
VA,5,1,6,Virginia,-77.43364,37.538857
WA,8,0,8,Washington,-122.905014,47.035805
WV,0,0,0,West Virginia,-81.612328,38.336246
WI,12,3,15,Wisconsin,-89.384445,43.074684
WY,0,2,2,Wyoming,-104.820236,41.140259
Grand Total,326,87,413,,,
