"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Inova Health System","VA","Healthcare Provider","12331","11/02/2018","Theft","Electronic Medical Record, Paper/Films","No",""
"Dallas County Mental Health Mental Retardation Center dba Metrocare Services","TX","Healthcare Provider","1804","11/01/2018","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","614","10/28/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Raley's/Bel Air Mart/Nob Hill General Store, Inc.","CA","Healthcare Provider","10124","10/26/2018","Theft","Laptop","No",""
"CNO Financial Group, Inc.","IN","Health Plan","566217","10/25/2018","Unauthorized Access/Disclosure","Other","No",""
"The Children's Hospital of Philadelphia","PA","Healthcare Provider","5368","10/23/2018","Hacking/IT Incident","Email","No",""
"Day Kimball Healthcare","CT","Healthcare Provider","698","10/22/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"CJ Elmwood Partners, L.P.","IA","Healthcare Provider","22416","10/22/2018","Hacking/IT Incident","Network Server","No",""
"Jones Eye Center, P.C.","IA","Healthcare Provider","39605","10/22/2018","Hacking/IT Incident","Network Server","No",""
"Smith Dental Care","TX","Healthcare Provider","5000","10/17/2018","Hacking/IT Incident","Desktop Computer, Email","No",""
"Yale University","CT","Healthcare Provider","1102","10/17/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"HealthFitness","IL","Business Associate","550","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"HealthFitness","IL","Business Associate","1332","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Employees Retirement System of Texas","TX","Health Plan","1248263","10/15/2018","Unauthorized Access/Disclosure","Other","No",""
"FirstCare Health Plans","TX","Health Plan","8056","10/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Catawba Valley Medical Center","NC","Healthcare Provider","20000","10/12/2018","Hacking/IT Incident","Email","No",""
"West Sound Treatment Center","WA","Healthcare Provider","2300","10/11/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"West Sound Treatment Center","WA","Healthcare Provider","2300","10/11/2018","Theft","Laptop","No",""
"Indiana University School of Medicine","IN","Healthcare Provider","1431","10/11/2018","Theft","Paper/Films","No",""
"The May Eye Care Center","PA","Healthcare Provider","30000","10/11/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Hormone Logics","FL","Healthcare Provider","3000","10/10/2018","Theft","Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films","No",""
"Cigna","CT","Health Plan","3500","10/10/2018","Hacking/IT Incident","Network Server","No",""
"Minnesota Department of Human Services","MN","Health Plan","20800","10/09/2018","Hacking/IT Incident","Email","No",""
"Oklahoma Department of Human Services","OK","Health Plan","813","10/08/2018","Hacking/IT Incident","Paper/Films","Yes",""
"Dr. Robert Carpenter","TX","Healthcare Provider","3000","10/07/2018","Hacking/IT Incident","Network Server","No",""
"Dr. Amy Woodruff","TX","Healthcare Provider","10862","10/07/2018","Hacking/IT Incident","Network Server","No",""
"Northwest Surgical Specialists, P.C. ","WA","Healthcare Provider","2050","10/05/2018","Hacking/IT Incident","Email","No",""
"Gold Coast Health Plan","CA","Business Associate","37005","10/05/2018","Hacking/IT Incident","Email","Yes",""
"National Ambulatory Hernia Institute","CA","Healthcare Provider","15974","10/05/2018","Hacking/IT Incident","Network Server","No",""
"Health First, Inc","FL","Healthcare Provider","42000","10/05/2018","Hacking/IT Incident","Email","No",""
"University Of Missouri Health","MO","Healthcare Provider","706","10/05/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Tillamook Chiropractic, PC","OR","Healthcare Provider","4058","10/03/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"New Mexico Retiree Health Care Authority","NM","Health Plan","586","10/02/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Reichert Prosthetics & Orthotics, LLC","WI","Healthcare Provider","3380","09/28/2018","Theft","Other Portable Electronic Device","Yes",""
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan","IN","Health Plan","19320","09/28/2018","Hacking/IT Incident","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","3624","09/28/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Gentle Dentistry Group PC","NJ","Healthcare Provider","831","09/26/2018","Unauthorized Access/Disclosure","Email","No",""
"J&J MEDICAL SERVICE NETWORK INC","TX","Business Associate","2500","09/25/2018","Hacking/IT Incident","Network Server","Yes",""
"Ransom Memorial Hospital ","KS","Healthcare Provider","14329","09/25/2018","Hacking/IT Incident","Email","No",""
"Personal Assistance Services of Colorado, LLC","CO","Healthcare Provider","1839","09/20/2018","Hacking/IT Incident","Email","No",""
"Pulse Systems, Inc.","KS","Business Associate","722","09/19/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The University of Texas Health Science Center at Houston","TX","Healthcare Provider","500","09/18/2018","Theft","Paper/Films","No",""
"Southwest Oregon IPA","OR","Health Plan","1449","09/18/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Independence Blue Cross, LLC","PA","Business Associate","16762","09/17/2018","Unauthorized Access/Disclosure","Other","Yes",""
